hour,converged,gen_matched_mw,gen_unmatched_mw,load_matched_mw,load_unmatched_mw,gen_coverage,load_coverage,n_bus,n_lines,n_traf,demand_mw,gen_mw,slack_mw,losses_mw,v_min,v_max,n_v_below_090,n_v_above_110,modom_buses_with_v,modom_buses_total
h_11,True,2923.319999999998,199.74,2296.2699344066864,579.7658001794335,0.936043495802194,0.7984149524961082,928,641,177,2244.795359998054,2673.3199999999997,-379.96758448741514,48.5570555144003,0.9415065463977719,1.137108306055145,0,1,523,717
h_12,True,2951.1400000000003,210.78999999999996,2326.4646847549957,585.2887425122439,0.9333350200668579,0.7989909663945847,928,641,177,2276.059628589232,2701.1399999999994,-376.58761295091614,48.492758459944184,0.9384692337951522,1.135091523633654,0,1,523,717
h_13,True,2980.6899999999987,210.03,2351.560049560384,591.1157041466502,0.9341747317219937,0.799123058868449,928,641,177,2299.283532500664,2730.6899999999996,-384.7455987548908,46.66086874458598,0.9335294076469758,1.1323692159658674,0,1,523,717
h_14,True,3049.230000000001,219.18,2416.040424284103,599.0890818871038,0.9329398698449706,0.8013056883092683,928,641,177,2365.8940546485924,2799.2300000000005,-383.6977251994998,49.63822015182165,0.9300713205514853,1.130801764211759,0,1,523,717
h_15,True,3127.4900000000025,214.47000000000003,2476.593053452938,607.1315381420886,0.9358250846808459,0.8031174574419255,928,641,177,2422.2719105482915,2877.4900000000007,-400.82918420131944,54.38890525027324,0.9254928558533307,1.1299965102815481,0,1,523,717
h_16,True,3309.130000000001,200.69,2632.190195506995,623.4655728802787,0.9428204295376971,0.80849769839484,928,641,177,2576.3786064844326,3059.13,-424.5389212078165,58.21247230764371,0.9161875300293938,1.0762703468794281,0,0,523,717
h_17,True,3433.3500000000013,171.06,2718.831712323269,627.0635266574806,0.9525414700325435,0.8125872204987203,928,641,177,2659.478274545914,3133.3500000000004,-418.3454929421564,55.5262325119097,0.8533773250801281,1.0757622607644948,5,0,523,717
h_18,True,3451.870000000001,170.88,2726.775165018664,629.2263881762544,0.9528314126009247,0.8125071224781676,928,641,177,2665.6619286281907,3151.8700000000003,-424.53644348103916,61.67162789095004,0.821678819418885,1.0741383807373583,6,0,523,717
h_19,True,3444.310000000001,162.41,2723.6707417087327,622.6306769206799,0.9549701667997517,0.8139346702438722,928,641,177,2660.963841459219,3144.31,-426.642991700419,56.70316684368409,0.7957488382062115,1.0729712133604743,6,0,523,717
h_20,True,3525.5500000000006,200.74,2828.354270661572,637.3744235200322,0.946128723207265,0.8160922334774559,928,641,177,2760.597364630303,3225.55,-407.00384524923504,57.948790130675604,0.7852983598634102,1.071238866783082,6,0,523,717
h_21,True,3607.1700000000005,205.13,2900.9500624234233,646.6550567153679,0.9461925871521129,0.8177206777533491,928,641,177,2830.076735873239,3307.1699999999996,-414.65867593546307,62.43458821001102,0.7785519414174584,1.0699444670187643,6,0,523,717
h_22,True,3607.04,212.16,2906.448467535752,646.8749908945472,0.944449099287809,0.817952123283393,928,641,177,2834.0172864773476,3307.04,-410.63924872643065,62.38346481388574,0.7786813395139313,1.0690355928203583,6,0,523,717
h_23,True,3576.940000000001,216.23999999999995,2888.291307136136,641.1094365626234,0.9429924232438218,0.8183517590890655,928,641,177,2815.4720392983645,3276.94,-399.51627987875105,61.95168083451837,0.7831744449724952,1.0687220909130757,6,0,523,717
h_24,True,3487.7000000000003,221.32,2816.4219491417375,631.4984402072248,0.9403292513925511,0.8168465715861658,928,641,177,2745.474468153153,3187.7,-383.08368933485764,59.141842517591904,0.7913865397102733,1.0685002845384355,6,0,523,717
