generator_id,YN,PMX,PMN,CVP,TCG,SSAA,MRPF,MRSF,FACTORA,H_P,PGN,BASE,RS,RB,TARR,TPAR,TMO,TMPA,RENDH,TIF,RFA_INI,ARR_INI,ACC_INI,PAR_INI,HOC,NAMX,PGINI
G3PFWCA2,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFWCA3,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCOT1,1.0,45.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCOT2,1.0,45.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCOT3,1.0,45.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFPER1,1.0,70.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFPER2,1.0,70.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFLUCI,1.0,10.3,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCOAS,1.0,110.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFMART,1.0,43.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCUM4,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFPAY1,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFESP2,1.0,48.3,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFVILL,1.0,87.6,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3SPBIOE,1.0,30.0,18.0,5216.661637611238,4.0,0.02,,,,1.1605,31.2,1.0,,,,,,,,,,,,,,,
G3PEMCP,1.0,0.0,93.7,8632.440039246087,1.0,0.0185,11.4,20.25,3990.566037735849,5.30289090170593,246.2,,,,2.0,1.0,,,,,,,,,,,
G3PEMCT,1.0,315.0,185.0,8522.285618244377,1.0,0.0185,20.0,45.0,12304.52675,5.593936186348862,369.2,,,,2.0,1.0,,1.0,,,,,,,,,
G3PALENQ,1.0,24.0,5.5,8536.99629317183,1.0,0.02,1.125,6.0,57.179500000000004,,,,,,,,,,,,,,,,,,
G3PCATA1,1.0,300.0,250.0,1915.8710228097616,1.0,0.1,7.97,,25761.869158878504,4.6977,391.0,,,,2.0,2.0,,2.0,,,,,1.0,,,,
G3PCATA2,1.0,370.19,277.0,1871.2748340582184,1.0,0.1,10.19,,11675.046210720886,4.6977,391.0,,243.0,,2.0,2.0,,1.0,,,,,1.0,,,,
G3SIBACS,1.0,0.0,13.0,7570.966289985678,1.0,0.026586667212644854,11.55,13.0,275.89473684210526,,,,103.10679611650485,177.0,,,,,,,,,,,,,
G3SIBACC,1.0,260.0,140.0,5680.542253615097,1.0,0.026586667212644854,11.55,,275.89473684210526,,,,93.0,,1.0,1.0,,,,,,,,,,,
G3PAK01,1.0,220.8,36.0,,4.0,0.02,,,,,,,,,,,,,,,,,,,,,
G3PAK26,1.0,108.0,12.0,8295.48541133939,1.0,0.02,4.848,,488.2497014364811,,,,78.0,113.0,,,,1.0,,,,,,,,,
G3PAK60,1.0,77.5,25.0,8242.827755317106,1.0,0.02,3.635,,786.8229389185581,,,,,,1.0,,,,,,,,,,,,
*G3MPLACC,1.0,0.0,0.0,,4.0,0.035,,,,7.17506328274879,447.299995488049,,,,,,,,,,,,,,,,
G3MPLACS,1.0,0.0,170.0,10771.124245202165,1.0,0.035,10.4,,23389.615936254977,7.180929,291.599995488049,,,,,,,,,,,,,,,,
+,,,,,,,,,,,,,,,,,,,,,,,,,,,
