loc_name,for_name,ruta,sgn,cosn,ugn,q_max,q_min,Q_max,Q_min,xd,xq,xl,rstr,xds,xdss,xqss,xqs,xdsat,tds0,tdss0,tqss0,h,iturbo
Monción,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Monción.TypSym,30.0,0.800000011920929,13.800000190734863,0.6333333253860474,-0.4333333373069763,19.0,-13.0,1.5,1.0,0.0,0.004399999976158142,0.30000001192092896,0.1899999976158142,0.20000000298023224,0.30000001192092896,1.2000000476837158,5.0,0.06000000610947609,0.25,4.480000019073486,0
Pimentel 3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Pimentel 3.TypSym,21.344999313354492,0.800000011920929,13.800000190734863,0.5856172442436218,-0.46849381923675537,12.5,-10.0,1.8300000429153442,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,0.30000001192092896,1.2000000476837158,7.830999374389648,0.04185999929904938,0.15220001339912415,1.2766350507736206,0
López Angostura,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\López Angostura.TypSym,23.0,0.800000011920929,13.800000190734863,0.5799999833106995,-0.5799999833106995,13.339999198913574,-13.339999198913574,1.0460000038146973,1.0,0.0,0.003000000026077032,0.23000000417232513,0.15000000596046448,0.20000000298023224,0.30000001192092896,1.2000000476837158,5.457391262054443,0.02759999781847,0.25,3.5,0
Baiguaque,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Baiguaque.TypSym,0.8199999928474426,0.800000011920929,0.4399999976158142,0.5400000214576721,-0.14000000059604645,0.44279998540878296,-0.11479999870061874,1.5,1.0,0.0,0.019999999552965164,0.30000001192092896,0.16899999976158142,0.20000000298023224,0.30000001192092896,1.2000000476837158,5.0,0.08875740319490433,0.2512562870979309,2.0,0
Tavera 1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Tavera 1.TypSym,60.0,0.800000011920929,13.800000190734863,0.5400000214576721,-0.14000000059604645,32.400001525878906,-8.399999618530273,1.3300000429153442,0.8500000238418579,0.0,0.004000000189989805,0.3700000047683716,0.2800000011920929,0.30000001192092896,0.30000001192092896,0.8399999737739563,5.509999752044678,0.04999999701976776,0.3297414183616638,2.417046070098877,0
Pimentel 4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Pimentel 4.TypSym,22.665000915527344,0.800000011920929,13.800000190734863,0.595632016658783,-0.4390028417110443,13.5,-9.949999809265137,1.7230000495910645,0.9520000219345093,0.172,0.0038203399162739515,0.36800000071525574,0.20399999618530273,0.23000000417232513,0.30000001192092896,1.2000000476837158,4.447000026702881,0.0652099996805191,0.0652100071310997,1.368265986442566,0
Los Toros,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Los Toros.TypSym,5.25,0.8999999761581421,6.900000095367432,0.41999998688697815,-0.3100000023841858,2.2049999237060547,-1.627500057220459,1.5299999713897705,1.4199999570846558,0.0,0.010999999940395355,0.2639999985694885,0.17299999296665192,0.19436000287532806,0.30000001192092896,1.2000000476837158,1.2239999771118164,0.015070890076458454,0.09643959254026413,0.550000011920929,0
Sabana Yegüa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Sabana Yegüa.TypSym,16.0,0.800000011920929,13.800000190734863,0.5400000214576721,-0.6600000262260437,8.640000343322754,-10.5600004196167,1.0700000524520874,1.0,0.0,0.004999999888241291,0.2800000011920929,0.23999999463558197,0.33000001311302185,0.30000001192092896,0.9860000014305115,3.821428060531616,0.03635844588279724,0.1663288176059723,2.7758262157440186,0
Sabaneta,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Sabaneta.TypSym,7.949999809265137,0.800000011920929,12.5,0.5799999833106995,-0.6200000047683716,4.610999584197998,-4.928999900817871,1.2100000381469727,1.0,0.0,0.0010000000474974513,0.30000001192092896,0.19300000369548798,0.20000000298023224,0.30000001192092896,0.9430000185966492,6.666667938232422,0.04974093660712242,0.25,1.3681391477584839,0
Las Damas,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Las Damas.TypSym,8.333000183105469,0.8999999761581421,12.5,0.392300009727478,-1.0,3.269036054611206,-8.333000183105469,0.9340000152587891,0.9240000247955322,0.0,0.004000000189989805,0.23999999463558197,0.1899999976158142,0.20000000298023224,0.30000001192092896,1.100000023841858,3.891666889190674,0.056842103600502014,0.415800005197525,3.5,0
Domingo Rodríguez,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Domingo Rodríguez.TypSym,3.0,0.800000011920929,4.159999847412109,0.5400000214576721,-0.14000000059604645,1.6200000047683716,-0.41999998688697815,1.440000057220459,0.920799970626831,0.0,0.010999999940395355,0.2630000114440918,0.17260000109672546,0.20000000298023224,0.30000001192092896,1.2000000476837158,0.21000000834465027,0.008999994024634361,0.4800001382827759,1.600000023841858,0
Valdesia,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Valdesia.TypSym,30.0,0.8500000238418579,13.800000190734863,0.4740999937057495,-0.5199999809265137,14.222999572753906,-15.600000381469727,1.2100000381469727,1.0,0.0,0.004999999888241291,0.30000001192092896,0.23999999463558197,0.23999999463558197,0.30000001192092896,1.2000000476837158,4.033332824707031,0.07772020250558853,0.4166666567325592,3.353651285171509,0
Las Barias,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Las Barias.TypSym,1.0,0.8999999761581421,13.800000190734863,14.222999572753906,-15.600000381469727,14.222999572753906,-15.600000381469727,1.5,1.0,0.0,0.019999999552965164,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.30000001192092896,1.2000000476837158,5.0,0.07500000298023224,0.04000000283122063,3.0,0
Barahona Carbón,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Barahona Carbón.TypSym,65.0,0.8500000238418579,13.800000190734863,0.5267741680145264,-0.4099999964237213,34.24032211303711,-26.649999618530273,2.0199999809265137,1.9199999570846558,0.151,0.00139999995008111,0.2680000066757202,0.18799999356269836,0.20600000023841858,0.45899999141693115,1.899999976158142,5.31380558013916,0.0413404256105423,0.016711164265871048,2.5,1
Jigüey 1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Jigüey 1.TypSym,61.25,0.800000011920929,13.800000190734863,0.6000000238418579,-0.6000000238418579,36.75,-36.75,0.949999988079071,0.5669999718666077,0.0,0.0020000000949949026,0.2879999876022339,0.20000000298023224,0.20000000298023224,0.30000001192092896,1.0479999780654907,6.06944465637207,0.035999998450279236,0.14174999296665192,3.4800000190734863,0
Aguacate,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Aguacate.TypSym,35.29399871826172,0.800000011920929,13.800000190734863,0.4972516596317291,-0.6445854902267456,17.549999237060547,-22.75,1.1330000162124634,0.6930000185966492,0.142,0.003000000026077032,0.32899999618530273,0.23399999737739563,0.21799999475479126,0.6930000185966492,1.0099999904632568,4.9290666580200195,6.93149471282959,0.3458642363548279,2.799999952316284,0
Itabo 2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Itabo 2.TypSym,155.3000030517578,0.8500000238418579,13.800000190734863,0.48293620347976685,-0.3992272913455963,75.0,-62.0,1.809999942779541,1.74399995803833,0.175,0.004000000189989805,0.3100000023841858,0.2160000056028366,0.25,0.5350000262260437,1.2000000476837158,3.7830002307891846,0.032999999821186066,0.07800000160932541,3.200000047683716,1
Itabo 1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Itabo 1.TypSym,150.60000610351562,0.8500000238418579,13.800000190734863,0.5199999809265137,-0.47999998927116394,78.31199645996094,-72.28800201416016,1.850000023841858,1.74399995803833,0.166,0.004000000189989805,0.2709999978542328,0.1889999955892563,0.25,0.5350000262260437,1.2000000476837158,4.039999961853027,0.032999999821186066,0.07800000160932541,3.191990375518799,1
