loc_name,for_name,ruta,cpGrid,GPSlat,GPSlon
Guanillo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite,NORTE 138 kV,0.0,0.0
SFM,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SFM.ElmSite,NORTE 138 kV,0.0,0.0
Los Guzmancito,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite,NORTE 138 kV,0.0,0.0
Matrisol,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite,NORTE 138 kV,0.0,0.0
Esperanza,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite,NORTE 138 kV,0.0,0.0
Los Toros,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite,SUR 69 kV,0.0,0.0
Sabana Yegua,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite,SUR 69 kV,0.0,0.0
Sabaneta,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite,SUR 69 kV,0.0,0.0
Magueyal,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Magueyal.ElmSite,SUR 69 kV,0.0,0.0
Las Damas,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Las Damas.ElmSite,SUR 69 kV,0.0,0.0
Domingo Rodríguez,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Domingo Rodríguez.ElmSite,SUR 69 kV,0.0,0.0
Canoa Solar,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite,SUR 69 kV,0.0,0.0
km 15 de Azua,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite,SUR 138 kV,0.0,0.0
Haina,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite,SUR 138 kV,0.0,0.0
Valdesia,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite,SUR 138 kV,0.0,0.0
Barahona Carbón,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Barahona Carbón.ElmSite,SUR 138 kV,0.0,0.0
Jiguey,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Jiguey.ElmSite,SUR 138 kV,0.0,0.0
Aguacate,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite,SUR 138 kV,0.0,0.0
Monte Río,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite,SUR 138 kV,0.0,0.0
Itabo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite,SUR 138 kV,0.0,0.0
Itabo TG,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite,SUR 138 kV,0.0,0.0
Los Cocos,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite,SUR 138 kV,0.0,0.0
Palomino,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite,SUR 138 kV,0.0,0.0
POWERSHIP AZUA KPS 26,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite,SUR 138 kV,0.0,0.0
POWERSHIP AZUA KPS 60,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite,SUR 138 kV,0.0,0.0
Palenque,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite,SUR 138 kV,0.0,0.0
Cruce de Cabral 2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite,SUR 138 kV,0.0,0.0
San Juan 2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\San Juan 2.ElmSite,SUR 138 kV,0.0,0.0
Pizarrete,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite,SUR 138 kV,0.0,0.0
Matafongo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite,SUR 138 kV,0.0,0.0
Bayasol,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite,SUR 138 kV,0.0,0.0
Girasol,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite,SUR 138 kV,0.0,0.0
Santanasol,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite,SUR 138 kV,0.0,0.0
Calabaza,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite,SUR 138 kV,0.0,0.0
Arroyo Hondo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite,CENTRAL 138 kV,0.0,0.0
Herrera,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite,CENTRAL 138 kV,0.0,0.0
Dajao,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Dajao.ElmSite,CENTRAL 138 kV,0.0,0.0
Boca Chica,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite,CENTRAL 138 kV,0.0,0.0
