loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(buslv),barra(buslv)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
138/13.8 kV Transformador Sultana Este 1,WSESTE_WSES1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\138/13.8 kV Transformador Sultana Este 1.ElmTr2,4,,Terminal Sultana del Este 1,WSES1K,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/13.8 kV Traf Sult. del Este 100 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Sultana Este 2,WSESTE_WSES2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\138/13.8 kV Transformador Sultana Este 2.ElmTr2,2,,Terminal Sultana del Este 2,WSES2K,1,ESTE CERCANO,ESTE,ESTE 138 kV,,138/13.8 kV Tr 75 MVA Sultana del Este 2,0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Sultana Este 3,WSESTE_WSES3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\138/13.8 kV Transformador Sultana Este 3.ElmTr2,1,,Terminal Sultana del Este 3,WSES3K,1,ESTE CERCANO,ESTE,ESTE 138 kV,,138/13.8 kV Tr 75 MVA Sultana del Este 3,0.0,0.0,1,-10,0,1.0
138/69 kV Transformador La Romana,WLROME_WLROMF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\138/69 kV Transformador La Romana.ElmTr2,2,,1,,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,,133/69 kV La Romana T1 (100 MVA),0.0,0.0,1,-4,0,1.0
138/13.8 kV Transformador CESPM 3,WSPM2E_WCES3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138/13.8 kV Transformador CESPM 3.ElmTr2,L3,,Terminal CESPM 3,WCES3K,0,ESTE CERCANO,ESTE,ESTE 138 kV,,140/13.8 kV Trafo CESPM 3 150 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador CESPM 2,WSPM2E_WCES2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138/13.8 kV Transformador CESPM 2.ElmTr2,L2,,Terminal CESPM 2,WCES2K,0,ESTE CERCANO,ESTE,ESTE 138 kV,,140/13.8 kV Trafo CESPM 2 120 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador CESPM 1,WSPM2E_WCES1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138/13.8 kV Transformador CESPM 1.ElmTr2,R5,,Terminal CESPM 1,WCES1K,0,ESTE CERCANO,ESTE,ESTE 138 kV,,140/13.8 kV Trafo CESPM 1 120 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador CEMEX,WCEMEE_WCEMEK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\138/13.8 kV Transformador CEMEX.ElmTr2,1,,L1,,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/13.8 kV Trafo CEMEX 40 MVA,0.0,0.0,1,0,0,1.0
138/12.47 kV Transformador Los Orígenes,WLORIE_WLORIK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\138/12.47 kV Transformador Los Orígenes.ElmTr2,3,,Terminal Los Orígenes,WLORIK,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/12.47 kV Trafo Los Orígenes 65 MVA,0.0,0.0,1,1,0,1.0
138/13.8 kV Transformador SP Bio-Energy,WSPBEE_WSPB1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\138/13.8 kV Transformador SP Bio-Energy.ElmTr2,2,,L1,,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/13.8 kV Trafo SP Bio-Energy 45 MVA,0.0,0.0,1,5,0,1.0
