loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(buslv),barra(buslv)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
138/69 kV Transformador 1 Pizarrete,WPIZAE_WPIZAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite\138/69 kV Transformador 1 Pizarrete.ElmTr2,6,,2,,0,SUR CERCANO,SUR,SUR 138 kV,,138/69 kV Pizarrete T1 (150 MVA),0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador Matafongo,WMTFNE_WMTFNK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\138/34.5 kV Transformador Matafongo.ElmTr2,3,,Terminal Matafongo,WMTFNK,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Matafongo 55 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador Bayasol,WBAYAE_WBAYAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\138/34.5 kV Transformador Bayasol.ElmTr2,2,,Terminal Bayasol,WBAYAK,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Bayasol 60 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 1 Girasol,WGIRAE_WGIRAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\138/34.5 kV Transformador 1 Girasol.ElmTr2,L2,,L1,,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Girasol 75 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 2 Girasol,WGIRAE_WGIRAK-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\138/34.5 kV Transformador 2 Girasol.ElmTr2,R2,,R4,,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Girasol 75 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador Santanasol,WSANTE_WSANTK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\138/34.5 kV Transformador Santanasol.ElmTr2,L2,,Terminal Santanasol,WSANTK,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Santanasol 60 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador PF Calabaza 1,WCALAE_WXCA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\138/34.5 kV Transformador PF Calabaza 1.ElmTr2,L1,,Terminal PF Calabaza 1,WXCA1K,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo PF Calabaza 1 60 MVA,0.0,0.0,1,-8,0,1.0
138/69 kV Transformador Arroyo Hondo,WAHO1E_WAHONF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\138/69 kV Transformador Arroyo Hondo.ElmTr2,E01,,WAHONF(15),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/69 kV Arroyo Hondo T1 (200 MVA),0.0,0.0,1,0,0,1.0
138/69 kV Transformador Herrera,WHERRE_WHNVAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\138/69 kV Transformador Herrera.ElmTr2,1,,2,,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Herrera T1 (70 MVA),0.0,0.0,1,0,0,1.0
138/69 kV Transformador Dajao,WDJAOE_WDJAOF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Dajao.ElmSite\138/69 kV Transformador Dajao.ElmTr2,1,,WDJAOF(10),,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Dajao T1(150 MVA),0.0,0.0,1,-6,0,1.0
138/69 kV Transformador Boca Chica,WBCHIE_WBCHIF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138/69 kV Transformador Boca Chica.ElmTr2,3,,1,,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Boca Chica T1 (80 MVA),0.0,0.0,1,-4,0,1.0
138/69 kV Transformador Hainamosa,WHNSAE_WHNSAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\138/69 kV Transformador Hainamosa.ElmTr2,E3,,F1,,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Haina,0.0,0.0,1,0,0,1.0
138/69 kV Transformador Villa Duarte,WVDUAE_WVDUAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Villa Duarte.ElmSite\138/69 kV Transformador Villa Duarte.ElmTr2,E6,,F1,,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Villa Duarte T1 (140 MVA),0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Los Mina 6,WLMI6E_WLMI6K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\138/13.8 kV Transformador Los Mina 6.ElmTr2,2,,Terminal Los Mina 6,WLMI6K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo Los Mina 6 150 MVA,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador AES Andrés TV,WAANDE_WAANVK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/13.8 kV Transformador AES Andrés TV.ElmTr2,4,,Terminal AES Andrés Vapor,WAANVK,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo AES Andrés TV 141 MVA,0.0,0.0,1,2,0,1.0
138/19 kV Transformador AES Andrés TG,WAANDE_WAANGK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/19 kV Transformador AES Andrés TG.ElmTr2,3,,Terminal AES Andrés Gas,WAANGK,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/19 kV Trafo AES Andrés TG 264 MVA,0.0,0.0,1,2,0,1.0
138/4.16 kV BESS AES Andrés T1,WAANDE_WXBAAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/4.16 kV BESS AES Andrés T1.ElmTr2,6,,Terminal BESS AES Andrés,WXBAAK,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/4.16 kV BESS AES Andrés T1(22.4 MVA),0.0,0.0,1,0,0,1.0
138/13.2 kV Transformador METALDOM,WMETAE_WMETAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\METALDOM.ElmSite\138/13.2 kV Transformador METALDOM.ElmTr2,WMETAE(2),,Terminal METALDOM,WMETAK,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo METALDOM 60 MVA,0.0,0.0,1,0,0,1.0
138/69 kV Transformador Timbeque 2,WTIM2E_WTIM2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\138/69 kV Transformador Timbeque 2.ElmTr2,R3,,4,,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/69 kV Timbeque 2 T1(140MVA),0.0,0.0,1,1,0,1.0
138/13.8 kV Transformador Los Mina 5,WLMI5E_WLMI5K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 5.ElmSite\138/13.8 kV Transformador Los Mina 5.ElmTr2,2,,Terminal Los Mina 5,WLMI5K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 Trafo Los Mina 5 150 MVA,0.0,0.0,1,2,0,1.0
138/69 kV Transformador 1 Palamara,WPALAE_WPALBF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\138/69 kV Transformador 1 Palamara.ElmTr2,10,,R4,,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Palamara T1 (140 MVA),0.0,0.0,1,-1,0,1.0
138/69 kV Transformador 2 Palamara,WPALAE_WPALAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\138/69 kV Transformador 2 Palamara.ElmTr2,9,,L1,,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Palamara T2 (200 MVA),0.0,0.0,1,-4,0,1.0
138/13.8 kV Transformador EDM2,WEMA2E_WEMA2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\EDM 2.ElmSite\138/13.8 kV Transformador EDM2.ElmTr2,Terminal Estrella del Mar 2,WXED2E,13.8 kV Estrella del Mar 2,WEMA2K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo EDM2 150 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Los Mina 7,WLMI7E_WLMI7K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\138/13.8 kV Transformador Los Mina 7.ElmTr2,1,,Terminal Los Mina 7,WLMI7K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13. Trafo Los Mina 7 150 MVA,0.0,0.0,1,2,0,1.0
138/69 kV Transformador Metropolitano 2,WMETRE_WMETRF-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Metropolitano.ElmSite\138/69 kV Transformador Metropolitano 2.ElmTr2,3,,R3,,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/69 kV Autotr Metropolitano 125 MVA,0.0,0.0,1,-3,0,1.0
138/13.8 kV Trafo SIBA Grupo 1,WSIBAE_WXSI1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 1.ElmTr2,L1,,Terminal SIBA Grupo 1,WXSI1K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 2,WSIBAE_WXSI2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 2.ElmTr2,L2,,Terminal SIBA Grupo 2,WXSI2K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 3,WSIBAE_WXSI3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 3.ElmTr2,L3,,Terminal SIBA Grupo 3,WXSI3K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 4,WSIBAE_WXSI4K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 4.ElmTr2,L4,,Terminal SIBA Grupo 4,WXSI4K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 5,WSIBBE_WXSI5K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 5.ElmTr2,R1,,Terminal SIBA Grupo 5,WXSI5K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,145/13.8 kV Trafo SIBA 48 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 6,WSIBAE_WXSI6K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 6.ElmTr2,L5,,Terminal SIBA Grupo 6,WXSI6K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 65 MVA,0.0,0.0,1,-2,0,1.0
138/4.16 kV SA Parque Energ. Los Mina,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138/4.16 kV SA Parque Energ. Los Mina.ElmTr2,4,,Terminal SA PE Los Mina,WXSALMK,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/4.16 SA PE Los Mina T1(20MVA),0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador La Victoria,WHNS1E_WLVICK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\138/34.5 kV Transformador La Victoria.ElmTr2,1,,Terminal La Victoria,WLVICK,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/34.5 kV La Victoria (80 MVA),0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador Mirasol,WMIRAE_WMIRAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138/34.5 kV Transformador Mirasol.ElmTr2,1,,Terminal Mirasol,WMIRAK,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/34.5 kV Trafo Mirasol 120 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador WCSP 2,WMP2AE_WXWC2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138/34.5 kV Transformador WCSP 2.ElmTr2,L1,,Terminal Washington Capital Solar Park 2,WXWC2K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/34.5 kV WCSP 2 T1(80 MVA),0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador WCSP 3,WMP2BE_WXWC3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138/34.5 kV Transformador WCSP 3.ElmTr2,R1,,Terminal Washington Capital Solar Park 3,WXWC3K,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/34.5 kV WCSP 2 T1(80 MVA),0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Pinalito 2,WPINAF_WPIN2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Pinalito.ElmSite\69/13.8 kV Transformador Pinalito 2.ElmTr2,WPINAF(2),,Terminal Pinalito 2,WPIN2K,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/13.8 kV Trafo Pinalito 30.12 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Pinalito 1,WPINAF_WPIN1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Pinalito.ElmSite\69/13.8 kV Transformador Pinalito 1.ElmTr2,WPINAF(3),,Terminal Pinalito 1,WPIN1K,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/13.8 kV Trafo Pinalito 30.12 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Río Blanco 2,WRBLAF_WRBL2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Río Blanco.ElmSite\69/13.8 kV Transformador Río Blanco 2.ElmTr2,WRBLAF(3),,Terminal Río Blanco Secc. C,WRBLCK,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/13.8 kV Trafo Río Blanco 15 MVA,0.0,0.0,1,1,0,1.0
69/13.8 kV Transformador Río Blanco 1,WRBLAF_WRBL1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Río Blanco.ElmSite\69/13.8 kV Transformador Río Blanco 1.ElmTr2,WRBLAF(2),,Terminal Río Blanco Secc. A,WRBLAK,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/13.8 kV Trafo Río Blanco 15 MVA,0.0,0.0,1,1,0,1.0
69/12.5 kV Transformador Rincón,WRINCF_WRINCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Rincón.ElmSite\69/12.5 kV Transformador Rincón.ElmTr2,WRINCF(1),,Terminal Rincón,WRINCK,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/12.5 kV Trafo Rincón 10.1 MVA,0.0,0.0,1,0,0,1.0
69/4.16 kV Transformador Rosa Julia Cruz,WNAGUF_WRJCRK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Nagua/Rosa Julia de la Cruz.ElmSite\69/4.16 kV Transformador Rosa Julia Cruz.ElmTr2,WNAGUF(6),,Terminal Rosa Julia De La Cruz,WRJCRK,0,CIBAO NORESTE,NORTE,NORTE 69 kV,,69/4.16 kV Trafo Boba 1.25 MVA,0.0,0.0,1,0,0,1.0
69/12.5 kV Transformador El Salto,WCONSF_WESALK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Constanza/El Salto.ElmSite\69/12.5 kV Transformador El Salto.ElmTr2,WCONSF(2),,Terminal El Salto,WESALK,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/12.5 Trafo El Salto 14 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador La Vega Grupo 1,WGVEBF_WLVE1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Diésel La Vega.ElmSite\69/13.8 kV Transformador La Vega Grupo 1.ElmTr2,R2,,R1,,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/13.8 kV Trafo La Vega G1 69 MVA,0.0,0.0,1,4,0,1.0
69/13.8 kV Transformador La Vega Grupo 2,WGVEGF_WLVE2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Diésel La Vega.ElmSite\69/13.8 kV Transformador La Vega Grupo 2.ElmTr2,L2,,L1,,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/13.8 kV Trafo La Vega G2 69 MVA,0.0,0.0,1,4,0,1.0
69/12.5 kV Transformador Aniana Vargas,WBPERF_WAVA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Bonao PER/Anaiana Vargas.ElmSite\69/12.5 kV Transformador Aniana Vargas.ElmTr2,WBPERF(5),,Terminal Aniana Vargas,WAVA1K,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/12.5 kV Trafo Aniana Vargas 0.8 MVA,0.0,0.0,1,0,0,1.0
69/12.5 kV Transformador Jimenoa,WJIMEF_WJIMEK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Jimenoa.ElmSite\69/12.5 kV Transformador Jimenoa.ElmTr2,69 kV Jimenoa,WJIMEF,Terminal Jimenoa,WJIMEK,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/12.5 kV Trafo Jimenoa 14 MVA,0.0,0.0,1,0,0,1.0
69/12.5 kV Transformador Hatillo 1,WHATIF_WHATIK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Hatillo.ElmSite\69/12.5 kV Transformador Hatillo 1.ElmTr2,3,,Terminal Hatillo 1,WHATIK,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/12.5 kV Trafo Hatillo 1 10.7 MVA,0.0,0.0,1,2,0,1.0
69/12.5 kV Transformador Hatillo 2,WHATIF_WHAT2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Hatillo.ElmSite\69/12.5 kV Transformador Hatillo 2.ElmTr2,2,,3,,0,CIBAO SUR,NORTE,NORTE 69 kV,,69/12.5 kV Trafo Hatillo 2 14 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Brazo Derecho,WBDERF_WBDERK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Brazo Derecho.ElmSite\69/13.8 kV Transformador Brazo Derecho.ElmTr2,69 kV Brazo Derecho,WBDERF,Terminal Brazo Derecho,WBDERK,0,CIBAO NOROESTE,NORTE,NORTE 69 kV,,69/13.8 kV Trafo Brazo Derecho 4 MVA,0.0,0.0,1,0,0,1.0
138/69 kV Trafo Playa Dorada,WPDORE_WPDORF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\138/69 kV Trafo Playa Dorada.ElmTr2,1,,5,,0,CIBAO NORTE,NORTE,NORTE 69 kV,,138/69 kV Pizarrete T1 (150 MVA),0.0,0.0,1,0,0,1.0
