loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus2),barra(bus2)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,on_off,aUsage
ZMPLAF-D1-Q1,ZMPLAF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF-D1-Q1.ElmCoup,WMPLAF(3),,WMPLAF(4),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,cbk
disconnector(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(5).ElmCoup,69 kV Monte Plata,WMPLAF,1(2),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
ZMPLAF-D2-Q1,ZMPLAF-D2-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF-D2-Q1.ElmCoup,1(2),,1,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,cbk
disconnector(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(4).ElmCoup,1,,1(1),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
disconnector(10),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(10).ElmCoup,69 kV Monte Plata,WMPLAF,2(8),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
disconnector(11),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(11).ElmCoup,2(7),,2(6),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
ZMPLAF_ZYAMAF-L1-Q1(3),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF_ZYAMAF-L1-Q1(3).ElmCoup,2(8),,2(7),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,cbk
WMPSOK_WMPSOF-T1-Q1,WMPSOK_WMPSOF-T1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\WMPSOK_WMPSOF-T1-Q1.ElmCoup,T1.2,,T1.1,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,cbk
G3MPSOLA-Q1,G3MPSOLA-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\G3MPSOLA-Q1.ElmCoup,T1.4,,T1.3,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,cbk
CB3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\CB3.ElmCoup,T2.2,,T2.1,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,cbk
