loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,typ_id,GPSlat,GPSlon,Inom,ngnum,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,mode_inp,phtech,bustp,phiini
CESPM 3,G3CESPM3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 3.ElmSym,Terminal CESPM 3,WCES3K,0,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,CESPM 3,0.0,0.0,4.936763286590576,1,80.0,0.0,1.0199999809265137,constv,0,100.30000305175781,0.0,1.0,-1.0,100.0,DEF,1,PV,0.0
CESPM 2,G3CESPM2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 2.ElmSym,Terminal CESPM 2,WCES2K,0,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,CESPM 2,0.0,0.0,4.936763286590576,1,78.44000244140625,0.0,1.0199999809265137,constv,0,100.30000305175781,0.0,1.0,-1.0,90.0,DEF,1,PV,0.0
CESPM 1,G3CESPM1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 1.ElmSym,Terminal CESPM 1,WCES1K,0,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,CESPM 1,0.0,0.0,4.936763286590576,1,79.9000015258789,0.0,1.0199999809265137,constv,0,100.30000305175781,0.0,1.0,-1.0,90.0,DEF,1,PV,0.0
Bersal,G3BERSAL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\Bersal.ElmSym,R1,,1,ESTE CERCANO,ESTE,ESTE 138 kV,Diesel,,Bersal,0.0,0.0,1.3178647756576538,4,1.000000013351432e-10,0.0,1.0,constq,0,6.400000095367432,0.0,1.0,-1.0,3.75,DEF,1,PQ,0.0
Los Orígenes Power Plant Grupo 1,G4LOPPL1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Los Orígenes Power Plant Grupo 1.ElmSym,Terminal Los Orígenes,WLORIK,1,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,Los Orígenes Grupo 1,0.0,0.0,1.465228796005249,3,1.000000013351432e-10,0.0,1.0,constq,0,8.432000160217285,0.0,1.0,-1.0,5.599999904632568,DEF,1,PQ,0.0
Los Orígenes Power Plant Grupo 2,G4LOPPL2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Los Orígenes Power Plant Grupo 2.ElmSym,Terminal Los Orígenes,WLORIK,1,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,Los Orígenes Grupo 2,0.0,0.0,1.9765101671218872,2,1.000000013351432e-10,0.0,1.0490000247955322,constv,0,17.18000030517578,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
San Pedro Bio-Energy,G3SPBIOE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\San Pedro Bio-Energy.ElmSym,R1,,0,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,San Pedro Bio-Energy,0.0,0.0,1.4517431259155273,1,30.0,14.529670715332031,1.0499999523162842,constv,0,30.5,0.0,1.0,-1.0,30.0,DEF,1,PV,0.0
Contra Embalse Monción 2,G3CEMON2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Contra Embalse Monción 2.ElmSym,Terminal Contra Embalse Monción,WCEMOK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Hydro,,Contra Embalse Monción 1,0.0,0.0,0.24981501698493958,1,0.8999999761581421,0.0,1.0,constq,0,1.440000057220459,0.0,1.0,-1.0,1.4399999380111694,DEF,1,PQ,0.0
Contra Embalse Monción 1,G3CEMON1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Contra Embalse Monción 1.ElmSym,Terminal Contra Embalse Monción,WCEMOK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Hydro,,Contra Embalse Monción 1,0.0,0.0,0.24981501698493958,1,0.8999999761581421,0.0,1.0,constq,0,1.440000057220459,0.0,1.0,-1.0,0.75,DEF,1,PQ,0.0
Monción 2,G3MONCI2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Monción 2.ElmSym,Terminal Monción,WMONCK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Hydro,,Monción,0.0,0.0,1.2551093101501465,1,21.399999618530273,0.0,1.0,constv,0,26.0,0.0,1.0,-1.0,24.0,DEF,1,PV,0.0
