nombre,fuera_servicio,zona,area,red,ruta,barra_AT,subest_AT,barra_AT_id,barra_BT,subest_BT,barra_BT_id,tipo,num_paralelos,tap_actual,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,uk0_pct,Pcu_kW,Pfe_kW,i0_pct,grupo_conexion,r1_pu,x1_pu,tap_lado,tap_min,tap_max,tap_neutro,tap_dU_pct,tap_fase_deg
69/34.5 kV Transformador FALCONDO,1,CIBAO SUR,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\69/34.5 kV Transformador FALCONDO.ElmTr2,WFALCF(1),ZFALCF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\ZFALCF.ElmSubstat\WFALCF(1).ElmTerm,R3,ZFALCK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\ZFALCK.ElmSubstat\R3.ElmTerm,69/34.5 kV Falcondo T1 (78.4 MVA),1,0,78.4000015258789,69.0,34.5,13.65999984741211,12.382966995239258,273.1719970703125,0.0,0.0,YNyn0,0.0034843366593122482,0.13655555248260498,0,-2,2,0,2.5,0.0
138/34.5 kV Transformador PF SAJOMA,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\138/34.5 kV Transformador PF SAJOMA.ElmTr2,1,ZSAJOM,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\ZSAJOM.ElmSubstat\1.ElmTerm,Terminal PF SAJOMA,SAJOMA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Terminal PF SAJOMA.ElmTerm,138/34.5 kV SAJOMA T1(75 MVA),1,0,75.0,138.0,34.5,13.399999618530273,12.0600004196167,375.0,0.0,0.0,YNd11,0.004999999888241291,0.13390669226646423,0,-13,13,0,1.0,0.0
138/20 kV Trafo Monte Cristi Solar G1,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\138/20 kV Trafo Monte Cristi Solar G1.ElmTr2,4,ZGUAYE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZGUAYE.ElmSubstat\4.ElmTerm,L1,ZPFMSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L1.ElmTerm,138/20 kV Traf Monte Cristi Solar 25 MVA,1,3,25.0,138.0,20.0,9.0,8.100000381469727,125.0,0.0,0.0,YNd11,0.004999999888241291,0.08986100554466248,0,-10,10,0,1.0042999982833862,0.0
138/20 kV Trafo Monte Cristi Solar G2,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\138/20 kV Trafo Monte Cristi Solar G2.ElmTr2,3,ZGUAYE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZGUAYE.ElmSubstat\3.ElmTerm,R1,ZPFMSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\R1.ElmTerm,138/20 kV Traf Monte Cristi Solar 25 MVA,1,3,25.0,138.0,20.0,9.0,8.100000381469727,125.0,0.0,0.0,YNd11,0.004999999888241291,0.08986100554466248,0,-10,10,0,1.0042999982833862,0.0
138/34.5 kV Transformador Agua Clara,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\138/34.5 kV Transformador Agua Clara.ElmTr2,3,ZACLAE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\ZACLAE.ElmSubstat\3.ElmTerm,Terminal Agua Clara,Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,138/34.5 kV Trafo Agua Clara 60 MVA,1,2,60.0,138.0,34.5,12.5,12.5,280.0,30.0,1.0,YNd11,0.004666666500270367,0.12491285800933838,0,-7,7,0,1.5,0.0
138/34.5 kV Transformador Guanillo,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\138/34.5 kV Transformador Guanillo.ElmTr2,3,ZGNLLE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\ZGNLLE.ElmSubstat\3.ElmTerm,Terminal Guanillo,Guanillo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,138/34.5 kV Trafo Guanilo 63 MVA,1,0,63.0,138.0,34.5,11.449999809265137,10.305000305175781,315.0,30.0,0.17000000178813934,YNd11,0.004999999888241291,0.1143907755613327,0,-10,10,0,1.0,0.0
138/69 kV Transformador SFM,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SFM.ElmSite\138/69 kV Transformador SFM.ElmTr2,3,ZSFMAE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SFM.ElmSite\ZSFMAE.ElmSubstat\3.ElmTerm,3,ZSFMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SFM.ElmSite\ZSFMAF.ElmSubstat\3.ElmTerm,138/69 kV SFM T1 (140 MVA),1,-3,140.0,138.0,69.0,11.930000305175781,10.79568099975586,192.0,0.0,0.0,YNyn0,0.0013714286033064127,0.11929211765527725,0,-15,15,0,1.0,0.0
138/34.5 kV Trafo Los Guzmancito,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\138/34.5 kV Trafo Los Guzmancito.ElmTr2,3,ZLGUZE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\ZLGUZE.ElmSubstat\3.ElmTerm,Terminal Los Guzmancito,Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito.ElmTerm,138/34.5 Trafo Los Guzmancitos 72 MVA,1,0,72.0,138.0,34.5,13.119999885559082,11.8100004196167,360.0,0.0,0.0,YNd11,0.004999999888241291,0.13110469281673431,0,-2,2,0,2.5,0.0
138/34.5 kV Trafo 2 Guzmancito,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\138/34.5 kV Trafo 2 Guzmancito.ElmTr2,4,ZLGUZE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\ZLGUZE.ElmSubstat\4.ElmTerm,Terminal Los Guzmancito 2,Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito 2.ElmTerm,34.5/138 kV Trafo Guzmancito 2 72 MVA,1,0,72.0,138.0,34.5,13.119999885559082,11.8100004196167,360.0,0.0,0.0,YNd11,0.004999999888241291,0.13110469281673431,0,-2,2,0,2.5,0.0
138/34.5 kV Transformador MATRISOL,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\138/34.5 kV Transformador MATRISOL.ElmTr2,1,ZMATRE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\ZMATRE.ElmSubstat\1.ElmTerm,Terminal MATRISOL,Matrisol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Terminal MATRISOL.ElmTerm,138/34.5 kV Trafo Matrisol 50 MVA,1,10,50.0,138.0,34.5,11.680000305175781,10.510000228881836,250.0,0.0,0.0,YNd11,0.004999999888241291,0.1166929304599762,0,-10,10,0,1.0,0.0
138/34.5 kV Transformador PS Esperanza,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\138/34.5 kV Transformador PS Esperanza.ElmTr2,1,ZESPEE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\ZESPEE.ElmSubstat\1.ElmTerm,Terminal 1 Parque Solar Esperanza,Esperanza,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,138/34.5 kV Trafo PS Esperanza 75 MVA,1,-2,75.0,138.0,34.5,10.619999885559082,9.557999610900879,375.0,0.0,0.0,YNd11,0.004999999888241291,0.10608223080635071,0,-13,13,0,1.0,0.0
138/13.8 kV Pimentel 4 T1,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138/13.8 kV Pimentel 4 T1.ElmTr2,R4,ZPIMEE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\ZPIMEE.ElmSubstat\R4.ElmTerm,Terminal Pimentel 4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Terminal Pimentel 4.ElmTerm,138/13.8 kV Pimentel 4(100 MVA),1,0,100.0,138.0,13.800000190734863,15.699999809265137,14.130000114440918,144.4499969482422,0.0,0.0,YNd1,0.0014444999396800995,0.15699335932731628,0,-2,2,0,2.5,0.0
138/34.5 kV Tavera T1,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138/34.5 kV Tavera T1.ElmTr2,7,ZTAVEE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Tavera.ElmSite\ZTAVEE.ElmSubstat\7.ElmTerm,34.5 kV Tavera,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\34.5 kV Tavera.ElmTerm,138/34.5 kV Trafo Tavera,1,0,14.0,138.0,34.5,10.170000076293945,9.191396713256836,0.0,0.0,0.0,YNyn0,0.0,0.10170000046491623,0,-11,11,0,1.0499999523162842,0.0
69/6.9 kV Transformador Los Toros,0,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\69/6.9 kV Transformador Los Toros.ElmTr2,69 kV Los Toros,Los Toros,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\69 kV Los Toros.ElmTerm,Terminal Los Toros,Los Toros,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\Terminal Los Toros.ElmTerm,72/6.9 kV Trafo Los Toros 10.5 MVA,1,0,10.5,72.0,6.900000095367432,7.840000152587891,7.059999942779541,10.5,0.0,0.0,YNd5,0.0010000000474974513,0.07839362323284149,0,-2,2,0,5.0,0.0
69/13.8 kV Transformador Sabana Yegua,0,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\69/13.8 kV Transformador Sabana Yegua.ElmTr2,2,ZSYEGF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\ZSYEGF.ElmSubstat\2.ElmTerm,Terminal Sabana Yegua,Sabana Yegua,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\Terminal Sabana Yegua.ElmTerm,69/13.8 kV Trafo Sabana Yegua 15 MVA,1,1,15.0,69.0,13.800000190734863,9.899820327758789,8.949999809265137,300.0799865722656,0.0,0.0,YNd11,0.020005332306027412,0.09695582091808319,0,-3,3,0,2.5,0.0
69/12.5 kV Transformador Sabaneta,0,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite\69/12.5 kV Transformador Sabaneta.ElmTr2,WSABAF(1),ZSABAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite\ZSABAF.ElmSubstat\WSABAF(1).ElmTerm,Terminal Sabaneta,Sabaneta,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite\Terminal Sabaneta.ElmTerm,67/12.47 kV Trafo Sabaneta 15 MVA,1,1,15.0,67.0,12.470000267028809,5.599999904632568,5.039999961853027,75.0,0.0,0.0,YNd1,0.004999999888241291,0.055776335299015045,0,-2,2,0,2.690000057220459,0.0
