nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,num_paralelos,S_nom_MVA,cos_phi,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,categoria,P_max_MW,P_min_MW,Q_max_Mvar,Q_min_Mvar
Juancho Los Cocos 1,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Juancho Los Cocos 1.ElmGenstat,L4,ZLCOCK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L4.ElmTerm,26,1.7999999523162842,1.0,0.17114999890327454,7.080901143208251e-11,1.0,constq,Wind,2.0,0.0,1.0,-1.0
Larimar,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar.ElmGenstat,L2,ZLARIK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\L2.ElmTerm,15,3.299999952316284,1.0,1.898669958114624,3.7975775302179215e-11,1.0,constq,Wind,3.299999952316284,0.0,1.0,-1.0
Larimar 2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar 2.ElmGenstat,R3,ZLARIK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\R3.ElmTerm,14,3.450000047683716,1.0,1.6707099676132202,3.7975775302179215e-11,1.0,constq,Wind,3.450000047683716,0.0,1.0,-1.0
Parque Fotovoltaico Los Negros,1,SUR MEDIO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Parque Fotovoltaico Los Negros.ElmGenstat,Terminal Monte Río 2,Monte Río,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\Terminal Monte Río 2.ElmTerm,3,6.5,1.0,0.0,0.0,1.0,constq,Photovoltaic,6.5,0.0,0.6342857480049133,-0.6342857480049133
Bayasol,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Bayasol.ElmGenstat,Terminal Bayasol,Bayasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Terminal Bayasol.ElmTerm,13,3.9600000381469727,1.0,0.0,0.0,1.0,constq,Photovoltaic,3.9600000381469727,0.0,1.0,-1.0
Girasol Grupo 1,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 1.ElmGenstat,L2,ZGIRAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\L2.ElmTerm,12,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,Photovoltaic,3.799999952316284,0.0,1.0,-1.0
Girasol Grupo 2,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 2.ElmGenstat,R1,ZGIRAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\R1.ElmTerm,16,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,Photovoltaic,3.799999952316284,0.0,1.0,-1.0
Santanasol,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Santanasol.ElmGenstat,Terminal Santanasol,Santanasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Terminal Santanasol.ElmTerm,15,3.799999952316284,1.0,0.0,0.0,1.0,constq,Photovoltaic,3.799999952316284,0.0,0.33000001311302185,-0.33000001311302185
PF Calabaza 1,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\PF Calabaza 1.ElmGenstat,Terminal PF Calabaza 1,Calabaza,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Terminal PF Calabaza 1.ElmTerm,17,3.492000102996826,0.8519999980926514,0.0,0.0,1.0,constq,Photovoltaic,3.492000102996826,0.0,0.43580129742622375,-0.43580129742622375
PE Matafongo 2,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo 2.ElmGenstat,Terminal Matafongo,Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,3,5.199999809265137,1.0,1.5655499696731567,0.0,1.0,constq,Wind,5.199999809265137,0.0,0.328000009059906,-0.328000009059906
PE Matafongo,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo.ElmGenstat,Terminal Matafongo,Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,17,2.0,1.0,0.6007900238037109,0.0,1.0,constq,Wind,2.0999999046325684,0.0,0.328000009059906,-0.328000009059906
Sistema Almacenamiento AES Andrés,0,,,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Sistema Almacenamiento AES Andrés.ElmGenstat,Terminal BESS AES Andrés,AES Andrés,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Terminal BESS AES Andrés.ElmTerm,1,5.5,1.0,1.000000013351432e-10,0.0,1.0,constq,Storage,5.5,0.0,1.0,-1.0
SA PE Los Mina,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SA PE Los Mina.ElmGenstat,Terminal SA PE Los Mina,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal SA PE Los Mina.ElmTerm,1,5.5,1.0,1.000000013351432e-10,0.0,1.0,constq,Storage,5.5,0.0,1.0,-1.0
PF La Victoria,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\PF La Victoria.ElmGenstat,Terminal La Victoria,La Victoria,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\Terminal La Victoria.ElmTerm,8,6.25,1.0,0.0,0.0,1.0,constq,Photovoltaic,6.25,0.0,0.6342857480049133,-0.6342857480049133
PF Washington Capital 2,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 2.ElmGenstat,Terminal Washington Capital Solar Park 2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal Washington Capital Solar Park 2.ElmTerm,8,6.25,1.0,0.0,0.0,1.0,constq,Photovoltaic,6.25,0.0,0.6342857480049133,-0.6342857480049133
PF Washington Capital 3,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 3.ElmGenstat,Terminal Washington Capital Solar Park 3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal Washington Capital Solar Park 3.ElmTerm,8,6.25,1.0,0.0,0.0,1.0,constq,Photovoltaic,6.25,0.0,0.6342857480049133,-0.6342857480049133
Mirasol,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol.ElmGenstat,Terminal Mirasol,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal Mirasol.ElmTerm,17,5.881999969482422,1.0,0.0,0.0,1.0,constq,Photovoltaic,5.881999969482422,0.0,0.6899999976158142,-0.6899999976158142
