nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,tipo,P_MW,Q_Mvar,S_MVA,cos_phi,escala,modo_entrada,aP,bP,cP,aQ,bQ,cQ
Demanda Parque Cibernético,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Parque Cibernético.ElmLod,69 kV Parque Cibernético,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Parque Cibernético.ElmTerm,,0.8600000143051147,0.4300000071525574,0.9615092277526855,0.8944271802902222,1.0,PQ,,,,,,
Demanda Molinos del Ozama,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Molinos del Ozama.ElmLod,69 kV Molinos del Ozama,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Molinos del Ozama.ElmTerm,,1.2200000286102295,1.0499999523162842,1.6096272468566895,0.7579394578933716,1.0,PQ,,,,,,
Demanda MERCASID,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda MERCASID.ElmLod,69 kV MERCASID,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV MERCASID.ElmTerm,,3.359999895095825,2.0999999046325684,3.9622719287872314,0.847998321056366,1.0,PQ,,,,,,
Demanda INCA La Isabela,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda INCA La Isabela.ElmLod,69 kV INCA La Isabela,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV INCA La Isabela.ElmTerm,,0.07999999821186066,0.03999999910593033,0.08944271504878998,0.8944272398948669,1.0,PQ,,,,,,
Demanda INCA Gerdau,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Demanda INCA Gerdau.ElmLod,R1,ZINCAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\R1.ElmTerm,,7.380000114440918,1.7000000476837158,7.573268890380859,0.974480152130127,1.0,DEF,,,,,,
SSAA INCA km 22,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\SSAA INCA km 22.ElmLod,L3,ZINCAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L3.ElmTerm,,0.0,0.0,0.0,1.0,1.0,DEF,,,,,,
Demanda Harinas del Higuamo,0,ESTE CERCANO,ESTE,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Harinas del Higuamo.ElmLod,69 kV Harinas del Higuamo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Harinas del Higuamo.ElmTerm,,0.5,0.23000000417232513,0.5503635406494141,0.9084904193878174,1.0,PQ,,,,,,
Demanda 1 Despacho,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 Despacho.ElmLod,WDESPF(2),ZDESPF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm,,2.4800000190734863,0.8299999833106995,2.6152055263519287,0.9483002424240112,1.0,PQ,,,,,,
Demanda Cartonera del Caribe,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Cartonera del Caribe.ElmLod,69 kV Cartones del Caribe,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Cartones del Caribe.ElmTerm,,0.6899999976158142,0.8899999856948853,1.1261438131332397,0.6127103567123413,1.0,PQ,,,,,,
Demanda Cayacoa,0,ESTE CERCANO,ESTE,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Cayacoa.ElmLod,69 kV Cayacoa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Cayacoa.ElmTerm,,3.140000104904175,0.0,3.140000104904175,1.0,1.0,PQ,,,,,,
Demanda Catalina,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Catalina.ElmLod,69 kV Catalina,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Catalina.ElmTerm,,4.320000171661377,1.649999976158142,4.624381065368652,0.9341791272163391,1.0,PQ,,,,,,
Demanda 1 La Caleta,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 La Caleta.ElmLod,WLCALF(5),ZLCALF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZLCALF.ElmSubstat\WLCALF(5).ElmTerm,,10.479999542236328,5.309999942779541,11.748467445373535,0.892031192779541,1.0,PQ,,,,,,
Demanda Base Aérea San Isidro,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Base Aérea San Isidro.ElmLod,69 kV Base Aérea San Isidro,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Base Aérea San Isidro.ElmTerm,,1.850000023841858,0.6600000262260437,1.9642046689987183,0.9418570399284363,1.0,PQ,,,,,,
Demanda Asociación Industrial ZF SPM,0,ESTE CERCANO,ESTE,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Asociación Industrial ZF SPM.ElmLod,69 kV Asociación Industrial ZF SPM,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Asociación Industrial ZF SPM.ElmTerm,,2.1500000953674316,0.3199999928474426,2.1736836433410645,0.9891043901443481,1.0,PQ,,,,,,
Demanda Aeropuerto El Higüero,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Aeropuerto El Higüero.ElmLod,69 kV Aeropuerto El Higüero,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aeropuerto El Higüero.ElmTerm,,0.20999999344348907,0.03999999910593033,0.21377557516098022,0.982338547706604,1.0,PQ,,,,,,
Demanda Aero Las Américas,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Aero Las Américas.ElmLod,69 kV Aero Las Américas,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aero Las Américas.ElmTerm,,2.859999895095825,1.1100000143051147,3.0678493976593018,0.932249128818512,1.0,PQ,,,,,,
Demanda Aluminio Dominicano,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Aluminio Dominicano.ElmLod,69 kV Aluminio Dominicano,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aluminio Dominicano.ElmTerm,,0.05999999865889549,0.009999999776482582,0.060827624052762985,0.986393928527832,1.0,PQ,,,,,,
Demanda Acueducto Brujuela,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Acueducto Brujuela.ElmLod,69 kV Acueducto Brujuela,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto Brujuela.ElmTerm,,3.509999990463257,2.190000057220459,4.137172698974609,0.8484054803848267,1.0,PQ,,,,,,
Demanda 1 Invivienda,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 Invivienda.ElmLod,R2,ZINVIF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm,,18.420000076293945,5.760000228881836,19.299585342407227,0.9544246792793274,1.0,PQ,,,,,,
Demanda Acueducto La Isabela,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Acueducto La Isabela.ElmLod,69 kV Acueducto La Isabela,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto La Isabela.ElmTerm,,0.23999999463558197,0.23000000417232513,0.3324154019355774,0.7219882011413574,1.0,DEF,,,,,,
SSAA EDM3 TG1,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SSAA EDM3 TG1.ElmLod,Terminal EDM3 TG1,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,,18.0,5.916314601898193,18.947368621826172,0.949999988079071,1.0,DEF,,,,,,
SSAA EDM3 TG2,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SSAA EDM3 TG2.ElmLod,Terminal EDM3 TG2,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,,0.0,0.0,0.0,1.0,1.0,DEF,,,,,,
Demanda Multiform,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Multiform.ElmLod,69 kV Multiform,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Multiform.ElmTerm,,1.5399999618530273,0.7400000095367432,1.708566665649414,0.9013403058052063,1.0,DEF,,,,,,
