nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,tipo,num_paralelos,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,P_max_MW,P_min_MW,Q_max_Mvar,Q_min_Mvar,S_nom_MVA,U_nom_kV,cos_phi,xd_pu,xq_pu,xl_pu,rstr_pu,xd_t_pu,xd_st_pu,xq_st_pu,Td0_s,Td0_st_s,Tq0_st_s,H_s,turbo
Sultana del Este Grupo 2,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 2.ElmSym,Terminal Sultana del Este 2,Sultana del Este,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 2.ElmTerm,Sultana del Este Motor,3,1.000000013351432e-10,0.0,1.0,constv,17.0,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.1777790784835815,0
CESPM 3,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 3.ElmSym,Terminal CESPM 3,SPM 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm,CESPM 3,1,80.0,0.0,1.0199999809265137,constv,100.30000305175781,0.0,1.0,-1.0,118.0,13.800000190734863,0.8500000238418579,1.899999976158142,1.809999942779541,0.127,0.0010000000474974513,0.21199999749660492,0.14900000393390656,0.16300000250339508,8.232999801635742,0.0430000014603138,0.05000000074505806,3.25,1
CESPM 2,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 2.ElmSym,Terminal CESPM 2,SPM 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm,CESPM 2,1,78.44000244140625,0.0,1.0199999809265137,constv,100.30000305175781,0.0,1.0,-1.0,118.0,13.800000190734863,0.8500000238418579,1.899999976158142,1.809999942779541,0.127,0.0010000000474974513,0.21199999749660492,0.14900000393390656,0.16300000250339508,8.232999801635742,0.0430000014603138,0.05000000074505806,3.25,1
CESPM 1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 1.ElmSym,Terminal CESPM 1,SPM 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 1.ElmTerm,CESPM 1,1,79.9000015258789,0.0,1.0199999809265137,constv,100.30000305175781,0.0,1.0,-1.0,118.0,13.800000190734863,0.8500000238418579,1.899999976158142,1.809999942779541,0.127,0.0010000000474974513,0.21199999749660492,0.14900000393390656,0.16300000250339508,8.232999801635742,0.0430000014603138,0.05000000074505806,3.25,1
Bersal,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\Bersal.ElmSym,R1,ZCEMEK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\ZCEMEK.ElmSubstat\R1.ElmTerm,Bersal,4,1.000000013351432e-10,0.0,1.0,constq,6.400000095367432,0.0,1.0,-1.0,7.875,13.800000190734863,0.800000011920929,1.6200000047683716,0.9700000286102295,0.0,0.001500000013038516,0.28200000524520874,0.17800000309944153,0.22300000488758087,2.6425533294677734,0.03485393151640892,0.24250000715255737,0.9709434509277344,0
Los Orígenes Power Plant Grupo 1,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Los Orígenes Power Plant Grupo 1.ElmSym,Terminal Los Orígenes,Los Orígenes,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm,Los Orígenes Grupo 1,3,1.000000013351432e-10,0.0,1.0,constq,8.432000160217285,0.0,1.0,-1.0,10.548999786376953,12.470000267028809,0.800000011920929,1.7699999809265137,0.8799999952316284,0.157,0.004999999888241291,0.36000001430511475,0.28700000047683716,0.2879999876022339,3.048333168029785,0.025087108835577965,0.12222222238779068,1.0885847806930542,0
Los Orígenes Power Plant Grupo 2,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Los Orígenes Power Plant Grupo 2.ElmSym,Terminal Los Orígenes,Los Orígenes,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm,Los Orígenes Grupo 2,2,1.000000013351432e-10,0.0,1.0490000247955322,constv,17.18000030517578,0.0,1.0,-1.0,21.344999313354492,12.470000267028809,0.800000011920929,1.9079999923706055,1.0549999475479126,0.0,0.004000000189989805,0.4090000092983246,0.2280000001192093,0.25699999928474426,8.61632251739502,0.042586229741573334,0.16707587242126465,1.2766350507736206,0
San Pedro Bio-Energy,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\San Pedro Bio-Energy.ElmSym,R1,ZSPBEK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\ZSPBEK.ElmSubstat\R1.ElmTerm,San Pedro Bio-Energy,1,30.0,14.529670715332031,1.0499999523162842,constv,30.5,0.0,1.0,-1.0,34.70000076293945,13.800000190734863,0.8999999761581421,2.430000066757202,1.3700000047683716,0.183,0.0020000000949949026,0.36800000071525574,0.29100000858306885,0.39800000190734863,8.23426628112793,0.030350515618920326,0.03442211076617241,1.0444146394729614,0
Contra Embalse Monción 2,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Contra Embalse Monción 2.ElmSym,Terminal Contra Embalse Monción,Monción,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm,Contra Embalse Monción 1,1,0.8999999761581421,0.0,1.0,constq,1.440000057220459,0.0,1.0,-1.0,1.7999999523162842,4.159999847412109,0.800000011920929,1.5,1.0,0.0,0.004399999976158142,0.30000001192092896,0.1899999976158142,0.20000000298023224,5.0,0.05999999865889549,0.2512562870979309,3.5,0
Contra Embalse Monción 1,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Contra Embalse Monción 1.ElmSym,Terminal Contra Embalse Monción,Monción,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm,Contra Embalse Monción 1,1,0.8999999761581421,0.0,1.0,constq,1.440000057220459,0.0,1.0,-1.0,1.7999999523162842,4.159999847412109,0.800000011920929,1.5,1.0,0.0,0.004399999976158142,0.30000001192092896,0.1899999976158142,0.20000000298023224,5.0,0.05999999865889549,0.2512562870979309,3.5,0
