oc_punto,oc_tipo,oc_tension,oc_agente,lat,lon,matched_bus_id,matched_name,match_source,match_method,match_score
LA ROMANA T1,RETIRO,69 KV,EDEESTE,18.445416,-68.983686,WLROME,LA ROMANA 138,bus_name,fuzzy,0.5
LA ROMANA T2,RETIRO,69 KV,EDEESTE,18.445416,-68.98384,WLROME,LA ROMANA 138,bus_name,fuzzy,0.5
LA ROMANA 138 T02,RETIRO,138,EDEESTE,18.44578,-68.98366,WLROME,LA ROMANA 138,bus_name,fuzzy,1.0
TORGINOL,UNR,69 KV,EDESUR,18.445863,-69.980122,WTORGF,TORGINOL,bus_name,exact,1.0
BEPENSA,UNR,12.5,AES ANDRES,18.4475707,-69.9302023,,,,unmatched,0.0
HOTEL HAMACA,UNR,12.5 KV,EGEHAINA,18.4481714,-69.6046777,,,,unmatched,0.0
NESPLAS C1,UNR,12.5,EGEHAINA,18.44821,-69.978168,,,,unmatched,0.0
PARQUE FOTOVOLTAICO COASTAL T01,GENERACION,138,COASTAL PETROLEUM DOMINICANA,18.44835682,-69.25208556,WCOAPE,PARQUE FOTOVOLTAICO COASTAL,generator_name,fuzzy,1.0
PARQUE FOTOVOLTAICO COASTAL T02,GENERACION,138,COASTAL PETROLEUM DOMINICANA,18.448617,-69.253226,WCOAPE,PARQUE FOTOVOLTAICO COASTAL,generator_name,fuzzy,1.0
HERRERA NUEVA T2,RETIRO,69 KV,EDESUR,18.4495685,-69.9801671,WHENUF,HERRERA NUEVA,bus_name,fuzzy,1.0
HERRERA 138 kV,RETIRO,138 KV,EDESUR,18.4497572,-69.9804165,WHERRE,HERRERA 138,bus_name,fuzzy,1.0
SULTANA DEL ESTE,CENTRAL,138 KV,EGEHAINA,18.449802,-69.318019,WSESTE,SULTANA DEL ESTE,bus_name,exact,1.0
PARQUE CIBERNÉTICO C1,UNR,12.5,EGEITABO,18.449809,-69.661796,WPCIBF,PARQUE CIBERNÉTICO,bus_name,fuzzy,1.0
PARQUE CIBERNETICO,RETIRO,69 KV,EDEESTE,18.449857,-69.661829,WPCIBF,PARQUE CIBERNÉTICO,bus_name,exact,1.0
DOWNTOWN CENTER C1,UNR,12.5,EGEHAINA,18.45091,-69.95287,,,,unmatched,0.2
ABCO,UNR,69 KV,EDESUR,18.4511834,-69.9705487,WABCOF,ABCO,bus_name,exact,1.0
ALUMINIOS DOMINICANOS,RETIRO,69 KV,EDESUR,18.4512031,-69.9815566,WXALDF,TAP ALUMINIOS DOMINICANOS,bus_name,fuzzy,0.667
SERVICIO ESTACION SULTANA DEL ESTE,RETIRO,138,EGEHAINA,18.45212,-69.317376,WSESTE,SULTANA DEL ESTE,bus_name,fuzzy,0.5
ZF SAN PEDRO DE MACORIS,UNR,69 KV,AES ANDRES,18.45314,-69.28846,WSPM2E,SAN PEDRO DE MACORIS 2,bus_name,fuzzy,0.75
EMBAJADOR T1,RETIRO,138 KV,EDESUR,18.454175,-69.947133,WEMBAE,EMBAJADOR,bus_name,fuzzy,1.0
EMBAJADOR T2,RETIRO,138 KV,EDESUR,18.454216,-69.947033,WEMBAE,EMBAJADOR,bus_name,fuzzy,1.0
LA CALETA T03,RETIRO,69,EDEESTE,18.45484,-69.686663,WLCALF,LA CALETA,bus_name,fuzzy,1.0
LA CALETA,RETIRO,69 KV,EDEESTE,18.4548607,-69.686615,WLCALF,LA CALETA,bus_name,exact,1.0
PRODUCTOS LINDA,RETIRO,69 KV,EDESUR,18.4553889,-70.7621389,WPLINF,PRODUCTOS LINDA,bus_name,exact,1.0
BOCA CHICA,RETIRO,138 KV,EDEESTE,18.4554444,-69.6201111,WBCHIE,BOCA CHICA 138,bus_name,fuzzy,0.667
ALMACENES UNIDOS SARASOTA,UNR,12.5,EGEHAINA,18.45586,-69.93839,,,,unmatched,0.0
UASD 138 KV T3,RETIRO,138 KV,EDESUR,18.45732,-69.924139,WUASDE,UASD 138,bus_name,fuzzy,1.0
UASD 138 KV T2,RETIRO,138 KV,EDESUR,18.457362,-69.924043,WUASDE,UASD 138,bus_name,fuzzy,1.0
UASD 138 KV T1,RETIRO,138 KV,EDESUR,18.457468,-69.923834,WUASDE,UASD 138,bus_name,fuzzy,1.0
ZF SAN PEDRO AES,RETIRO,69 KV,EDEESTE,18.457632,-69.289406,WZFS2F,ZF SAN PEDRO 2 69KV,bus_name,fuzzy,0.6
CARTONERA DEL CARIBE,UNR,12.5 KV,LEAR,18.457788,-69.713079,,,,unmatched,0.333
ZF SAN PEDRO CHENTEC,RETIRO,69 KV,EDEESTE,18.4579167,-69.288,WZFS2F,ZF SAN PEDRO 2 69KV,bus_name,fuzzy,0.6
SIBA 138,GENERACION,138,SIBA,18.4585981,-69.6196248,,,,unmatched,0.333
UNIVERSIDAD CENTRAL ESTE (UCE),UNR,12.5,EGEHAINA,18.459888,-69.293475,,,,unmatched,0.25
ZF LAS AMERICAS,UNR,69 KV,EGEHAINA,18.4607091,-69.7104301,WZFAMF,ZF LAS AMERICAS,bus_name,exact,1.0
SPM 138 T01,RETIRO,138,EDEESTE,18.461792,-69.314454,WSPMAE,SPM 138 KV,bus_name,fuzzy,1.0
HOTEL JARAGUA,UNR,12.5 KV,EDEESTE,18.4619464,-69.9005114,,,,unmatched,0.0
SPM 69,RETIRO,69 KV,EDEESTE,18.461998,-69.314451,WSPMAF,SPM 69 KV,bus_name,fuzzy,1.0
CCN LUPERON,UNR,12.5,EGEHAINA,18.4625535,-69.9685864,WLUPEF,LUPERÓN,bus_name,fuzzy,0.5
CESAR IGLESIAS,UNR,69 KV,EGEHAINA,18.4626944,-69.3161111,WXCIGF,TAP CÉSAR IGLESIAS,bus_name,fuzzy,0.667
BANCO MULTIPLE BHD LEON,UNR,12.5,EGEITABO,18.462916,-69.937932,,,,unmatched,0.2
DESTILERIA BRUGAL,UNR,69 KV,GRUPO EÓLICO DOMINICANO,18.4630556,-69.3162222,WXDBRF,TAP DESTILERÍA BRUGAL,bus_name,fuzzy,0.667
BRAVO CENTRO DISTRIBUCIÓN ESTE,UNR,12.5,EDEESTE,18.46337,-69.66582,,,,unmatched,0.25
INVERPLATA,UNR,12.5 KV,EGEHAINA,18.463512,-69.896198,,,,unmatched,0.0
PARQUE FOTOVOLTAICO CUMAYASA 1,GENERACION,138,"EFD ECOENER FOTOVOLTAICA DOMINICANA, S.R.L.",18.463537,-69.05832,WCUMAE,PARQUE FOTOVOLTAICO CUMAYASA 1,generator_name,exact,1.0
PARQUE FOTOVOLTAICO CUMAYASA 4,GENERACION,138,RENEWABLE ENERGY WORLD DOMINICUS,18.46367,-69.0585,WCUMBE,PARQUE FOTOVOLTAICO CUMAYASA 4,generator_name,exact,1.0
PARQUE FOTOVOLTAICO CUMAYASA 2,GENERACION,138,"EFD ECOENER FOTOVOLTAICA DOMINICANA, S.R.L.",18.463768,-69.058314,WCUMBE,PARQUE FOTOVOLTAICO CUMAYASA 2,generator_name,exact,1.0
CAASD 2,RETIRO,69 KV,EDESUR,18.4645787,-70.0205662,,,,unmatched,0.333
CAASD 1,RETIRO,69 KV,EDESUR,18.464855,-70.020994,,,,unmatched,0.333
CCN 27 DE FEBRERO,UNR,12.5,EGEHAINA,18.4648921,-69.9297762,,,,unmatched,0.2
KM 15 DE AZUA,RETIRO,69 KV,EDESUR,18.4654722,-70.86875,WKQAZE,KILOMETRO 15 DE AZUA,bus_name,fuzzy,0.5
MULTICENTRO LA SIRENA AV. LUPERON C2,UNR,12.5,EGEHAINA,18.465808,-69.968845,,,,unmatched,0.25
QUITA CORAZA,RETIRO,69,EDESUR,18.4659024,-71.0724169,WQCORF,QUITA CORAZA,registry_load_name,exact,1.0
HARINA DEL HIGUAMO,RETIRO,69 KV,EDEESTE,18.4663147,-69.3168777,WHGMOE,HIGUAMO,bus_name,fuzzy,0.5
SAN PEDRO BIO-ENERGY,CENTRAL,138 KV,SAN PEDRO BIO-ENERGY,18.4665057,-69.3318597,WSPBEE,SAN PEDRO BIO-ENERGY,bus_name,exact,1.0
CERVECERIA BOHEMIA,RETIRO,69 KV,EDESUR,18.4669389,-69.9945622,WCBOHF,CERVECERÍA BOHEMIA,bus_name,exact,1.0
FERSAN,UNR,12.5,EGEHID,18.4672977,-69.99466,,,,unmatched,0.0
LOS ORIGENES POWER PLANT,CENTRAL,138 KV,LOS ORIGENES,18.467577,-69.3189948,WLORIE,LOS ORÍGENES,bus_name,fuzzy,0.5
LOS PRADOS T1,RETIRO,138,EDESUR,18.469139,-69.953413,WLPRAE,LOS PRADOS,bus_name,fuzzy,1.0
LOS PRADOS T2,RETIRO,138,EDESUR,18.469314,-69.953307,WLPRAE,LOS PRADOS,bus_name,fuzzy,1.0
LOS PRADOS T3,RETIRO,138,EDESUR,18.469504,-69.953247,WLPRAE,LOS PRADOS,bus_name,fuzzy,1.0
BAYONA T1,RETIRO,69 KV,EDESUR,18.4695278,-70.0219722,WBAYOF,BAYONA,bus_name,fuzzy,1.0
GUAVAVERRY,RETIRO,69 KV,EDEESTE,18.470166,-69.4507,,,,unmatched,0.0
INGENIO CRISTOBAL COLON,UNR,12.5 KV,SAN PEDRO BIO-ENERGY,18.47043,-69.32894,,,,unmatched,0.25
CESAR NICOLAS PENSON  138 KV T2,RETIRO,138 KV,EDEESTE,18.472301,-69.901057,WCNPEE,CÉSAR NICOLÁS PÉNSON,bus_name,fuzzy,0.75
CESAR NICOLAS PENSON  138 KV T1,RETIRO,138 KV,EDEESTE,18.4723407,-69.9010996,WCNPEE,CÉSAR NICOLÁS PÉNSON,bus_name,fuzzy,0.75
GRUPO RAMOS CHURCHILL,UNR,12.5 KV,EGEHAINA,18.472387,-69.9419302,,,,unmatched,0.333
CODETEL 30 DE MARZO,UNR,12.5 KV,EDEESTE,18.472684,-69.893495,,,,unmatched,0.25
BLUE MALL,UNR,12.5,EDESUR,18.473322,-69.941794,,,,unmatched,0.0
INDUVECA MIRADOR ESTE,UNR,12.5,EDESUR,18.474613,-69.873977,,,,unmatched,0.25
UNIVERSIDAD IBEROAMERICANA (UNIBE),UNR,12.5,EGEHAINA,18.4748501,-69.9098474,,,,unmatched,0.0
MOLINOS DEL OZAMA,UNR,69 KV,EGEITABO,18.475288,-69.879525,WMOZAF,MOLINOS DEL OZAMA,bus_name,exact,1.0
EL BRISAL T2,RETIRO,138,EDEESTE,18.476063,-69.788212,WEBRIE,EL BRISAL,bus_name,fuzzy,1.0
EL BRISAL,RETIRO,69 KV,EDEESTE,18.476236,-69.788204,WEBRIE,EL BRISAL,bus_name,exact,1.0
GRUPO RAMOS SIRENA MELLA,UNR,12.5,EGEHAINA,18.4773716,-69.8876475,WXGRMF,GRUPO RAMOS MELLA,bus_name,fuzzy,0.667
METROPOLITANO T1,RETIRO,69 KV,EDESUR,18.4788517,-69.920291,WMETBF,METROPOLITANO B,bus_name,fuzzy,1.0
METROPOLITANO T2,RETIRO,69 KV,EDESUR,18.47886,-69.920368,WMETBF,METROPOLITANO B,bus_name,fuzzy,1.0
LISTIN DIARIO,UNR,69 KV,AES ANDRES,18.4789694,-69.9115362,WLDIAF,LISTÍN DIARIO,bus_name,exact,1.0
CODETEL,UNR,69 KV,EDESUR,18.479243,-69.9203335,WXCODF,TAP CODETEL,bus_name,fuzzy,0.5
