oc_punto,oc_tipo,oc_tension,oc_agente,lat,lon,matched_bus_id,matched_name,match_source,match_method,match_score
BONAO PER,RETIRO,69 KV,EDENORTE,18.9086389,-70.3703056,WBOPEF,BONAO PER,bus_name,exact,1.0
MAIMON,RETIRO,69 KV,EDENORTE,18.909019,-70.276043,WMAIMF,MAIMÓN,bus_name,exact,1.0
BONAO 3 345,GENERACION,138,PVDC,18.9096946,-70.3657865,WBONAF,BONAO,bus_name,fuzzy,0.5
BONAO 3 138 kV,GENERACION,138,PVDC,18.9103651,-70.3663102,WBON2E,BONAO 2 138,bus_name,fuzzy,1.0
ZF DOS RIOS,UNR,69 KV,AES ANDRES,18.9106534,-70.3756156,WZFDRF,DOS RIOS,bus_name,fuzzy,0.667
CONSTANZA,RETIRO,69 KV,EDENORTE,18.9110556,-70.7159167,WCONSF,CONSTANZA,bus_name,exact,1.0
PALOMINO 1,CENTRAL,138 KV,EGEHID,18.922346,-71.009417,WPLM1E,PALOMINO 1,bus_name,exact,1.0
PALOMINO 2,CENTRAL,138 KV,EGEHID,18.922501,-71.009273,WPLM1E,PALOMINO 2,generator_name,exact,1.0
BONAO PER T02,RETIRO,69,EDENORTE,18.925901,-70.406045,WBOPEF,BONAO PER,bus_name,fuzzy,1.0
FALCON 1,UNR,69 KV,SPOT,18.928725,-70.357494,WTFA1K,TERMINAL FALCON 1,bus_name,fuzzy,1.0
FALCON 2,UNR,138 KV,SPOT,18.928818,-70.357368,WTFA1K,TERMINAL FALCON 1,bus_name,fuzzy,1.0
PVDC L2,RETIRO,230 KV,PVDC,18.934639,-70.171754,,,,unmatched,0.0
PVDC L1,RETIRO,230 KV,PVDC,18.9347865,-70.1717507,,,,unmatched,0.0
TIREO,RETIRO,69 KV,EDENORTE,18.9379167,-70.6874722,WTIREF,TIREO,bus_name,exact,1.0
SABANETA,CENTRAL,69 KV,EGEHID,18.9804444,-71.2908056,WSABAF,SABANETA,bus_name,exact,1.0
SABANETA RETIRO,RETIRO,69 KV,EDESUR,18.980491,-71.290819,WSABAF,SABANETA,bus_name,fuzzy,1.0
LOS RIOS,RETIRO,69 KV,EDENORTE,18.981562,-70.628188,WZFDRF,DOS RIOS,bus_name,fuzzy,0.5
CENTRAL HATILLO 2,GENERACION,69,EGEHID,19.036857,-70.192701,WHATIF,HATILLO,bus_name,fuzzy,1.0
HATILLO,CENTRAL,69 KV,EGEHID,19.0368889,-70.1926667,WHATIF,HATILLO,bus_name,exact,1.0
SABANA DE LA MAR,RETIRO,69 KV,EDEESTE,19.0459541,-69.3886027,WSMARF,SABANA DE LA MAR,bus_name,exact,1.0
COTUI,RETIRO,69 KV,EDENORTE,19.061249,-70.15719,WCOTUF,COTUÍ,bus_name,exact,1.0
PASO BAJITO,RETIRO,69 KV,EDENORTE,19.0661389,-70.6101389,WPBAJF,PASO BAJITO,bus_name,exact,1.0
JIMENOA,CENTRAL,69 KV,EGEHID,19.0985556,-70.5971944,WJIMEF,JIMENOA,bus_name,exact,1.0
JARABACOA,RETIRO,12.5 KV,EDENORTE,19.1033611,-70.5953611,WJARAF,JARABACOA,bus_name,exact,1.0
RINCON,CENTRAL,69 KV,EGEHID,19.1062532,-70.4063311,WRINCF,RINCÓN,bus_name,exact,1.0
RINCON 69 KV,RETIRO,69 KV,EDENORTE,19.10632,-70.40629,WRINCF,RINCÓN,bus_name,fuzzy,0.5
PASTAS ALIMENTICIAS,UNR,12.5,EGEHID,19.115558,-70.189776,,,,unmatched,0.333
TAVERAS,RETIRO,138 KV,EDENORTE,19.1246,-70.30844,,,,unmatched,0.0
FANTINO,RETIRO,69,EDENORTE,19.124603,-70.308447,WFANTF,FANTINO,bus_name,exact,1.0
HOSPITAL TRAUMATOLOGICO,RETIRO,69 KV,EDENORTE,19.141497,-70.467288,,,,unmatched,0.25
INDAL,UNR,69 KV,EGEHAINA,19.1527833,-70.4697087,WIDALF,69 kV INDAL,registry_load_name,fuzzy,0.5
PIMENTEL,RETIRO,69 KV,EDENORTE,19.1914005,-70.1085371,WPIMEE,PIMENTEL,bus_name,exact,1.0
ABANICO PER,RETIRO,69 KV,EDENORTE,19.1917636,-69.9446532,WAPERF,ABANICO PER,bus_name,exact,1.0
PIMENTEL T3,CENTRAL,69 KV,LAESA LTD,19.20341,-70.092381,WPIMEE,PIMENTEL,bus_name,fuzzy,1.0
PIMENTEL IV,GENERACION,138,LAESA LTD,19.203415,-70.092257,WPIMEE,PIMENTEL,bus_name,fuzzy,0.5
PIMENTEL T2,CENTRAL,69 KV,LAESA LTD,19.203422,-70.092495,WPIMEE,PIMENTEL,bus_name,fuzzy,1.0
PIMENTEL T1,CENTRAL,69 KV,LAESA LTD,19.203428,-70.092594,WPIMEE,PIMENTEL,bus_name,fuzzy,1.0
CENOVI,RETIRO,69 KV,EDENORTE,19.2057,-70.352,WCENOF,CENOVÍ,bus_name,exact,1.0
SAMANA,RETIRO,138 KV,EDENORTE,19.209522,-69.3243894,WSAMAE,SAMANA 138KV,bus_name,fuzzy,0.5
LA VEGA PER,RETIRO,69 KV,EDENORTE,19.2202309,-70.5144823,WLVPEF,LA VEGA PER,bus_name,exact,1.0
LA VEGA T2,RETIRO,69 KV,EDENORTE,19.2239633,-70.5351981,WLVEGF,LA VEGA,bus_name,fuzzy,1.0
FONT GAMUNDI,UNR,12.5,EDENORTE,19.226726,-70.509312,,,,unmatched,0.0
CERVECERIA VEGANA,RETIRO,69 KV,EDENORTE,19.2308333,-70.5408056,WCVEGF,CERVECERÍA VEGANA,bus_name,exact,1.0
SANCHEZ,RETIRO,138 KV,EDENORTE,19.234166,-69.618972,WSANCE,SÁNCHEZ 138,bus_name,fuzzy,0.5
INDUVECA,UNR,69 KV,EGEHAINA,19.2358804,-70.5348679,WXINDF,TAP INDUVECA,bus_name,fuzzy,0.5
AGREGADOS SANTA BARBARA,UNR,12.5,EGEHAINA,19.2444607,-69.6609763,,,,unmatched,0.0
ACUEDUCTO HERMANAS MIRABAL,RETIRO,69 KV,EDENORTE,19.244777,-70.4,WXAHMF,TAP ACUEDUCTO HERMANAS MIRABAL,bus_name,fuzzy,0.75
ZF LA VEGA,RETIRO,69 KV,EDENORTE,19.246554,-70.556536,WZFVEF,ZF LA VEGA 69 KV,bus_name,fuzzy,0.667
DIESEL LA VEGA T2,CENTRAL,69 KV,GPLV,19.24694,-70.550648,WLVEGF,LA VEGA,bus_name,fuzzy,0.5
DIESEL LA VEGA T1,CENTRAL,69 KV,GPLV,19.2469722,-70.5508056,WLVEGF,LA VEGA,bus_name,fuzzy,0.5
ZF INDUSTRIAL LA VEGA,UNR,12.5 KV,AES ANDRES,19.2488889,-70.5552222,WZFISF,ZF INDUSTRIAL SANTIAGO,bus_name,fuzzy,0.5
NESTLE,UNR,69,EGEITABO,19.2643847,-70.2138852,,,,unmatched,0.0
GRUPO RAMOS SFM,UNR,69 KV,EDENORTE,19.2768194,-70.2403851,WGRSFF,GRUPO RAMOS SFM,bus_name,exact,1.0
BAIGUAQUE 1,CENTRAL,12.5 KV,EGEHID,19.2818,-70.7771778,WTAVBE,BAIGUAQUE 1,generator_name,exact,1.0
EL CHIVO T2,RETIRO,69,EDENORTE,19.285246,-70.255853,WECHIF,EL CHIVO,bus_name,fuzzy,1.0
EL CHIVO,RETIRO,69 KV,EDENORTE,19.28531,-70.25585,WECHIF,EL CHIVO,bus_name,exact,1.0
LAS TERRENAS,RETIRO,34.5 KV,LFLT,19.2950707,-69.5500767,,,,unmatched,0.0
PROGRESO DEL LIMON,RETIRO,12.5,PROGRESO DEL LIMÓN,19.3179629,-69.4836017,,,,unmatched,0.0
TAVERA 2,CENTRAL,138 KV,EGEHID,19.324637,-70.736846,WTAVBE,TAVERA 2,generator_name,exact,1.0
TAVERA 1,CENTRAL,138 KV,EGEHID,19.324683,-70.736959,WTAVBE,TAVERA 1,generator_name,exact,1.0
LA PENDA 69,RETIRO,69,EDENORTE,19.3315092,-70.6040372,,,,unmatched,0.333
SAN JOSE DE LA MATAS,RETIRO,69 KV,EDENORTE,19.338775,-70.902192,WSJMAF,SAN JOSÉ DE LA MATAS,bus_name,exact,1.0
SALCEDO,RETIRO,69 KV,EDENORTE,19.3499553,-70.4227335,WSALCE,SALCEDO,bus_name,exact,1.0
NAGUA,RETIRO,69 KV,EDENORTE,19.363111,-69.851,WNAGUF,NAGUA,bus_name,exact,1.0
LOPEZ ANGOSTURA,CENTRAL,138 KV,EGEHID,19.3684989,-70.7146046,WLANGE,LÓPEZ ANGOSTURA,bus_name,exact,1.0
MOCA T1,RETIRO,69 KV,EDENORTE,19.3838611,-70.5367222,WMOCAF,MOCA,bus_name,fuzzy,1.0
MOCA NUEVA,RETIRO,138 KV,EDENORTE,19.3855278,-70.5320833,WMOCAF,MOCA,bus_name,fuzzy,0.5
CEMENTO CIBAO,UNR,69 KV,EGEITABO,19.388172,-70.681519,,,,unmatched,0.333
CARIBBEAN INDUSTRIAL PARK,UNR,69 KV,AES ANDRES,19.4074444,-70.664,WCINDF,CARIBBEAN INDUSTRIAL,bus_name,fuzzy,0.667
TROQUELADO DOMINICANO,UNR,69,EGEITABO,19.413252,-70.647859,,,,unmatched,0.333
LA FABRIL,UNR,12.5 KV,EGEITABO,19.414059,-70.649145,,,,unmatched,0.0
CANABACOA,RETIRO,138 KV,EDENORTE,19.415749,-70.643924,WCANAE,CANABACOA 138,bus_name,fuzzy,0.5
MONCION 2,CENTRAL,138 KV,EGEHID,19.426396,-71.090163,WMONCE,MONCION 2,generator_name,exact,1.0
MONCION 1,CENTRAL,12.5 KV,EDENORTE,19.4264701,-71.090096,WMONCE,MONCION 1,generator_name,exact,1.0
ROSA JULIA DE LA CRUZ,CENTRAL,12.5 KV,EGEHID,19.434888,-70.085881,WNAGUF,ROSA JULIA DE LA CRUZ,generator_name,exact,1.0
HOSPITAL METRO SANTIAGO,UNR,69 KV,EGEITABO,19.4357976,-70.6601478,WHMSAF,HOSPITAL METROPOLITANO SANTIAGO,bus_name,fuzzy,0.5
PUCMM-SANTIAGO C2,UNR,12.5 KV,EGEITABO,19.439244,-70.682828,,,,unmatched,0.333
PUCMM-SANTIAGO C1,UNR,12.5 KV,EGEITABO,19.439397,-70.682783,,,,unmatched,0.333
PARQUE FOTOVOLTAICO SAJOMA,GENERACION,138,EGEHAINA,19.440988,-70.879534,WSAJ1E,PARQUE FOTOVOLTAICO SAJOMA,generator_name,exact,1.0
PIMCO,RETIRO,69 KV,EDENORTE,19.442719,-70.737082,WPIMCF,PIMCO,bus_name,exact,1.0
NIBAJE T2,RETIRO,138 KV,EDENORTE,19.443272,-70.703078,WNIBAE,NIBAJE 138,bus_name,fuzzy,0.5
NIBAJE T1,RETIRO,138 KV,EDENORTE,19.44328,-70.703174,WNIBAE,NIBAJE 138,bus_name,fuzzy,0.5
MOLINOS VALLE DEL CIBAO,UNR,69 KV,EGEITABO,19.4455833,-70.6385278,WMVCIF,MOLINOS VALLE CIBAO,bus_name,fuzzy,1.0
ZF INDUSTRIAL SANTIAGO BT,UNR,138,EDESUR,19.446426,-70.640623,WZFISF,ZF INDUSTRIAL SANTIAGO,bus_name,fuzzy,0.75
ACERO CIBAO,RETIRO,69 KV,EDENORTE,19.4509,-70.7442,WACIBF,ACERO CIBAO,bus_name,exact,1.0
PASTA PRINCESA,RETIRO,69 KV,EDENORTE,19.453239,-70.658352,,,,unmatched,0.333
VILLA OLGA,RETIRO,69 KV,EDENORTE,19.4542778,-70.6792,WVOLGF,VILLA OLGA,bus_name,exact,1.0
PLAZA SANTIAGO CENTER,UNR,69,EGEITABO,19.45608251,-70.68604809,WPSCEF,69 kV PLAZA SANTIAGO CENTER,registry_load_name,fuzzy,0.75
FERRETERIA OCHOA,RETIRO,69 KV,EDENORTE,19.4584444,-70.71113,WFOCHF,FERRETERÍA OCHOA,bus_name,exact,1.0
UNION MEDICA,RETIRO,69 KV,EDENORTE,19.4590556,-70.6796389,WUMEDF,UNION MEDICA,bus_name,exact,1.0
E LEON JIMENEZ,RETIRO,69 KV,EDENORTE,19.4623889,-70.67,WELJIF,E LEÓN JIMÉNEZ,bus_name,exact,1.0
DON PEDRO,RETIRO,69 KV,EDENORTE,19.4649167,-70.6193056,WDPEDF,DON PEDRO,bus_name,exact,1.0
CONTRA EMBALSE MONCION 1,CENTRAL,12.5 KV,EGEHID,19.4675953,-71.0821521,WTCEMK,CONTRA EMBALSE MONCION 1,generator_name,exact,1.0
ARTICULOS DE PIEL LOS FAVORITOS,UNR,69 KV,EGEITABO,19.4699,-70.71447,WAPFAF,ARTÍCULOS PIEL FAVORITOS,bus_name,fuzzy,1.0
HOSPITAL GENERAL LAS COLINAS,UNR,12.5,SPOT,19.472363,-70.712739,,,,unmatched,0.2
LA GALLERA T1,RETIRO,138 KV,EDENORTE,19.472968,-70.695142,WLGALE,LA GALLERA,bus_name,fuzzy,1.0
LA GALLERA T2,RETIRO,138 KV,EDENORTE,19.473059,-70.695107,WLGALE,LA GALLERA,bus_name,fuzzy,1.0
ZF SANTIAGO T2,RETIRO,138,EDENORTE,19.476435,-70.732606,WZFISF,ZF INDUSTRIAL SANTIAGO,bus_name,fuzzy,0.667
ZF SANTIAGO T1,RETIRO,138,EDENORTE,19.476466,-70.732517,WZFISF,ZF INDUSTRIAL SANTIAGO,bus_name,fuzzy,0.667
SANTIAGO RODRIGUEZ 138 KV,RETIRO,138 KV,EDENORTE,19.4804,-71.33094,WSRODE,SANTIAGO RODRÍGUEZ,bus_name,fuzzy,0.667
CORPORACION ZF SANTIAGO T1,UNR,69,EDESUR,19.480476,-70.726683,WZFISF,ZF INDUSTRIAL SANTIAGO,bus_name,fuzzy,0.5
ENVASES ANTILLANOS,UNR,69 KV,EGEITABO,19.4845857,-70.7250718,WXEANF,ENVASES ANTILLANOS,bus_name,exact,1.0
ZF DE GURABO,UNR,69 KV,AES ANDRES,19.4888611,-70.6574722,WZFGUF,ZF GURABO,bus_name,fuzzy,1.0
BALTIMORE DOMINICANA,RETIRO,69 KV,EDENORTE,19.4889739,-70.7136178,,,,unmatched,0.2
PARQUE FOTOVOLTAICO PAYITA 1,GENERACION,138,LCV ECOENER SOLARES DOMINICANA,19.49571,-69.953915,WPAYBE,PARQUE FOTOVOLTAICO PAYITA 1,generator_name,exact,1.0
PAYITA,RETIRO,69 KV,EDENORTE,19.5065556,-69.9427222,WPAYIF,PAYITA,bus_name,exact,1.0
ZF PISANO,UNR,69 KV,AES ANDRES,19.5113648,-70.7590943,WTZFPF,TER ZF PISANO VIRTUAL,bus_name,fuzzy,1.0
DAJABON,RETIRO,138 KV,EDENORTE,19.5167518,-71.6709778,WTDAJK,TERMINAL DAJABÓN,bus_name,fuzzy,1.0
PARQUE FOTOVOLTAICO MATRISOL,GENERACION,138,"MATRISOL, S.A.S.",19.51944,-69.993104,WMAT1E,PARQUE FOTOVOLTAICO MATRISOL,generator_name,exact,1.0
QUINIGUA,RETIRO,69 KV,EDENORTE,19.5271818,-70.7740548,WQUINF,QUINIGUA,bus_name,exact,1.0
ACUEDUCTO QUINIGUA,RETIRO,69 KV,EDENORTE,19.527209,-70.773881,WAQUIF,ACUEDUCTO QUINIGUA,bus_name,exact,1.0
FERRETERIA OCHOA - DIVISION LAS CHARCAS,UNR,12.5 KV,EGEITABO,19.5599,-70.8198,WFOCHF,FERRETERÍA OCHOA,bus_name,fuzzy,0.5
PORTELA PASTA LINDA,RETIRO,69 KV,EDENORTE,19.5610653,-70.8786202,WPPLIF,PORTELA PASTA LINDA,bus_name,exact,1.0
FERRETERIA OCHOA - DIVISION LAS LAVAS,UNR,69 KV,EGEITABO,19.5625529,-70.821122,WFOLAF,FERRETERÍA OCHOA LAS LAVAS,bus_name,fuzzy,0.75
VALVERDE MAO,RETIRO,138 KV,EDENORTE,19.5628579,-71.103096,WVMAOE,VALVERDE MAO,bus_name,exact,1.0
ARROZ BISONO AT T1,UNR,69 KV,EGEHAINA,19.5646325,-70.8853952,WABISF,ARROZ BISONO,bus_name,fuzzy,1.0
NAVARRETE PUEBLO,RETIRO,69 KV,EDENORTE,19.5671714,-70.8728251,WNAV2E,NAVARRETE 2,bus_name,fuzzy,0.5
PARQUE FOTOVOLTAICO ESPERANZA 2,GENERACION,138,EGEHAINA,19.577991,-70.959815,WESP1E,PARQUE EÓLICO ESPERANZA,generator_name,fuzzy,1.0
ESPERANZA,GENERACION,138,EGEHAINA,19.578416,-70.959824,WESP1E,PARQUE EÓLICO ESPERANZA,generator_name,fuzzy,1.0
PARQUE EÓLICO ESPERANZA,GENERACION,138,EGEHAINA,19.583609,-70.96278,WESP1E,PARQUE EÓLICO ESPERANZA,generator_name,exact,1.0
PEDRO GARCIA,RETIRO,69 KV,EDENORTE,19.5896139,-70.6319167,WPGARF,PEDRO GARCIA,bus_name,exact,1.0
BRAZO DERECHO,CENTRAL,69 KV,EGEHID,19.5918722,-70.9102083,WBDERF,BRAZO DERECHO,bus_name,exact,1.0
ZF ESPERANZA,UNR,69 KV,AES ANDRES,19.5965348,-70.9791015,WZFESF,ZF ESPERANZA,bus_name,exact,1.0
CRUCE ESPERANZA T1,RETIRO,69 KV,EDENORTE,19.6070824,-70.9782943,WCESPF,CRUCE DE ESPERANZA,bus_name,fuzzy,1.0
RIO SAN JUAN 138,RETIRO,138,EDENORTE,19.6190833,-70.0861667,WRSJUE,RIO SAN JUAN 138 kV,registry_load_name,fuzzy,1.0
ACUEDUCTO INAPA SOSUA,RETIRO,69 KV,EDENORTE,19.6552778,-70.5064444,WAISOF,ACUEDUCTO INAPA SOSUA,bus_name,exact,1.0
MANZANILLO POWER LAND TG T01,GENERACION,345,ENERGíA 2000,19.675459,-71.700417,WMPL1D,MANZANILLO POWER LAND CICLO SIMPLE,generator_name,fuzzy,0.5
MANZANILLO POWER LAND TV T01,GENERACION,345,ENERGíA 2000,19.676026,-71.700514,WMPL1D,MANZANILLO POWER LAND CICLO SIMPLE,generator_name,fuzzy,0.5
SABANETA YASICA,RETIRO,69 KV,EDENORTE,19.677577,-70.372856,WSYASF,SABANETA DE YASICA,bus_name,fuzzy,1.0
PARQUE EOLICO AGUA CLARA,GENERACION,138,AGUA CLARA,19.6939792,-71.220996,WACLAE,PARQUE EÓLICO AGUA CLARA,generator_name,exact,1.0
PARQUE FOTOVOLTAICO MONTECRISTI SOLAR T2,GENERACION,138,MONTECRISTI SOLAR,19.710617,-71.380991,WMONTE,MONTECRISTI,bus_name,fuzzy,1.0
PARQUE FOTOVOLTAICO MONTECRISTI SOLAR T1,GENERACION,138,MONTECRISTI SOLAR,19.710669,-71.381143,WMONTE,MONTECRISTI,bus_name,fuzzy,1.0
HISPANIOLA FRESH FRUIT COMPANY,UNR,12.5,SPOT,19.7358639,-71.4195837,,,,unmatched,0.0
IMBERT,RETIRO,69 KV,EDENORTE,19.74738,-70.84076,WIMBEF,IMBERT,bus_name,exact,1.0
CABARETE,RETIRO,69 KV,EDENORTE,19.7501111,-70.4152,WCABAF,CABARETE,bus_name,exact,1.0
AERODOM PUERTO PLATA,UNR,12.5 KV,EGEHAINA,19.75167,-70.56362,WPP22E,PUERTO PLATA 2 138,bus_name,fuzzy,0.5
AEREOPUERTO DE PUERTO PLATA,RETIRO,69 KV,EDENORTE,19.7516776,-70.5636221,WPP22E,PUERTO PLATA 2 138,bus_name,fuzzy,0.5
SOSUA,RETIRO,69 KV,EDENORTE,19.7638889,-70.5121667,WSOSUF,SOSUA,bus_name,exact,1.0
PLAYA DORADA,RETIRO,69 KV,EDENORTE,19.7661389,-70.6519722,WPDORF,PLAYA DORADA,bus_name,exact,1.0
PUERTO PLATA DE ELECTRICIDAD,RETIRO,69 KV,EDENORTE,19.7677862,-70.6528398,WXPPEF,TAP PUERTO PLATA ELECTRICIDAD,bus_name,fuzzy,0.75
PARQUE EOLICO GUANILLO,GENERACION,138,PECASA,19.795726,-71.315742,WGNLLE,PARQUE EÓLICO GUANILLO,generator_name,exact,1.0
PUERTO PLATA,RETIRO,69 KV,EDENORTE,19.795767,-70.720118,WPP22E,PUERTO PLATA 2 138,bus_name,fuzzy,0.667
PUERTO PLATA 2 138,RETIRO,138,EDENORTE,19.795817,-70.719931,WPP22E,PUERTO PLATA 2 138,bus_name,exact,1.0
OCEAN WORLD,UNR,12.5 KV,EGEITABO,19.825009,-70.7307207,,,,unmatched,0.0
MONTECRISTI 138 kV,RETIRO,138 KV,EDENORTE,19.842559,-71.628481,WMONTE,MONTECRISTI,bus_name,fuzzy,0.5
PARQUE EOLICO LOS GUZMANCITOS II,GENERACION,138,POSEIDON,19.86776272,-70.81626657,WLGUZE,PARQUE EÓLICO LOS GUZMANCITOS 2,generator_name,fuzzy,0.5
LOS GUZMANCITOS,GENERACION,138,POSEIDON,19.868048,-70.816554,WLGUZE,PARQUE EÓLICO LOS GUZMANCITOS 2,generator_name,fuzzy,1.0
LUPERON,RETIRO,69 KV,EDENORTE,19.885271,-70.961651,WLUPEF,LUPERÓN,bus_name,exact,1.0
