Avg(SOCKETS.GPS_LAT_S),SOCKETS.GPS_LONG_S,Min(Puntos_Suministro.PUNTO),Min(Puntos_Suministro.TIPO),Min(Puntos_Suministro.TENSION),Min(Puntos_Suministro.AGENTE)
18.320997,-70.180804,INGENIO CAEI,RETIRO,69 KV,EDESUR
18.321027,-70.392528,PARQUE FOTOVOLTAICO PERAVIA I,GENERACION,138,I.E. DR PROJECTS I
18.3230409,-70.3977799,PARQUE FOTOVOLTAICO CALABAZA,GENERACION,138,ENREN
18.3264108,-70.1805648,YAGUATE,RETIRO,69 KV,EDESUR
18.328639,-70.19781,PARQUE SOLAR GIRASOL T2,GENERACION,138,EGEHAINA
18.32873,-70.19806,PARQUE SOLAR GIRASOL T1,GENERACION,138,EGEHAINA
18.330427,-70.441212,PARQUE FOTOVOLTAICO BAYASOL,GENERACION,138,AES DOMINICANA RENEWABLE ENERGY, S.R.L.
18.345047,-71.133256,PARQUE SOLAR CANOA,GENERACION,69,EMERALD
18.346058,-70.838212,POWERSHIP AZUA KPS26 T1,GENERACION,138,KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.
18.346158,-70.838097,POWERSHIP AZUA KPS60,GENERACION,138,KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.
18.346278,-70.837997,POWERSHIP AZUA KPS26 T2,GENERACION,138,KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.
18.3464349,-70.2370693,NIZAO NAJAYO,CENTRAL,12.5 KV,EGEHID
18.3466,-70.8387,POWERSHIP AZUA KPS01 T01,GENERACION,138,KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.
18.351004,-70.833004,MONTE RIO T1,GENERACION,138,LEAR
18.351079,-70.833069,MONTE RIO T2,GENERACION,138,PHINIE & CO DEVELOPMENT S.R.L.
18.351146,-70.833097,MONTE RIO T3,GENERACION,138,LEAR
18.35287,-70.07932,ARGOS DOMINICANA (CEMENTOS COLON),UNR,69 KV,EGEHAINA
18.35425,-70.4688611,CRUCE DE OCOA,RETIRO,69 KV,EDESUR
18.35861,-71.53438,LAS DAMAS,CENTRAL,69 KV,EGEHID
18.358611,-71.534389,CIRCUITO LAS DAMAS,RETIRO,12.5 KV,EDESUR
18.3608017,-70.2632176,LAS BARIAS,CENTRAL,12.5 KV,EGEHID
18.3863891,-70.0496245,ALAMBRES DOMINICANOS,UNR,69 KV,SPOT
18.391272,-70.281598,VALDESIA 1,CENTRAL,138 KV,EGEHID
18.39133,-70.281548,VALDESIA 2,CENTRAL,138 KV,EGEHID
18.391411,-70.281497,VALDESIA,RETIRO,12.5 KV,EDESUR
18.3917222,-70.0453889,ZF NIGUA,RETIRO,69 KV,EDESUR
18.3925278,-70.0406389,LAFZID,UNR,69 KV,AES ANDRES
18.39865,-70.0344,TERMO ENVASES,UNR,12.5 KV,DPP
18.4003333,-71.1791667,VICENTE NOBLE,RETIRO,69 KV,EDESUR
18.40069,-70.034871,PANIFICADORA HAINA C1,UNR,12.5,EGEHAINA
18.40202,-70.136347,ACUEDUCTO INAPA SAN CRISTOBAL,RETIRO,69 KV,EDESUR
18.403172,-70.0327109,REFIDOMSA,UNR,69 KV,EGEITABO
18.405097,-70.027548,INTERCONEXION ITABO V SAN LORENZO,CENTRAL,138,EGEITABO
18.4063833,-71.1607623,ACUEDUCTO SUR - OESTE,RETIRO,69 KV,EDESUR
18.40654,-70.027494,SAN LORENZO 1,CENTRAL,138 KV,EGEITABO
18.40683,-69.629562,AES ANDRES TV,GENERACION,138,AES ANDRES
18.4074272,-69.6356902,AES ANDRES,CENTRAL,138 KV,AES ANDRES
18.4083889,-70.0308611,GRANITOS BOJOS,RETIRO,69 KV,EDESUR
18.40891,-70.0385,MULTIPARQUES,UNR,69 KV,AES ANDRES
18.410055,-69.631517,ENADOM,UNR,138,AES ANDRES
18.4120278,-70.0966944,SODOCAL,RETIRO,69 KV,EDESUR
18.4153611,-70.0972222,MADRE VIEJA T1,RETIRO,69 KV,EDESUR
18.41548S,-70.09707E,MADRE VIEJA T2,RETIRO,69 KV,EDESUR
18.416011,-70.023989,CORPA HAINA C1,UNR,12.5,EGEHAINA
18.417198,-68.948876,ZF ROMANA 1,UNR,12.5 KV,SEABOARD
18.4175109,-70.0228472,OJIVA,RETIRO,12.5,EDESUR
18.4217299,-68.950922,ZF ROMANA BUENA VISTA,RETIRO,69 KV,EDEESTE
18.422405,-70.130743,GOYA,UNR,69 KV,SEABOARD
18.423046,-70.011844,PUERTO DE HAINA,UNR,69 KV,EDESUR
18.4231139,-70.0219291,HAINA TG,CENTRAL,138 KV,EGEHAINA
