Avg(SOCKETS.GPS_LAT_S),SOCKETS.GPS_LONG_S,Min(Puntos_Suministro.PUNTO),Min(Puntos_Suministro.TIPO),Min(Puntos_Suministro.TENSION),Min(Puntos_Suministro.AGENTE)
18.5447,-69.89946,GRUPO RAMOS VILLA MELLA,UNR,12.5,EGEHAINA
18.5447631,-69.8652704,SABANA PERDIDA,RETIRO,69 KV,EDEESTE
18.549778,-69.400417,INVEMA DOMINICANA,UNR,34.5,EDEESTE
18.551989,-69.986446,ACUEDUCTO LA ISABELA,RETIRO,69 KV,EDEESTE
18.5543972,-69.8732224,CORPORACION AVICOLA DEL CARIBE 12.5,UNR,12.5,EGEHAINA
18.5552385,-70.0545906,PARQUE INDUSTRIAL DUARTE,UNR,69,EGEHID
18.5564552,-70.0131061,PALAMARA,CENTRAL,69 KV,GPLV
18.5570656,-70.0137317,PALAMARA RETIRO,RETIRO,69 KV,EDESUR
18.5572915,-70.0586413,CIUDAD SATELITE,RETIRO,69 KV,EDESUR
18.559438,-70.055659,INCA KM 22 MT,UNR,12.5 KV,EGEHAINA
18.559488,-70.055729,INCA KM 22,CENTRAL,12.5 KV,MONTE RIO LTD
18.559534,-70.055593,INCA KM 22 T2,UNR,69 KV,EGEHAINA
18.559581,-70.05564,INCA KM 22 T1,UNR,69 KV,EGEHAINA
18.560366,-69.2875804,CONSUELO,RETIRO,69 KV,EDEESTE
18.561659,-70.003852,PALMARITO,RETIRO,12.5 KV,EDEESTE
18.56175,-70.0634167,CORVI PVC,UNR,69 KV,CESPM
18.563649,-69.698653,GUERRA,RETIRO,69 KV,EDEESTE
18.5687732,-69.059043,BATEY LECHUGA,RETIRO,12.5 KV,EDEESTE
18.569676,-69.716713,PARQUE FOTOVOLTAICO MIRASOL,GENERACION,138,AES DOMINICANA RENEWABLE ENERGY, S.R.L.
18.5705858,-70.0388359,LA CUABA,RETIRO,12.5 KV,EDEESTE
18.571,-70.0819167,CAMPAMENTO 16 DE AGOSTO,RETIRO,69 KV,EDESUR
18.5712776,-69.7851639,ACUEDUCTO ORIENTAL,RETIRO,69 KV,EDEESTE
18.5715568,-70.0969177,PARQUE CARIBBEAN GLASS,UNR,69,LEAR
18.5744205,-69.9781267,AEROPUERTO HIGUERO,RETIRO,69 KV,EDEESTE
18.57676,-70.06207,CIRCUNVALACION,RETIRO,12.5 KV,EDEESTE
18.579965,-69.854172,DAJAO T1,RETIRO,69 KV,EDEESTE
18.580236,-69.854357,DAJAO T2,RETIRO,69 KV,EDEESTE
18.580316,-69.85449,DAJAO T03,RETIRO,138,EDEESTE
18.5869875,-68.9759584,GUAYMATE,RETIRO,4.6,EDEESTE
18.5882523,-68.7190345,HIGUEY 69 KV,RETIRO,69 KV,EDEESTE
18.58946833,-70.02953701,PARQUE LOGISTICO CCN,UNR,69,EGEHAINA
18.590188,-70.07972,EL BELICO,RETIRO,12.5 KV,EDEESTE
18.5917077,-70.9918574,MAGUEYAL 1,CENTRAL,69 KV,EGEHID
18.5949459,-69.6152725,ACUEDUCTO BRUJUELA,RETIRO,69 KV,EDEESTE
18.6013656,-68.7174094,GRUPO RAMOS SIRENA HIGUEY,UNR,12.5,EGEHAINA
18.6109736,-69.853456,PARQUE FOTOVOLTAICO LA VICTORIA,GENERACION,138,DESARROLLOS FOTOVOLTAICOS DSS
18.6148171,-69.7103983,ZF GILDAN,UNR,69 KV,AES ANDRES
18.624796,-68.735631,HIGUEY 138 KV,RETIRO,138 KV,EDEESTE
18.624858,-68.735574,HIGUEY 138 KV T2,RETIRO,138 KV,EDEESTE
18.624948,-68.735818,HIGUEY T03,RETIRO,138,EDEESTE
18.625744,-69.919736,PARQUE FOTOVOLTAICO MARTÍ,GENERACION,69,TROPIGAS DOMINICANA
18.63233,-69.63341,LAS PARRAS T01,RETIRO,69,EDEESTE
18.6376951,-69.9344973,SIERRA PRIETA,RETIRO,69,EDEESTE
18.6405323,-68.958692,RANCHO PELIGRO,RETIRO,12.5 KV,EDEESTE
18.648225,-69.589606,PARQUE FOTOVOLTAICO MATA DE PALMA,GENERACION,69,WCG
18.648989,-69.596463,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 2,GENERACION,138,WCGF SOLAR II
18.653573,-71.33237272,VALLEJUELO,RETIRO,69,EDESUR
18.657299,-69.607539,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 3,GENERACION,138,ENERGIA RENOVABLE BAS
18.6634525,-71.0393689,VILLARPANDO,RETIRO,69 KV,EDESUR
18.672763,-71.047599,PARQUE FOTOVOLTAICO VILLARPANDO T02,GENERACION,138,NATURAL WORLD ENERGY CORPORATION
18.672924,-71.047669,PARQUE FOTOVOLTAICO VILLARPANDO T01,GENERACION,138,NATURAL WORLD ENERGY CORPORATION
18.6861338,-70.1787074,VILLA ALTAGRACIA,RETIRO,69 KV,EDESUR
18.6886482,-70.1811974,ZF VILLA ALTAGRACIA,RETIRO,69 KV,EDESUR
18.7069294,-71.0505949,SABANA YEGUA 1,CENTRAL,69 KV,EGEHID
18.708985,-70.213533,CITRICOS NACIONALES T1,UNR,69 KV,EGEHAINA
18.70898S,-70.21353E,CITRICOS NACIONALES T2,RETIRO,69 KV,EDESUR
18.72439,-70.412846,RANCHO ARRIBA T1,RETIRO,69,EDESUR
18.725686,-71.0906458,GUANITO 2,RETIRO,69 KV,EDESUR
18.760818,-69.250447,HATO MAYOR,RETIRO,69 KV,EDEESTE
18.7671944,-69.0500556,EL SEIBO,RETIRO,138 KV,EDEESTE
18.7722829,-70.0107538,YAMASA,RETIRO,69 KV,EDEESTE
18.78677,-70.263115,LA CUMBRE,RETIRO,69 KV,EDESUR
18.7944611,-70.35457,ANIANA VARGAS 1,CENTRAL,12.5 KV,EGEHID
18.7993333,-71.2210278,SAN JUAN PUEBLO,RETIRO,69 KV,EDESUR
18.8159708,-69.7905658,MONTE PLATA T1,RETIRO,69 KV,EDEESTE
18.816057,-69.790491,MONTE PLATA T2,RETIRO,69 KV,EDEESTE
18.81724,-69.79046,MONTE PLATA SOLAR,CENTRAL,69 KV,ELECTRONIC
18.8743752,-71.5125688,LAS MATAS DE FARFAN,RETIRO,69 KV,EDESUR
18.8755923,-71.6785342,ELIAS PIÑA,RETIRO,69 KV,EDESUR
18.880378,-70.495881,RIO BLANCO 2,CENTRAL,69 KV,EGEHID
18.880432,-70.495948,RIO BLANCO 1,CENTRAL,69 KV,EGEHID
18.884135,-70.238314,CORMIDOM T2,UNR,69,EGEHID
18.884218,-70.238285,CORMIDOM,UNR,69 KV,EGEHID
18.88473,-70.566732,PINALITO 2,CENTRAL,69 KV,EGEHID
18.884827,-70.566674,PINALITO 1,CENTRAL,69 KV,EGEHID
18.8965428,-71.3460617,DOMINGO RODRIGUEZ 1,CENTRAL,69 KV,EGEHID
18.901098,-70.759404,EL SALTO,CENTRAL,4.16 KV,EGEHID
18.9085301,-70.3701579,BONAO,RETIRO,69 KV,EDENORTE
18.9086389,-70.3703056,BONAO PER,RETIRO,69 KV,EDENORTE
18.909019,-70.276043,MAIMON,RETIRO,69 KV,EDENORTE
18.9096946,-70.3657865,BONAO 3 345,GENERACION,138,PVDC
18.9103651,-70.3663102,BONAO 3 138 kV,GENERACION,138,PVDC
18.9106534,-70.3756156,ZF DOS RIOS,UNR,69 KV,AES ANDRES
18.9110556,-70.7159167,CONSTANZA,RETIRO,69 KV,EDENORTE
18.922346,-71.009417,PALOMINO 1,CENTRAL,138 KV,EGEHID
18.922501,-71.009273,PALOMINO 2,CENTRAL,138 KV,EGEHID
18.925901,-70.406045,BONAO PER T02,RETIRO,69,EDENORTE
18.928725,-70.357494,FALCON 1,UNR,69 KV,SPOT
18.928818,-70.357368,FALCON 2,UNR,138 KV,SPOT
18.934639,-70.171754,PVDC L2,RETIRO,230 KV,PVDC
18.9347865,-70.1717507,PVDC L1,RETIRO,230 KV,PVDC
18.9379167,-70.6874722,TIREO,RETIRO,69 KV,EDENORTE
18.9804444,-71.2908056,SABANETA,CENTRAL,69 KV,EGEHID
18.980491,-71.290819,SABANETA RETIRO,RETIRO,69 KV,EDESUR
18.981562,-70.628188,LOS RIOS,RETIRO,69 KV,EDENORTE
19.036857,-70.192701,CENTRAL HATILLO 2,GENERACION,69,EGEHID
19.0368889,-70.1926667,HATILLO,CENTRAL,69 KV,EGEHID
19.0459541,-69.3886027,SABANA DE LA MAR,RETIRO,69 KV,EDEESTE
19.061249,-70.15719,COTUI,RETIRO,69 KV,EDENORTE
19.0661389,-70.6101389,PASO BAJITO,RETIRO,69 KV,EDENORTE
19.0985556,-70.5971944,JIMENOA,CENTRAL,69 KV,EGEHID
19.1033611,-70.5953611,JARABACOA,RETIRO,12.5 KV,EDENORTE
19.1062532,-70.4063311,RINCON,CENTRAL,69 KV,EGEHID
19.10632,-70.40629,RINCON 69 KV,RETIRO,69 KV,EDENORTE
19.115558,-70.189776,PASTAS ALIMENTICIAS,UNR,12.5,EGEHID
19.1246,-70.30844,TAVERAS,RETIRO,138 KV,EDENORTE
19.124603,-70.308447,FANTINO,RETIRO,69,EDENORTE
19.141497,-70.467288,HOSPITAL TRAUMATOLOGICO,RETIRO,69 KV,EDENORTE
19.1527833,-70.4697087,INDAL,UNR,69 KV,EGEHAINA
19.1914005,-70.1085371,PIMENTEL,RETIRO,69 KV,EDENORTE
19.1917636,-69.9446532,ABANICO PER,RETIRO,69 KV,EDENORTE
19.20341,-70.092381,PIMENTEL T3,CENTRAL,69 KV,LAESA LTD
19.203415,-70.092257,PIMENTEL IV,GENERACION,138,LAESA LTD
19.203422,-70.092495,PIMENTEL T2,CENTRAL,69 KV,LAESA LTD
19.203428,-70.092594,PIMENTEL T1,CENTRAL,69 KV,LAESA LTD
19.2057,-70.352,CENOVI,RETIRO,69 KV,EDENORTE
19.209522,-69.3243894,SAMANA,RETIRO,138 KV,EDENORTE
19.2202309,-70.5144823,LA VEGA PER,RETIRO,69 KV,EDENORTE
19.2239633,-70.5351981,LA VEGA T2,RETIRO,69 KV,EDENORTE
19.226726,-70.509312,FONT GAMUNDI,UNR,12.5,EDENORTE
19.2308333,-70.5408056,CERVECERIA VEGANA,RETIRO,69 KV,EDENORTE
19.234166S,-69.618972E,SANCHEZ,RETIRO,138 KV,EDENORTE
19.2358804,-70.5348679,INDUVECA,UNR,69 KV,EGEHAINA
19.2444607,-69.6609763,AGREGADOS SANTA BARBARA,UNR,12.5,EGEHAINA
19.244777S,-70.4E,ACUEDUCTO HERMANAS MIRABAL,RETIRO,69 KV,EDENORTE
19.246554,-70.556536,ZF LA VEGA,RETIRO,69 KV,EDENORTE
19.24694,-70.550648,DIESEL LA VEGA T2,CENTRAL,69 KV,GPLV
19.2469722,-70.5508056,DIESEL LA VEGA T1,CENTRAL,69 KV,GPLV
19.2488889,-70.5552222,ZF INDUSTRIAL LA VEGA,UNR,12.5 KV,AES ANDRES
19.2643847,-70.2138852,NESTLE,UNR,69,EGEITABO
19.2768194,-70.2403851,GRUPO RAMOS SFM,UNR,69 KV,EDENORTE
19.2818,-70.7771778,BAIGUAQUE 1,CENTRAL,12.5 KV,EGEHID
19.285246,-70.255853,EL CHIVO T2,RETIRO,69,EDENORTE
19.28531,-70.25585,EL CHIVO,RETIRO,69 KV,EDENORTE
19.2950707,-69.5500767,LAS TERRENAS,RETIRO,34.5 KV,LFLT
19.3179629,-69.4836017,PROGRESO DEL LIMON,RETIRO,12.5,PROGRESO DEL LIMÓN
19.324637,-70.736846,TAVERA 2,CENTRAL,138 KV,EGEHID
19.324683,-70.736959,TAVERA 1,CENTRAL,138 KV,EGEHID
19.3315092,-70.6040372,LA PENDA 69,RETIRO,69,EDENORTE
19.338775,-70.902192,SAN JOSE DE LA MATAS,RETIRO,69 KV,EDENORTE
19.3499553,-70.4227335,SALCEDO,RETIRO,69 KV,EDENORTE
19.363111S,-69.851E,NAGUA,RETIRO,69 KV,EDENORTE
19.3684989,-70.7146046,LOPEZ ANGOSTURA,CENTRAL,138 KV,EGEHID
19.3838611,-70.5367222,MOCA T1,RETIRO,69 KV,EDENORTE
19.3855278,-70.5320833,MOCA NUEVA,RETIRO,138 KV,EDENORTE
19.388172,-70.681519,CEMENTO CIBAO,UNR,69 KV,EGEITABO
19.4074444,-70.664,CARIBBEAN INDUSTRIAL PARK,UNR,69 KV,AES ANDRES
19.413252,-70.647859,TROQUELADO DOMINICANO,UNR,69,EGEITABO
19.414059,-70.649145,LA FABRIL,UNR,12.5 KV,EGEITABO
19.415749S,-70.643924E,CANABACOA,RETIRO,138 KV,EDENORTE
19.426396,-71.090163,MONCION 2,CENTRAL,138 KV,EGEHID
19.4264701,-71.090096,MONCION 1,CENTRAL,12.5 KV,EDENORTE
19.434888,-70.085881,ROSA JULIA DE LA CRUZ,CENTRAL,12.5 KV,EGEHID
19.4357976,-70.6601478,HOSPITAL METRO SANTIAGO,UNR,69 KV,EGEITABO
19.439244,-70.682828,PUCMM-SANTIAGO C2,UNR,12.5 KV,EGEITABO
19.439397,-70.682783,PUCMM-SANTIAGO C1,UNR,12.5 KV,EGEITABO
19.440988,-70.879534,PARQUE FOTOVOLTAICO SAJOMA,GENERACION,138,EGEHAINA
19.442719,-70.737082,PIMCO,RETIRO,69 KV,EDENORTE
19.443272,-70.703078,NIBAJE T2,RETIRO,138 KV,EDENORTE
19.44328,-70.703174,NIBAJE T1,RETIRO,138 KV,EDENORTE
19.4455833,-70.6385278,MOLINOS VALLE DEL CIBAO,UNR,69 KV,EGEITABO
19.446426,-70.640623,ZF INDUSTRIAL SANTIAGO BT,UNR,138,EDESUR
19.4509,-70.7442,ACERO CIBAO,RETIRO,69 KV,EDENORTE
19.453239,-70.658352,PASTA PRINCESA,RETIRO,69 KV,EDENORTE
19.4542778,-70.6792,VILLA OLGA,RETIRO,69 KV,EDENORTE
19.45608251,-70.68604809,PLAZA SANTIAGO CENTER,UNR,69,EGEITABO
19.4584444,-70.71113,FERRETERIA OCHOA,RETIRO,69 KV,EDENORTE
19.4590556,-70.6796389,UNION MEDICA,RETIRO,69 KV,EDENORTE
19.4623889,-70.67,E LEON JIMENEZ,RETIRO,69 KV,EDENORTE
19.4649167,-70.6193056,DON PEDRO,RETIRO,69 KV,EDENORTE
19.4675953,-71.0821521,CONTRA EMBALSE MONCION 1,CENTRAL,12.5 KV,EGEHID
19.4699,-70.71447,ARTICULOS DE PIEL LOS FAVORITOS,UNR,69 KV,EGEITABO
19.472363,-70.712739,HOSPITAL GENERAL LAS COLINAS,UNR,12.5,SPOT
19.472968,-70.695142,LA GALLERA T1,RETIRO,138 KV,EDENORTE
19.473059,-70.695107,LA GALLERA T2,RETIRO,138 KV,EDENORTE
19.476435,-70.732606,ZF SANTIAGO T2,RETIRO,138,EDENORTE
19.476466,-70.732517,ZF SANTIAGO T1,RETIRO,138,EDENORTE
19.4804,-71.33094,SANTIAGO RODRIGUEZ 138 KV,RETIRO,138 KV,EDENORTE
19.480476,-70.726683,CORPORACION ZF SANTIAGO T1,UNR,69,EDESUR
19.4845857,-70.7250718,ENVASES ANTILLANOS,UNR,69 KV,EGEITABO
19.4888611,-70.6574722,ZF DE GURABO,UNR,69 KV,AES ANDRES
19.4889739,-70.7136178,BALTIMORE DOMINICANA,RETIRO,69 KV,EDENORTE
19.49571,-69.953915,PARQUE FOTOVOLTAICO PAYITA 1,GENERACION,138,LCV ECOENER SOLARES DOMINICANA
19.5065556,-69.9427222,PAYITA,RETIRO,69 KV,EDENORTE
19.5113648,-70.7590943,ZF PISANO,UNR,69 KV,AES ANDRES
19.5167518,-71.6709778,DAJABON,RETIRO,138 KV,EDENORTE
19.51944,-69.993104,PARQUE FOTOVOLTAICO MATRISOL,GENERACION,138,MATRISOL, S.A.S.
19.5271818,-70.7740548,QUINIGUA,RETIRO,69 KV,EDENORTE
19.527209,-70.773881,ACUEDUCTO QUINIGUA,RETIRO,69 KV,EDENORTE
19.5599S,-70.8198E,FERRETERIA OCHOA - DIVISION LAS CHARCAS,UNR,12.5 KV,EGEITABO
19.5610653,-70.8786202,PORTELA PASTA LINDA,RETIRO,69 KV,EDENORTE
19.5625529,-70.821122,FERRETERIA OCHOA - DIVISION LAS LAVAS,UNR,69 KV,EGEITABO
19.5628579,-71.103096,VALVERDE MAO,RETIRO,138 KV,EDENORTE
19.5646325,-70.8853952,ARROZ BISONO AT T1,UNR,69 KV,EGEHAINA
19.5671714,-70.8728251,NAVARRETE PUEBLO,RETIRO,69 KV,EDENORTE
19.577991,-70.959815,PARQUE FOTOVOLTAICO ESPERANZA 2,GENERACION,138,EGEHAINA
19.578416,-70.959824,ESPERANZA,GENERACION,138,EGEHAINA
19.583609,-70.96278,PARQUE EÓLICO ESPERANZA,GENERACION,138,EGEHAINA
19.5896139,-70.6319167,PEDRO GARCIA,RETIRO,69 KV,EDENORTE
19.5918722,-70.9102083,BRAZO DERECHO,CENTRAL,69 KV,EGEHID
19.5965348,-70.9791015,ZF ESPERANZA,UNR,69 KV,AES ANDRES
19.6070824,-70.9782943,CRUCE ESPERANZA T1,RETIRO,69 KV,EDENORTE
19.6190833,-70.0861667,RIO SAN JUAN 138,RETIRO,138,EDENORTE
19.6552778,-70.5064444,ACUEDUCTO INAPA SOSUA,RETIRO,69 KV,EDENORTE
19.675459,-71.700417,MANZANILLO POWER LAND TG T01,GENERACION,345,ENERGíA 2000
19.676026,-71.700514,MANZANILLO POWER LAND TV T01,GENERACION,345,ENERGíA 2000
19.677577,-70.372856,SABANETA YASICA,RETIRO,69 KV,EDENORTE
19.6939792,-71.220996,PARQUE EOLICO AGUA CLARA,GENERACION,138,AGUA CLARA
19.710617,-71.380991,PARQUE FOTOVOLTAICO MONTECRISTI SOLAR T2,GENERACION,138,MONTECRISTI SOLAR
19.710669,-71.381143,PARQUE FOTOVOLTAICO MONTECRISTI SOLAR T1,GENERACION,138,MONTECRISTI SOLAR
19.7358639,-71.4195837,HISPANIOLA FRESH FRUIT COMPANY,UNR,12.5,SPOT
19.74738S,-70.84076E,IMBERT,RETIRO,69 KV,EDENORTE
19.7501111,-70.4152,CABARETE,RETIRO,69 KV,EDENORTE
19.75167,-70.56362,AERODOM PUERTO PLATA,UNR,12.5 KV,EGEHAINA
19.7516776,-70.5636221,AEREOPUERTO DE PUERTO PLATA,RETIRO,69 KV,EDENORTE
19.7638889,-70.5121667,SOSUA,RETIRO,69 KV,EDENORTE
19.7661389,-70.6519722,PLAYA DORADA,RETIRO,69 KV,EDENORTE
19.7677862,-70.6528398,PUERTO PLATA DE ELECTRICIDAD,RETIRO,69 KV,EDENORTE
19.795726,-71.315742,PARQUE EOLICO GUANILLO,GENERACION,138,PECASA
19.795767,-70.720118,PUERTO PLATA,RETIRO,69 KV,EDENORTE
19.795817,-70.719931,PUERTO PLATA 2 138,RETIRO,138,EDENORTE
19.825009,-70.7307207,OCEAN WORLD,UNR,12.5 KV,EGEITABO
19.842559,-71.628481,MONTECRISTI 138 kV,RETIRO,138 KV,EDENORTE
19.86776272,-70.81626657,PARQUE EOLICO LOS GUZMANCITOS II,GENERACION,138,POSEIDON
19.868048,-70.816554,LOS GUZMANCITOS,GENERACION,138,POSEIDON
19.885271,-70.961651,LUPERON,RETIRO,69 KV,EDENORTE
