bus_id_modom,bus_name,bus_id_legacy,bus_name_legacy,code_changed,appears_in_mapping,appears_in_e_datred,e_datred_endpoint_count,v_nom_kv,v_nom_inference_method,v_nom_confidence,bus_role,source_sheet_primary,bus_origin
WTSPVK,TERMINAL SAN PEDRO VAPOR,WSPEVK,TERMINAL SAN PEDRO VAPOR,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTSYEK,TERMINAL SABANA YEGUA,WSYEGK,TER SABANA YEGUA VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTTA1K,TERMINAL TAVERA 1,WTAV1K,TER TAVERA 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTTA2K,TERMINAL TAVERA 2,WTAV2K,TER TAVERA 2 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTTITF,TEXTILES TITÁN,WTTITF,TEXTILES TITÁN,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WTTO1K,TERMINAL LOS TOROS 1,WLTO1K,TER LOS TOROS 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTVA1K,TERMINAL VALDESIA 1,WVAL1K,TER VALDESIA 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTVA2K,TERMINAL VALDESIA 2,WVAL2K,TER VALDESIA 2 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTVE1K,TERMINAL LA VEGA  1,WLVE1K,TER LA VEGA  1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTZFPF,TERMINAL ZONA FRANCA PISANO,WZPISF,TER ZF PISANO VIRTUAL,SI,True,True,2,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WUASDE,UASD 138,WUASDE,UASD 138,NO,True,True,3,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WUMEDF,UNION MEDICA,WUMEDF,UNION MEDICA,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVALBE,VALDESIA B,WVALBE,VALDESIA B,NO,True,True,4,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVALDE,VALDESIA,WVALDE,VALDESIA,NO,True,True,7,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVALLF,,,,,False,True,1,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WVALTF,VILLA ALTAGRACIA,WVALTF,VILLA ALTAGRACIA,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVDU1E,VILLA DUARTE 138 BARRA 1,WVDU1E,VILLA DUARTE 138,NO,True,True,5,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WVDUAF,VILLA DUARTE 69,WVDU1F,VILLA DUARTE 69,SI,True,True,4,69.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WVILAE,,,,,False,True,3,138.0,suffix_E_default,medium,network,e_datred,e_datred_only
WVILLF,VILLARPANDO,WVILLF,VILLARPANDO,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVMAOE,VALVERDE MAO,WVMAOE,VALVERDE MAO,NO,True,True,2,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVMELE,VILLA MELLA,WVMELE,VILLA MELLA,NO,True,True,2,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVNOBF,VICENTE NOBLE,WVNOBF,VICENTE NOBLE,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WVOLGF,VILLA OLGA,WVOLGF,VILLA OLGA,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WX1PAK,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WXABIF,TAP ARROZ BISONO,WXABIF,TAP ARROZ BISONO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXABRF,TAP AEROPUERTO BARAHONA,WXABRF,TAP AEROPUERTO BARAHONA,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAD2F,,,,,False,True,2,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXADOF,TAP ALAMBRRES DOMINICANOS,WXADOF,TAP ALAMBR DOMINICAN,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAHGF,TAP AEROPUERTO HIGUERO,WXAHGF,TAP AEROPUERTO HIGUERO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAHMF,TAP ACUEDUCTO HERMANAS MIRABAL,WXAHMF,TAP ACUEDUCTO HERMANAS MIRABAL,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAISF,TAP ACDUCTO INAPA SAN CRISTOBAL,WXAISF,TAP AEROPUERTO,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXALDF,TAP ALUMINIOS DOMINICANOS,WXALDF,TAP ALDOM VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXALIF,TAP ACUEDUCTO LA ISABELA,WXALIF,TAP ACU LA ISABELA,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAORF,TAP ACUEDUCTO ORIENT,WXAORF,TAP ACUEDUCTO ORIENT,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAPFF,TAP ARTICULOS PIEL FAVORITOS,WXAPFF,TAP ARTICULOS PIEL FAVORITOS,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAPPF,TAP AEROPUERTO DE PUERTO PLATA,WXAPPF,TAP AEROPUERTO DE PUERTO PLATA,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXAQUF,TAP ACUEDUCTO QUINIGUA,WXEBQF,2611 TEBQU/TAP ESTAC VIRTUAL,SI,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXARDF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXASOF,TAP ACUEDUCTO SOSUA,WXASOF,TAP ACUEDUCT SOSUA VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXBA1F,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXBA2F,TAP BAYONA,WXBA2F,TAP BAYONA,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXBASF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXBAYF,TAP BAYONA,WXBAYF,TAP BAYONA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXBDEF,TAP BRAZO DERECHO,WXBDEF,TAP BRAZO DERECHO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXBLEF,TAP BATEY LECHUGA,WXBLEF,TAP BATEY LECHUGA,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXBMAF,TAP BANI MATADERO,WXBMAF,TAP BANI MATADERO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXBOHF,TAP BOHEMIA,WXBOHF,TAP BOHEMIA VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXBPEF,TAP BONAO PER,WXBPEF,TAP BONAO PER,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCA1K,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WXCABF,TAP CABAYONA,WXCABF,TAP CABAYONA,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCANF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXCARF,TAP CARREFOUR,WXCARF,TAP CARREFOUR VIRTUAL,NO,True,True,2,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCATF,TAP CATALINA,WXCATF,TAP CATALINA,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCB2F,TAP CAASD BAYONA 2,WXCB2F,TAP CAASD BAYONA 2 VIRTUAL,NO,True,True,1,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCBAF,TAP CAASD BAYONA 1,WXCBAF,TAP CAASD BAYONA VIRTUAL,NO,True,True,4,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCC1E,,,,,False,True,3,138.0,suffix_E_default,medium,network,e_datred,e_datred_only
WXCC3E,,,,,False,True,3,138.0,suffix_E_default,medium,network,e_datred,e_datred_only
WXCCOF,TAP CEMENTO COLON,WXCCOF,TAP CEMENTO COLON,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCDAF,TAP CAMP 16  AGOSTO,WXCDAF,TAP CAMP 16  AGOSTO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCDLF,TAP CODAL,WXCDLF,TAP CODAL VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCENF,TAP CENOVI,WXCENF,TAP CENOVI,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCHAF,TAP CHAVÓN,WXCHAF,TAP CHAVON VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCIGF,TAP CÉSAR IGLESIAS,WXCIGF,TAP CESAR IGLESIAS VIRTUAL,NO,True,True,2,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCINF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXCNAF,TAP CEMENTOS NACACIONALES,WXCNAF,TAP CEMENTOS NAC VIRTUAL,NO,True,True,2,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCOCF,TAP CRUCE DE OCOA,WXCOCF,TAP CRUCE DE OCOA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCODF,TAP CODETEL,WXCODF,TAP CODETEL,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCORF,Tap CORMIDOM,WXCORF,Tap CORMIDOM,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCSAF,TAP CIUDAD SATELITE,WXCSAF,TAP CIUDAD SATELITE,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXCTAF,TAP CRUCE TAVERA,WXCTAF,TAP CRUCE TAVERA VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXCU1K,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WXCU2K,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WXCU4K,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WXDBRF,TAP DESTILERÍA BRUGAL,WXDBRF,TAP DESTILERI BRUGAL VIRTUAL,NO,True,True,2,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXDISF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXDROF,TAP DOMINGO RODRÍGUEZ,WXDROF,TAP DOMINGO RODRIGUE,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXDURF,TAP DURALÓN,WXDURF,TAP DURALON,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXEANF,ENVASES ANTILLANOS,WXEANF,ENVASES ANTILLANO,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXECHF,TAP EL CHIVO,WXECHF,TAP EL CHIVO,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXES2K,,,,,False,True,3,,unresolved,low,network,e_datred,e_datred_only
WXES3K,,,,,False,True,2,,unresolved,low,network,e_datred,e_datred_only
WXESPF,TAP ESPERANZA,WXESPF,TAP ESPERANZA VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXEV4K,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WXGALF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXGAVF,TAP GUAVABERRY,WXGAVF,TAP GUAVABERRY VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXGBOF,TAP GRANITOS BOJOS,WXGBOF,TAP GRANITOS BOJOS,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXGOYF,TAP GOYA,WXGOYF,TAP GOYA,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXGPLF,TAP GOMAS Y PLASTICO,WXGPLF,TAP GOMAS Y PLASTICO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXGRCF,TAP GRUPO RAMOS CHARLES,WXGRCF,TAP GRUPO RAMOS CHAR,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXGRMF,GRUPO RAMOS MELLA,WXGRMF,GRUPO RAMOS MELLA,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXGRSF,TAP GRUPO RAMOS,WXGRSF,TAP GRUPO RAMOS,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXGU2F,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXHACF,TAP HACHE,WXHACF,TAP HACHE VIRTUAL,NO,True,True,3,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXHE1F,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
