nombre,ruta,systp,sline,frnom
T.ACERO S1(2)/2C/138/1xF - 450 ACAR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/2C/138/1xF - 450 ACAR.TypTow,0,1.0,60.0
T.ACERO S2(2)/2C/138/1xF - 900 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2(2)/2C/138/1xF - 900 ACSR.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/34.5 - 4/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/34.5 - 4/0 ACSR.TypTow,0,1.0,60.0
T.ACERO S2/2C/138/2xF-927.2 AAAC y OPGW,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2/2C/138/2xF-927.2 AAAC y OPGW.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 450 ACAR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 450 ACAR.TypTow,0,1.0,60.0
P.MADERA/69 60 P TH-1G- 450 ACAR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 60 P TH-1G- 450 ACAR.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 1/0 CU,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 1/0 CU.TypTow,0,1.0,60.0
P.MADERA TVS-1/1C/69/1xF - 450 ACAR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS-1/1C/69/1xF - 450 ACAR.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 4/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 4/0 ACSR.TypTow,0,1.0,60.0
P.MADERA TP-1G/69 /1xF - 1/0 CU,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-1G/69 /1xF - 1/0 CU.TypTow,0,1.0,60.0
T.ACERO S1/69/1xF-559.5 MCM,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1/69/1xF-559.5 MCM.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 2/0 CU,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 2/0 CU.TypTow,0,1.0,60.0
