nombre,ruta,nntap0,strn,utrn_h,utrn_l,uktr,uk0tr,pcutr,pfe,curmg,vecgrp,tap_side,ntpmn,ntpmx,dutap,phitr,r1pu,x1pu,frnom
138/69 kV Arroyo Hondo T1 (200 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Arroyo Hondo T1 (200 MVA).TypTr2,0,200.0,138.0,69.0,14.628000259399414,12.840749740600586,1000.0,0.0,0.0,YNyn0,0,-13,13,1.1538000106811523,0.0,0.004999999888241291,0.14619453251361847,60.0
138/69 kV Herrera T1 (70 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Herrera T1 (70 MVA).TypTr2,0,70.0,138.0,69.0,10.899999618530273,9.856284141540527,124.94999694824219,0.0,0.0,YNyn0,0,-15,15,1.0,0.0,0.0017849999712780118,0.10898537933826447,60.0
138/69 kV Dajao T1(150 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Dajao T1(150 MVA).TypTr2,0,150.0,138.0,69.0,11.8100004196167,10.687173843383789,282.1000061035156,26.200000762939453,0.029999999329447746,YNyn0,0,-11,11,1.0,0.0,0.0018806667067110538,0.11808502674102783,60.0
138/69 kV Boca Chica T1 (80 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Boca Chica T1 (80 MVA).TypTr2,0,80.0,138.0,69.0,9.899999618530273,8.945669174194336,400.0,0.0,0.0,YNyn0,0,-13,13,1.0,0.0,0.004999999888241291,0.09887365996837616,60.0
138/69 kV Haina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Haina.TypTr2,0,150.0,138.0,69.0,12.369999885559082,11.19438648223877,750.0,0.0,0.0,YNyn0,0,-11,11,1.0,0.0,0.004999999888241291,0.12359891086816788,60.0
138/69 kV Villa Duarte T1 (140 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Villa Duarte T1 (140 MVA).TypTr2,0,140.0,138.0,69.0,14.800000190734863,13.42111873626709,192.0800018310547,0.0,0.0,YNyn0,0,-8,8,1.2699999809265137,0.0,0.0013719999697059393,0.14799363911151886,60.0
138/13.8 kV Trafo Los Mina 6 150 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Los Mina 6 150 MVA.TypTr2,0,150.0,138.0,13.800000190734863,16.520000457763672,14.869999885559082,292.5,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.0019499999471008778,0.1651885062456131,60.0
138/13.8 kV Trafo AES Andrés TV 141 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo AES Andrés TV 141 MVA.TypTr2,0,141.0,138.0,13.800000190734863,16.65999984741211,15.0,549.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.0038936170749366283,0.1665544956922531,60.0
138/19 kV Trafo AES Andrés TG 264 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/19 kV Trafo AES Andrés TG 264 MVA.TypTr2,0,264.0,138.0,19.0,11.420000076293945,11.420000076293945,1321.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.0050037880428135395,0.11409033089876175,60.0
138/4.16 kV BESS AES Andrés T1(22.4 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\BESS AES Andrés\Equipment Type Library\138/4.16 kV BESS AES Andrés T1(22.4 MVA).TypTr2,0,22.440000534057617,138.0,4.159999847412109,10.48390007019043,9.43550968170166,0.0,0.0,0.0,Dyn1,0,-6,6,2.5,0.0,0.0,0.10483899712562561,60.0
