nombre,ruta,barra(bus1),barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,Inom,ngnum,sgn,cosn,pgini,qgini,usetp,av_mode,Pmax_uc,Pmin_uc,q_max,q_min,P_max,scale0,mode_inp,phtech
Juancho Los Cocos 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Juancho Los Cocos 1.ElmGenstat,L4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L4.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.7831881642341614,26,1.7999999523162842,1.0,0.17114999890327454,7.080901143208251e-11,1.0,constq,2.0,0.0,1.0,-1.0,1.7999999523162842,1.0,DEF,0
Larimar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar.ElmGenstat,L2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\L2.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.8283721208572388,15,3.299999952316284,1.0,1.898669958114624,3.7975775302179215e-11,1.0,constq,3.299999952316284,0.0,1.0,-1.0,3.299999952316284,1.0,DEF,0
Larimar 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar 2.ElmGenstat,R3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\R3.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.8082903623580933,14,3.450000047683716,1.0,1.6707099676132202,3.7975775302179215e-11,1.0,constq,3.450000047683716,0.0,1.0,-1.0,3.450000047683716,1.0,DEF,0
Parque Fotovoltaico Los Negros,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Parque Fotovoltaico Los Negros.ElmGenstat,Terminal Monte Río 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\Terminal Monte Río 2.ElmTerm,1,SUR MEDIO,SUR,SUR 138 kV,Photovoltaic,,0.8158209919929504,3,6.5,1.0,0.0,0.0,1.0,constq,6.5,0.0,0.6342857480049133,-0.6342857480049133,6.62999963760376,1.0,PQ,0
Bayasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Bayasol.ElmGenstat,Terminal Bayasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Terminal Bayasol.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.861506998538971,13,3.9600000381469727,1.0,0.0,0.0,1.0,constq,3.9600000381469727,0.0,1.0,-1.0,3.9600000381469727,1.0,DEF,0
Girasol Grupo 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 1.ElmGenstat,L2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\L2.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.7631064057350159,12,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,3.799999952316284,0.0,1.0,-1.0,3.609999895095825,1.0,PQ,0
Girasol Grupo 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 2.ElmGenstat,R1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\R1.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,1.0174752473831177,16,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,3.799999952316284,0.0,1.0,-1.0,3.609999895095825,1.0,PQ,0
Santanasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Santanasol.ElmGenstat,Terminal Santanasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Terminal Santanasol.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.9538830518722534,15,3.799999952316284,1.0,0.0,0.0,1.0,constq,3.799999952316284,0.0,0.33000001311302185,-0.33000001311302185,3.799999952316284,1.0,PQ,0
PF Calabaza 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\PF Calabaza 1.ElmGenstat,Terminal PF Calabaza 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Terminal PF Calabaza 1.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.9934441447257996,17,3.492000102996826,0.8519999980926514,0.0,0.0,1.0,constq,3.492000102996826,0.0,0.43580129742622375,-0.43580129742622375,2.9751839637756348,1.0,PQ,0
PE Matafongo 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo 2.ElmGenstat,Terminal Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,Wind,,0.26106271147727966,3,5.199999809265137,1.0,1.5655499696731567,0.0,1.0,constq,5.199999809265137,0.0,0.328000009059906,-0.328000009059906,5.199999809265137,1.0,PQ,0
PE Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo.ElmGenstat,Terminal Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,Wind,,0.5689828991889954,17,2.0,1.0,0.6007900238037109,0.0,1.0,constq,2.0999999046325684,0.0,0.328000009059906,-0.328000009059906,2.0,1.0,PQ,0
Sistema Almacenamiento AES Andrés,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Sistema Almacenamiento AES Andrés.ElmGenstat,Terminal BESS AES Andrés,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Terminal BESS AES Andrés.ElmTerm,0,,,CENTRAL 138 kV,Storage,,0.7633237242698669,1,5.5,1.0,1.000000013351432e-10,0.0,1.0,constq,5.5,0.0,1.0,-1.0,5.5,1.0,PC,0
SA PE Los Mina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SA PE Los Mina.ElmGenstat,Terminal SA PE Los Mina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal SA PE Los Mina.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Storage,,0.7633237242698669,1,5.5,1.0,1.000000013351432e-10,0.0,1.0,constq,5.5,0.0,1.0,-1.0,5.5,1.0,PC,0
PF La Victoria,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\PF La Victoria.ElmGenstat,Terminal La Victoria,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\Terminal La Victoria.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,6.25,0.0,0.6342857480049133,-0.6342857480049133,6.25,1.0,PQ,0
PF Washington Capital 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 2.ElmGenstat,Terminal Washington Capital Solar Park 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal Washington Capital Solar Park 2.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,6.25,0.0,0.6342857480049133,-0.6342857480049133,6.25,1.0,PQ,0
PF Washington Capital 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 3.ElmGenstat,Terminal Washington Capital Solar Park 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal Washington Capital Solar Park 3.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,6.25,0.0,0.6342857480049133,-0.6342857480049133,6.25,1.0,PQ,0
Mirasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol.ElmGenstat,Terminal Mirasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal Mirasol.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,1.6733787059783936,17,5.881999969482422,1.0,0.0,0.0,1.0,constq,5.881999969482422,0.0,0.6899999976158142,-0.6899999976158142,6.76430082321167,1.0,DEF,0
