nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area ZDS1
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Inner Load Area
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area ZDS1
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Inner Load Area
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area ZDS1
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\ZCEMEE.ElmSubstat\WCEMEE(2).ElmTerm\WBCEMEE(2).StaCubic\ZCEMEE_ZSPM2E-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCEMEE,Load Area
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLORIE_ZSPM2E-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Load Area
