nombre,ruta,cpZone,cpArea,cpGrid,cpSubstat
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1(2).ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(4),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1(2).ElmTerm\WBLRPUF(4).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBHI69F(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(5).ElmTerm\WBHI69F(2).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(5).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(6).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(6).ElmTerm\WBHI69F.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WHIGUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\69 kV Higüey.ElmTerm\WHIGUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WHIGUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\69 kV Higüey.ElmTerm\WHIGUF.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WHIGUF(3),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\69 kV Higüey.ElmTerm\WHIGUF(3).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(4),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(2).ElmTerm\WBHI69F(4).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(2).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(4).ElmTerm\WBHI69F(2).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(4).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(1).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(5),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(1).ElmTerm\WBHI69F(5).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(3).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(3),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(3).ElmTerm\WBHI69F(3).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(3).ElmTerm\WBHI69F(2).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(3).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(4),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(4).ElmTerm\WBHI69F(4).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(4).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(5).ElmTerm\WBHI69F(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WBHI69F(5),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(5).ElmTerm\WBHI69F(5).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF
WMPLAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\69 kV Monte Plata.ElmTerm\WMPLAF.StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
