nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Estrella del Mar 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Estrella del Mar 2.ElmBmu,1,,,,
Aguacate 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aguacate 2.ElmBmu,1,,,,
Estrella del Mar 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Estrella del Mar 3.ElmBmu,1,,,,
Los Orígenes Power Plant,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Orígenes Power Plant.ElmBmu,1,,,,
San Pedro Bio-Energy,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\San Pedro Bio-Energy.ElmBmu,1,,,,
Quisqueya 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Quisqueya 1.ElmBmu,1,,,,
Quisqueya 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Quisqueya 2.ElmBmu,1,,,,
Brazo Derecho,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Brazo Derecho.ElmBmu,1,,,,
Punta Catalina 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Punta Catalina 1.ElmBmu,1,,,,
INCA km 22,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\INCA km 22.ElmBmu,1,,,,
Los Cocos 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Cocos 2.ElmBmu,1,,,,
Quilvio Cabrera,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Quilvio Cabrera.ElmBmu,1,,,,
Los Cocos 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Cocos 1.ElmBmu,1,,,,
Palomino 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palomino 2.ElmBmu,1,,,,
Palomino 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palomino 1.ElmBmu,1,,,,
