kind,name,from_w,to_w,loading_percent,p_from_mw,hour
line,138 kV Dajabón – Santiago Rodríguez_b,WSRODE,WXSR2E,4.303924193739884,6.583988427352243,h_01
line,138 kV Monción – Santiago Rodríguez_b,WXSR1E,WXCQ1E,19.74336812354132,-29.125489740138562,h_01
line,138 kV Monción – Santiago Rodríguez_a,WXCQ1E,WMONCE,19.57211077356033,-29.23376819873597,h_01
line,138 kV Dajabón – Santiago Rodríguez_a,WDAJAE,WXSR2E,4.726059182572002,-6.569758578023249,h_01
line,138 kV Moca – Salcedo,WMOCAE,WSALCE,52.117213347017156,79.82346995543604,h_01
line,138 kV Salcedo – SFM,WSALCE,WSFM1E,41.197549652776836,61.30035074820731,h_01
line,138 kV Sánchez – Samaná,WSANCE,WSAMAE,8.381523920318577,11.62566141652596,h_01
line,138 kV Nagua 2 – Sánchez,WNAG2E,WSANCE,21.036653340786252,31.11779213044006,h_01
line,138 kV Canabacoa – Moca,WCAN1E,WMOCAE,67.3083445583343,104.91091094638732,h_01
line,138 kV Canabacoa – ZF Santiago_a,WZSA1E,WXNIBE,12.837343642474835,17.142801472345663,h_01
line,138 kV Nibaje – ZF Santiago_b,WZSA1E,WXNI2E,30.1548826220294,40.324835413133485,h_01
line,138 kV Puerto Plata 2 – ZF Santiago L2,,,,0.0,h_01
line,138 kV Puerto Plata 2 – San Felipe L2,WSFEL2,WPP21E,0.07034109878499675,-1.6971120128979373e-12,h_01
line,138 kV López Angostura – Tavera,WLANGE,WTAV2E,4.996518176624633,7.142143703127826,h_01
line,138 kV Bonao 2 – Bonao 3 L1,WBO31E,WBO21E,6.15480928094082,15.218096227164125,h_01
line,138 kV El Naranjo – Puerto Plata 2_a,WNAR1E,WXNV2E,6.674314865429406,16.464578543435334,h_01
line,138 kV Bonao 2 – Bonao 3 L2,WBO31E,WBO21E,6.15480928094082,15.218096227164125,h_01
line,138 kV Monción – Santiago Rodríguez_c,WXSR1E,WSRODE,19.753169309041173,29.125489740135198,h_01
line,138 kV Puerto Plata 2 – San Felipe L1,,,,0.0,h_01
line,138 kV Agua Clara – Navarrete 2_b,WXCE1E,WXAC2E,2.927430397628834,3.6390950296533204,h_01
line,138 kV Guanillo – Guayubín_b,WXGN1E,WGUAYE,19.175698301667932,29.200561874520066,h_01
line,138 kV Agua Clara – Guanillo_b,WXAC1E,WXGN2E,10.39337777542732,15.818334050896215,h_01
line,138 kV Agua Clara – Navarrete 2_a,WXAC2E,WACLAE,3.013454939132574,3.637034173115273,h_01
line,138 kV Agua Clara – Guanillo_c,WXAC1E,WACLAE,10.320981362606972,-15.818334050896215,h_01
line,138 kV Agua Clara – Guanillo_a,WXGN2E,WGNLLE,10.519914389024118,15.803855320049076,h_01
line,138 kV Guanillo – Guayubín_a,WXGN1E,WGNLLE,19.127156374925917,-29.20056187452073,h_01
line,138 kV Matrisol – Río San Juan_b,WRSJUE,WX2MTE,4.938722190475073,-6.844394019773023,h_01
line,138 kV Guayubín – Monte Cristi_b,WGUAYE,WMONTE,19.410207199688507,29.161739569304597,h_01
line,138 kV Los Guzmancito – Navarrete 2_b,WXLG1E,WNA21E,3.360936952557862,4.035913991488375,h_01
