dispatch_order,generator_id,generator_name,bus_id,technology_group,enabled,static_pmax_mw,static_pmin_mw,available_mw,dispatch_cap_mw,dispatch_mw,headroom_mw,marginal_cost,used_cost_fallback,availability_source
61,G3QUI2GN,QUISQUEYA 2 GN,WBON3D,1,True,198.0,66.0,198.0,198.0,198.0,0.0,3413.9302378588127,False,generator_availability
62,G3EM3CCT,ESTRELLA DEL MAR 3 CCT,WEMB3F,1,True,147.0,96.0,147.0,147.0,147.0,0.0,3440.60526817048,False,generator_availability
63,G3EM3CCP,ESTRELLA DEL MAR 3 CCP,WEMB3F,1,True,0.0,46.0,0.0,0.0,0.0,0.0,3488.0963191245196,False,generator_availability
64,G3BCARBO,BARAHONA CARBON,WBARCE,1,True,50.0,29.0,50.0,50.0,50.0,0.0,3878.0956692543255,False,generator_availability
65,G3Q1SPGN,QUISQUEYA 1 SAN PEDRO GN,WBON3D,1,True,68.0,10.3,68.0,68.0,68.0,0.0,4321.964563428512,False,generator_availability
66,G3QUI1GN,QUISQUEYA 1 GN,WBON3D,1,True,133.0,66.0,133.0,133.0,133.0,0.0,4321.964563428512,False,generator_availability
67,G3E4CCGN,ENERGAS 4 CICLO COMBINADO GN,WENE4E,1,True,130.0,94.0,126.6,126.6,126.6,0.0,4623.439868605826,False,generator_availability
68,G3AANDGN,AES ANDRÉS GN,WAANDE,1,True,300.0,150.0,300.0,300.0,300.0,0.0,4764.031875543865,False,generator_availability
69,G3EM3CS,ESTRELLA DEL MAR 3 CS,WEMB3F,1,True,0.0,27.0,0.0,0.0,0.0,0.0,5088.550735763267,False,generator_availability
70,G3SPBIOE,SAN PEDRO BIO-ENERGY,WSPBEE,4,True,30.0,18.0,30.0,30.0,30.0,0.0,5216.661637611238,False,generator_availability
71,G3EM2CGN,ESTRELLA DEL MAR 2 CGN,WEMA2E,1,True,0.0,49.0,0.0,0.0,0.0,0.0,5586.933569336709,False,generator_availability
72,G3SIBACC,SIBA CICLO COMBINADO,WSIBBE,1,True,260.0,140.0,260.0,260.0,260.0,0.0,5680.542253615097,False,generator_availability
73,G3EM2SGN,ESTRELLA DEL MAR 2 SGN,WEMA2E,1,True,0.0,30.0,0.0,0.0,0.0,0.0,5871.479125533299,False,generator_availability
74,G3METALD,METALDOM,WMETAE,1,True,0.0,10.5,0.0,0.0,0.0,0.0,6177.636689413543,False,generator_availability
75,G3Q1SPFO,QUISQUEYA 1 SAN PEDRO,WBON3D,1,True,0.0,10.3,0.0,0.0,0.0,0.0,6678.251777848861,False,generator_availability
76,G3QUI1FO,QUISQUEYA 1,WBON3D,1,True,0.0,66.0,0.0,0.0,0.0,0.0,6678.251777848861,False,generator_availability
77,G3QUI2FO,QUISQUEYA 2 FO,WBON3D,1,True,0.0,66.0,0.0,0.0,0.0,0.0,7025.039201125142,False,generator_availability
78,G3EM2CFO,ESTRELLA DEL MAR 2 CFO,WEMA2E,1,True,110.0,49.0,110.0,110.0,99.16399671111492,10.836003288885081,7550.487920788639,False,generator_availability
79,G3SIBACS,SIBA CICLO SIMPLE,WSIBBE,1,True,0.0,13.0,0.0,0.0,0.0,0.0,7570.966289985678,False,generator_availability
80,G3SESTE,SULTANA DEL ESTE,WSESTE,1,True,51.0,14.0,51.0,51.0,0.0,51.0,7636.1466282238425,False,generator_availability
81,G3LOPPGN,LOS ORÍGENES POWER PLANT GAS NATURAL,WLORIE,1,True,0.0,14.0,0.0,0.0,0.0,0.0,7853.7093066638445,False,generator_availability
82,G3EM2SFO,ESTRELLA DEL MAR 2 SFO,WEMA2E,1,True,0.0,28.0,0.0,0.0,0.0,0.0,7948.432066866375,False,generator_availability
83,G3PAK60,POWERSHIP AZUA KPS 60,WPAK6E,1,True,77.5,25.0,77.5,77.5,0.0,77.5,8242.827755317106,False,generator_availability
84,G3PAK26,POWERSHIP AZUA KPS 26,WPAK2E,1,True,108.0,12.0,108.0,108.0,0.0,108.0,8295.48541133939,False,generator_availability
85,G3PEMCT,PARQUE ENERGETICO LOS MINA CC TOTAL,WLMI7E,1,True,315.0,185.0,315.0,315.0,0.0,315.0,8522.285618244377,False,generator_availability
86,G3PALENQ,PALENQUE,WPALBE,1,True,24.0,5.5,24.0,24.0,0.0,24.0,8536.99629317183,False,generator_availability
87,G3PALAMA,PALAMARA,WGPALF,1,True,95.0,21.2,95.0,95.0,0.0,95.0,8559.216915491097,False,generator_availability
88,G3PEMCP,PARQUE ENERGETICO LOS MINA CC PARCIAL,WLMI7E,1,True,0.0,93.7,0.0,0.0,0.0,0.0,8632.440039246087,False,generator_availability
89,G3LVEGA,LA VEGA,WGVEGF,1,True,68.0,13.85,68.0,68.0,0.0,68.0,8634.091847901183,False,generator_availability
90,G3PIMEN3,PIMENTEL 3,WPIMEE,1,True,51.15,17.06,51.15,51.15,0.0,51.15,8673.033037328521,False,generator_availability
91,G3PIMEN4,PIMENTEL 4,WPIMEE,1,True,36.2,12.6,36.2,36.2,0.0,36.2,8716.271436850027,False,generator_availability
92,G3LOPPFO,LOS ORÍGENES POWER PLANT FUEL OIL,WLORIE,1,True,58.9,14.0,58.9,58.9,0.0,58.9,8931.28947267821,False,generator_availability
93,G3PIMEN1,PIMENTEL 1,WPIMEE,1,True,31.4,7.9,31.4,31.4,0.0,31.4,9114.5613207597,False,generator_availability
94,G3PIMEN2,PIMENTEL 2,WPIMEE,1,True,27.88,7.0,27.88,27.88,0.0,27.88,9217.43772628267,False,generator_availability
95,G3BERSAL,BERSAL,WBERSF,1,True,8.0,6.0,8.0,8.0,0.0,8.0,9507.96926786114,False,generator_availability
96,G3MRIO,MONTE RIO,WMRI2E,1,True,85.2,45.0,78.0,78.0,0.0,78.0,9784.070743838905,False,generator_availability
97,G3IKM22,INCA KM22,WINCAF,1,True,14.4,4.5,14.4,14.4,0.0,14.4,9872.111559181876,False,generator_availability
98,G3E4CCFO,ENERGAS 4 CICLO COMBINADO FO,WENE4E,1,True,130.0,90.0,0.0,0.0,0.0,0.0,10314.034385519295,False,generator_availability
99,G3MPLACS,MANZANILLO POWER LAND CICLO SIMPLE,WMPL1D,1,True,0.0,170.0,0.0,0.0,0.0,0.0,10771.124245202165,False,generator_availability
100,G3LMINA5,LOS MINA 5,WLMI5E,1,True,0.0,60.0,0.0,0.0,0.0,0.0,11838.219433906577,False,generator_availability
101,G3CES3FO,CESPM 3 FO,WSPM2E,1,True,0.0,65.0,0.0,0.0,0.0,0.0,11868.24457019387,False,generator_availability
102,G3LMINA6,LOS MINA 6,WLMI6E,1,True,0.0,60.0,0.0,0.0,0.0,0.0,11915.687996441002,False,generator_availability
103,G3AANDFO,AES ANDRÉS FO,WAANDE,1,True,0.0,150.0,0.0,0.0,0.0,0.0,12816.028992932392,False,generator_availability
104,G3HTG,HAINA TG,WHAINE,1,True,0.0,60.0,0.0,0.0,0.0,0.0,12991.409544879307,False,generator_availability
105,G3CES1FO,CESPM 1 FO,WSPM2E,1,True,0.0,65.0,0.0,0.0,0.0,0.0,13136.486857413192,False,generator_availability
106,G3SLORE1,SAN LORENZO 1,WIGASE,1,True,0.0,0.0,0.0,0.0,0.0,0.0,14229.867674858222,False,generator_availability
107,G3CES2FO,CESPM 2 FO,WSPM2E,1,True,0.0,65.0,0.0,0.0,0.0,0.0,17822.175016928195,False,generator_availability
108,G3ESOCO,PARQUE SOLAR EL SOCO,WESOCE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
109,G3MPSOLA,MONTE PLATA SOLAR,WMPSOF,4,True,60.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
110,G3PAK01,POWERSHIP AZUA KPS 01,WPAK0E,4,True,220.8,36.0,230.0,230.0,0.0,230.0,1000000.0,True,generator_availability
111,G3PFBAYA,PARQUE FOTOVOLTAICO BAYAHONDA (BAYASOL),WBAYAE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
112,G3PFCALA,PARQUE FOTOVOLTAICO CALABAZA,WCALAE,4,True,50.6,0.0,50.6,50.6,0.0,50.6,1000000.0,True,generator_availability
113,G3PFCOAS,PARQUE FOTOVOLTAICO COASTAL,WCOAPE,4,True,110.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
114,G3PFCOT1,PARQUE FOTOVOLTAICO COTOPERÍ I,WCOTAE,4,True,45.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
115,G3PFCOT2,PARQUE FOTOVOLTAICO COTOPERÍ II,WCOTAE,4,True,45.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
116,G3PFCOT3,PARQUE FOTOVOLTAICO COTOPERÍ III,WCOTBE,4,True,45.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
117,G3PFCUM1,PARQUE FOTOVOLTAICO CUMAYASA 1,WCUMAE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
118,G3PFCUM2,PARQUE FOTOVOLTAICO CUMAYASA 2,WCUMBE,4,True,30.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
119,G3PFCUM4,PARQUE FOTOVOLTAICO CUMAYASA 4,WCUMBE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
120,G3PFESP2,PARQUE SOLAR ESPERANZA 2,WESP1E,4,True,48.3,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
121,G3PFLNEG,PARQUE FOTOVOLTAICO LOS NEGROS,WMRI2E,4,True,17.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
122,G3PFLUCI,PARQUE FOTOVOLTAICO LUCILA,WLUCIF,4,True,10.3,0.0,10.3,10.3,0.0,10.3,1000000.0,True,generator_availability
123,G3PFMAR1,PARQUE FOTOVOLTAICO MARANATHA FASE I,WMARAF,4,True,10.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
124,G3PFMART,PARQUE FOTOVOLTAICO MARTÍ,WMARTF,4,True,43.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
125,G3PFMATR,PARQUE FOTOVOLTAICO MATRISOL,WMAT1E,4,True,46.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
126,G3PFMIRA,PARQUE FOTOVOLTAICO MIRASOL,WMIR1E,4,True,100.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
127,G3PFMPAL,PARQUE FOTOVOLTAICO MATA DE PALMA,WMPALF,4,True,49.88,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
128,G3PFMSO1,PARQUE FOTOVOLTAICO MONTECRISTI SOLAR1,WGUAYE,4,True,50.6,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
129,G3PFPAY1,PARQUE FOTOVOLTAICO PAYITA 1,WPAYBE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
130,G3PFPER1,PARQUE FOTOVOLTAICO PERAVIA I,WPERAE,4,True,70.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
131,G3PFPER2,PARQUE FOTOVOLTAICO PERAVIA II,WPERBE,4,True,70.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
132,G3PFSAJO,PARQUE FOTOVOLTAICO SAJOMA,WSAJ1E,4,True,68.4,0.0,68.4,68.4,0.0,68.4,1000000.0,True,generator_availability
133,G3PFVICT,PARQUE FOTOVOLTAICO LA VICTORIA,WLVICE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
134,G3PFVILL,PARQUE FOTOVOLTAICO VILLARPANDO,WVILAE,4,True,87.6,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
135,G3PFWCA2,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 2,WMP2AE,4,True,50.0,0.0,50.0,50.0,0.0,50.0,1000000.0,True,generator_availability
136,G3PFWCA3,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 3,WMP2BE,4,True,50.0,0.0,50.0,50.0,0.0,50.0,1000000.0,True,generator_availability
137,G3PSCANO,PARQUE SOLAR CANOA,WSCANF,4,True,25.0,0.0,25.0,25.0,0.0,25.0,1000000.0,True,generator_availability
138,G3PSESPE,PARQUE SOLAR ESPERANZA,WESP1E,4,True,76.0,0.0,68.13,68.13,0.0,68.13,1000000.0,True,generator_availability
139,G3PSGIRA,PARQUE SOLAR GIRASOL,WGIRAE,4,True,100.0,0.0,98.4191,98.4191,0.0,98.4191,1000000.0,True,generator_availability
140,G3SANTAS,PARQUE FOTOVOLTAICO SANTANASOL,WSANTE,4,True,50.0,0.0,0.0,0.0,0.0,0.0,1000000.0,True,generator_availability
