loc_name,for_name,ruta,cpZone,cpArea,cpGrid,cpSubstat,typ_id,on_off,aUsage
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV ZF San Pedro Chentec.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV ZF San Pedro AES.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Asociación Industrial ZF SPM.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV César Iglesias.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Destilería Brugal.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Harinas del Higuamo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Guavaberry.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Cayacoa.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sierra Prieta.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Yamasá.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF Derivación ZF Los Alcarrizos,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Cabayona.ElmTerm\Cub_8.StaCubic\KPF Derivación ZF Los Alcarrizos.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KFP GRUPO MALLA,ZGMALF_ZXMALF-L1-Q1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Malla.ElmTerm\WXMALF(1).StaCubic\KFP GRUPO MALLA.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF CIUDAD SATELITE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Ciudad Satélite.ElmTerm\WXCSAF(2).StaCubic\KPF CIUDAD SATELITE.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF OLEODUCTO FALCON,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Oleoducto FALCONDO.ElmTerm\WXOFAF(2).StaCubic\KPF OLEODUCTO FALCON.StaSwitch,SUR CERCANO,SUR,CENTRAL 69 kV,,,1,cbk
KPF BOHEMIA 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Bohemia.ElmTerm\Cub_1.StaCubic\KPF BOHEMIA 2.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF BOHEMIA 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Bohemia.ElmTerm\Cub_2.StaCubic\KPF BOHEMIA 1.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF BOHEMIA 3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Bohemia.ElmTerm\Cub_3.StaCubic\KPF BOHEMIA 3.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
KPF ACUEDUCTO ORIENTAL,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto Oriental.ElmTerm\Cub_2.StaCubic\KPF ACUEDUCTO ORIENTAL.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF La Sirena Charles de Gaulle,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Invivienda.ElmTerm\Cub_4.StaCubic\KPF La Sirena Charles de Gaulle.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Invivienda.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
KPF LA CALETA 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm\Cub_1.StaCubic\KPF LA CALETA 2.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0,cbk
KPF LA CALETA 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm\Cub_2.StaCubic\KPF LA CALETA 1.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF LA CALETA 3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm\Cub_3.StaCubic\KPF LA CALETA 3.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF CARTONES DEL CARIBE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap ZF Las Américas.ElmTerm\Cub_3.StaCubic\KPF CARTONES DEL CARIBE.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF AEROPUERTO HIGUERO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Aeropuerto Higüero.ElmTerm\Cub_5.StaCubic\KPF AEROPUERTO HIGUERO.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF BNV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Aeropuerto Higüero.ElmTerm\Cub_6.StaCubic\KPF BNV.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF Acd ISABELA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto La Isabela.ElmTerm\Cub_6.StaCubic\KPF Acd ISABELA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
ZEM31K-D1-Q1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_3.StaCubic\ZEM31K-D1-Q1.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
ZEM32K-D1-Q1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_3.StaCubic\ZEM32K-D1-Q1.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TV.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TV.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,dct
KPF TEXTILES TITAN,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Textiles Titán.ElmTerm\Cub_4.StaCubic\KPF TEXTILES TITAN.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
JUMPER,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Kilómetro 24.ElmTerm\Cub_2.StaCubic\JUMPER.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Plásticos Flexibles.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0,cbk
KPF MATA DE PALMA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Mata de Palma.ElmTerm\Cub_6.StaCubic\KPF MATA DE PALMA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\69 kV Mata de Palma.ElmTerm\Cub_2(1).StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
KPF CORVI PVC,KPF CORVI PVC,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap CORVI PVC.ElmTerm\Cub_2.StaCubic\KPF CORVI PVC.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF VILLA ALTAGRACIA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cítricos Nacionales.ElmTerm\Cub_3.StaCubic\KPF VILLA ALTAGRACIA.StaSwitch,SUR CERCANO,SUR,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Banco Popular.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF COHE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Centro Operación Herrera.ElmTerm\Cub_2.StaCubic\KPF COHE.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF COHE/HAINA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Centro Operación Herrera.ElmTerm\Cub_3.StaCubic\KPF COHE/HAINA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF COHE/HERRERA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Centro Operación Herrera.ElmTerm\Cub_4.StaCubic\KPF COHE/HERRERA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF Cayetano Germosen,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap TORGINOL.ElmTerm\Cub_3.StaCubic\KPF Cayetano Germosen.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 2 Catalina.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0,cbk
