loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Planta_SAJOMA.ElmComp\Voltage Measurement.StaVmea,0,,,NORTE 138 kV,
UAC_S-Agua Clara,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Planta_Agua Clara.ElmComp\UAC_S-Agua Clara.StaVmea,0,,,NORTE 138 kV,
Voltage Measurement-Guanillo,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Voltage Measurement-Guanillo.StaVmea,0,,,NORTE 138 kV,
Voltage Measurement-Los Guzmancito 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Voltage Measurement-Los Guzmancito 1.StaVmea,0,,,NORTE 138 kV,
Voltage Measurement-Los Guzmancito 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito 2.ElmComp\Voltage Measurement-Los Guzmancito 2.StaVmea,0,,,NORTE 138 kV,
V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Planta_MATRISOL.ElmComp\V Measurement.StaVmea,0,,,NORTE 138 kV,
V Measurement-PS Esperanza,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Planta_Parque Solar Esperanza.ElmComp\V Measurement-PS Esperanza.StaVmea,0,,,NORTE 138 kV,
16_3Ph V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\16_3Ph V Measurement.StaVmea,0,,,NORTE 138 kV,
17_1st SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\17_1st SPh V Measurement.StaVmea,0,,,NORTE 138 kV,
18_2nd SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\18_2nd SPh V Measurement.StaVmea,0,,,NORTE 138 kV,
19_PQ SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\19_PQ SPh V Measurement.StaVmea,0,,,NORTE 138 kV,
V Measurement-Canoa Solar,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Planta_Canoa Solar.ElmComp\V Measurement-Canoa Solar.StaVmea,0,,,SUR 69 kV,
