loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,GPSlat,GPSlon,Inom,ngnum,sgn,cosn,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,scale0,mode_inp,phtech,bustp,phiini
PS Esperanza,G3PSESPE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\PS Esperanza.ElmGenstat,Terminal 1 Parque Solar Esperanza,WXPS1K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,1,CIBAO NORTE,NORTE,NORTE 138 kV,Photovoltaic,,0.0,0.0,1.3223830461502075,18,4.389999866485596,0.9599999785423279,0.0,0.0,1.0,constq,0,4.389999866485596,0.0,1.837129831314087,-1.837129831314087,4.214399814605713,1.0,PQ,0,PQ,0.0
Solar Canoa,G3SCANOA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Solar Canoa.ElmGenstat,Terminal Canoa Solar,WSCANK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Terminal Canoa Solar.ElmTerm,1,SUR PROFUNDO,SUR,SUR 69 kV,Photovoltaic,,0.0,0.0,0.4859783351421356,8,3.630000114440918,1.0,0.0,0.0,1.0,constq,0,3.630000114440918,0.0,1.0,-1.0,3.630000114440918,1.0,PQ,0,PQ,0.0
PF Lucila,G3PFLUCI,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\PF Lucila.ElmGenstat,Terminal Lucila,WXLUCK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Terminal Lucila.ElmTerm,1,SUR CERCANO,SUR,SUR 69 kV,Photovoltaic,,0.0,0.0,0.1723683476448059,2,5.150000095367432,1.0,0.0,0.0,1.0,constq,0,5.150000095367432,0.0,0.6342857480049133,-0.6342857480049133,5.252999782562256,1.0,PQ,0,PQ,0.0
Los Cocos 2,G3LCOCO2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Los Cocos 2.ElmGenstat,R2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\R2.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.8702090978622437,26,2.0,1.0,0.030379999428987503,3.7975775302179215e-11,1.0,constq,0,2.0,0.0,1.0,-1.0,2.0,1.0,DEF,0,PQ,0.0
Quilvio Cabrera,G3QCABRE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Quilvio Cabrera.ElmGenstat,L3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L3.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.1380620151758194,5,1.649999976158142,1.0,0.0820000022649765,5.007656442290731e-11,1.0,constq,0,1.649999976158142,0.0,1.0,-1.0,1.649999976158142,1.0,DEF,0,PQ,0.0
Juancho Los Cocos 1,G3JCOCO1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Juancho Los Cocos 1.ElmGenstat,L4,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L4.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.7831881642341614,26,1.7999999523162842,1.0,0.01768999919295311,7.080901143208251e-11,1.0,constq,0,2.0,0.0,1.0,-1.0,1.7999999523162842,1.0,DEF,0,PQ,0.0
Larimar,G3PELARI,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar.ElmGenstat,L2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\L2.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.8283721208572388,15,3.299999952316284,1.0,0.29267001152038574,3.7975775302179215e-11,1.0,constq,0,3.299999952316284,0.0,1.0,-1.0,3.299999952316284,1.0,DEF,0,PQ,0.0
Larimar 2,G3PELAR2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar 2.ElmGenstat,R3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\R3.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.8082903623580933,14,3.450000047683716,1.0,0.1771399974822998,3.7975775302179215e-11,1.0,constq,0,3.450000047683716,0.0,1.0,-1.0,3.450000047683716,1.0,DEF,0,PQ,0.0
Parque Fotovoltaico Los Negros,G3PFLNEG,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Parque Fotovoltaico Los Negros.ElmGenstat,Terminal Monte Río 2,WMRI2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\Terminal Monte Río 2.ElmTerm,1,SUR MEDIO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,0.8158209919929504,3,6.5,1.0,0.0,0.0,1.0,constq,0,6.5,0.0,0.6342857480049133,-0.6342857480049133,6.62999963760376,1.0,PQ,0,PQ,0.0
Bayasol,G3PFBAYA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Bayasol.ElmGenstat,Terminal Bayasol,WBAYAK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Terminal Bayasol.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,0.861506998538971,13,3.9600000381469727,1.0,0.0,0.0,1.0,constq,0,3.9600000381469727,0.0,1.0,-1.0,3.9600000381469727,1.0,DEF,0,PQ,0.0
