loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,av_mode,plini,qlini,slini,coslini,scale0,mode_inp,phtech
Demanda INCA La Isabela,ZIISAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda INCA La Isabela.ElmLod,69 kV INCA La Isabela,WIISAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV INCA La Isabela.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.0010110362200066447,constq,0.10999999940395355,0.05000000074505806,0.1208304613828659,0.9103664755821228,1.0,PQ,3PH-'D'
Demanda INCA Gerdau,ZINCAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Demanda INCA Gerdau.ElmLod,R1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\R1.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.44737163186073303,constq,9.369999885559082,2.359999895095825,9.662633895874023,0.969714879989624,1.0,DEF,3PH-'D'
SSAA INCA km 22,ZINCAK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\SSAA INCA km 22.ElmLod,L3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L3.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.014530849643051624,constq,0.28999999165534973,0.11999999731779099,0.3138470947742462,0.9240168333053589,1.0,DEF,3PH-'D'
Demanda Harinas del Higuamo,ZHHIGF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Harinas del Higuamo.ElmLod,69 kV Harinas del Higuamo,WHHIGF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Harinas del Higuamo.ElmTerm,0,ESTE CERCANO,ESTE,CENTRAL 69 kV,,,0.0,0.0,0.005990142934024334,constq,0.6499999761581421,0.30000001192092896,0.7158910036087036,0.9079594016075134,1.0,PQ,3PH-'D'
Demanda 1 Despacho,ZDESPF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 Despacho.ElmLod,WDESPF(2),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.03339271992444992,constq,3.7899999618530273,1.25,3.990814447402954,0.9496808052062988,1.0,PQ,3PH-'D'
Demanda Cartonera del Caribe,ZCCARF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Cartonera del Caribe.ElmLod,69 kV Cartones del Caribe,WCCARF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Cartones del Caribe.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.010472622700035572,constq,0.8799999952316284,0.8899999856948853,1.2515989542007446,0.7031006217002869,1.0,PQ,3PH-'D'
Demanda Cayacoa,ZCAYAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Cayacoa.ElmLod,69 kV Cayacoa,WCAYAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Cayacoa.ElmTerm,0,ESTE CERCANO,ESTE,CENTRAL 69 kV,,,0.0,0.0,0.04083288833498955,constq,4.880000114440918,0.0,4.880000114440918,1.0,1.0,PQ,3PH-'D'
Demanda Catalina,ZCATAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Catalina.ElmLod,69 kV Catalina,WCATAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Catalina.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.07253841310739517,constq,6.150000095367432,6.110000133514404,8.669175148010254,0.7094100713729858,1.0,PQ,3PH-'D'
Demanda 1 La Caleta,ZLCALF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 La Caleta.ElmLod,WLCALF(5),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZLCALF.ElmSubstat\WLCALF(5).ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.14797738194465637,constq,15.9399995803833,7.659999847412109,17.684999465942383,0.9013288021087646,1.0,PQ,3PH-'D'
Demanda Base Aérea San Isidro,ZBASIF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Base Aérea San Isidro.ElmLod,69 kV Base Aérea San Isidro,WBASIF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Base Aérea San Isidro.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.026528337970376015,constq,2.4100000858306885,2.059999942779541,3.1704416275024414,0.7601464986801147,1.0,PQ,3PH-'D'
Demanda Asociación Industrial ZF SPM,ZZSPMF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Asociación Industrial ZF SPM.ElmLod,69 kV Asociación Industrial ZF SPM,WZSPMF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Asociación Industrial ZF SPM.ElmTerm,0,ESTE CERCANO,ESTE,CENTRAL 69 kV,,,0.0,0.0,0.03556143119931221,constq,4.199999809265137,0.6499999761581421,4.25,0.9882352352142334,1.0,PQ,3PH-'D'
Demanda Aeropuerto El Higüero,ZAHIGF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Aeropuerto El Higüero.ElmLod,69 kV Aeropuerto El Higüero,WAHIGF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aeropuerto El Higüero.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.0033154317643493414,constq,0.28999999165534973,0.27000001072883606,0.3962322473526001,0.7318939566612244,1.0,PQ,3PH-'D'
Demanda Aero Las Américas,ZAAMEF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Aero Las Américas.ElmLod,69 kV Aero Las Américas,WAAMEF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aero Las Américas.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.03341284394264221,constq,3.8299999237060547,1.1299999952316284,3.9932191371917725,0.9591258764266968,1.0,PQ,3PH-'D'
Demanda Aluminio Dominicano,ZADOMF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Aluminio Dominicano.ElmLod,69 kV Aluminio Dominicano,WADOMF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aluminio Dominicano.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.0020918487571179867,constq,0.25,0.0,0.25,1.0,1.0,PQ,3PH-'D'
Demanda Acueducto Brujuela,ZABRUF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Acueducto Brujuela.ElmLod,69 kV Acueducto Brujuela,WABRUF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto Brujuela.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.054906945675611496,constq,4.619999885559082,4.659999847412109,6.56201171875,0.7040523886680603,1.0,PQ,3PH-'D'
Demanda 1 Invivienda,ZINVIF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 Invivienda.ElmLod,R2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.2714877128601074,constq,30.940000534057617,9.770000457763672,32.44590377807617,0.9535872340202332,1.0,PQ,3PH-'D'
Demanda Acueducto La Isabela,ZALISF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Acueducto La Isabela.ElmLod,69 kV Acueducto La Isabela,WALISF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto La Isabela.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.00573944766074419,constq,0.47999998927116394,0.49000000953674316,0.6859300136566162,0.6997798085212708,1.0,DEF,3PH-'D'
SSAA EDM3 TG1,ZEM31K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SSAA EDM3 TG1.ElmLod,Terminal EDM3 TG1,WEM31K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.04405812919139862,constq,0.9700000286102295,0.4099999964237213,1.0530906915664673,0.9210982918739319,1.0,DEF,3PH-'D'
