branch_id,branch_base_id,branch_parallel_index,from_bus,to_bus,circuit_id,branch_type,r_pu,x_pu,fmax_mw,in_service_base,closure_flag,series_parameter_status,thermal_limit_status,closure_flag_is_binary,operational_status,closure_semantics_hint,pypsa_v1_component,pypsa_v1_include,tap_ratio_hint,pypsa_v1_mapping_reason,from_bus_in_buses,to_bus_in_buses,source_sheet,source_row_number
WBON2F__WRBLAF__L1,WBON2F__WRBLAF__L1,1,WBON2F,WRBLAF,L1,line,0.03647481,0.1334927,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,332
WBON2F__WXRINF__L1,WBON2F__WXRINF__L1,1,WBON2F,WXRINF,L1,line,0.008460255352782822,0.030962659723053766,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,353
WBON2F__WZFDRF__L1,WBON2F__WZFDRF__L1,1,WBON2F,WZFDRF,L1,line,0.00135,0.00769,158.28462,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,329
WBON3C__WBON3D__T1,WBON3C__WBON3D__T1,1,WBON3C,WBON3D,T1,transformer,0.00016667,0.05671975,300.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,779
WBON3C__WBON3E__T1,WBON3C__WBON3E__T1,1,WBON3C,WBON3E,T1,transformer,0.001208,0.05998784,250.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,782
WBON3D__WGUERD__L1,WBON3D__WGUERD__L1,1,WBON3D,WGUERD,L1,line,0.0028929999999999997,0.025058999999999998,1187.13465,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,802
WBON3D__WNARAD__L1,WBON3D__WNARAD__L1,1,WBON3D,WNARAD,L1,line,0.002529,0.021908,1187.13465,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,800
WBON3D__WNARAD__L2,WBON3D__WNARAD__L2,1,WBON3D,WNARAD,L2,line,0.002529,0.021908,1187.13465,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,806
WBON3E__WBON2E__L1,WBON3E__WBON2E__L1,1,WBON3E,WBON2E,L1,line,9.333e-05,0.00052961,316.56924,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,783
WBON3E__WBON2E__L2,WBON3E__WBON2E__L2,1,WBON3E,WBON2E,L2,line,9.3e-05,0.00053,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,784
WBON3E__WFALCE__L1,WBON3E__WFALCE__L1,1,WBON3E,WFALCE,L1,line,0.00205765,0.00761031,135.60431999999997,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,335
WBONAF__WBOPEF__L1,WBONAF__WBOPEF__L1,1,WBONAF,WBOPEF,L1,line,0.0239,0.0315,37.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,338
WBPOPF__WLDIAF__L1,WBPOPF__WLDIAF__L1,1,WBPOPF,WLDIAF,L1,line,0.00096,0.00146,45.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,23
WBVISF__WXCHAF__L1,WBVISF__WXCHAF__L1,1,WBVISF,WXCHAF,L1,line,0.0043,0.0157,40.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,743
WCABAF__WSYASF__L1,WCABAF__WSYASF__L1,1,WCABAF,WSYASF,L1,line,0.0257,0.09407,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,469
WCALAE__WPERAE__L1,WCALAE__WPERAE__L1,1,WCALAE,WPERAE,L1,line,8.7e-05,0.001079,656.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,661
WCALBE__WCALAE__L1,WCALBE__WCALAE__L1,1,WCALBE,WCALAE,L1,line,0.0,0.0001,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,658
WCALBE__WPERBE__L1,WCALBE__WPERBE__L1,1,WCALBE,WPERBE,L1,line,8.7e-05,0.001079,656.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,662
WCANAE__WCANAF__T1,WCANAE__WCANAF__T1,1,WCANAE,WCANAF,T1,transformer,0.00068,0.03749384,200.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,transformer,False,,out_of_service_base_case,True,True,e_datred,416
WCANAE__WCANAF__T2,WCANAE__WCANAF__T2,1,WCANAE,WCANAF,T2,transformer,0.00357143,0.07856172,140.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,418
WCANAE__WCANAF__T3,WCANAE__WCANAF__T3,1,WCANAE,WCANAF,T3,transformer,0.00625,0.126095,60.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,transformer,False,,out_of_service_base_case,True,True,e_datred,419
WCANAE__WMOCAE__L1,WCANAE__WMOCAE__L1,1,WCANAE,WMOCAE,L1,line,0.0128,0.0523,158.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,420
WCANAE__WNIBAE__L1,WCANAE__WNIBAE__L1,1,WCANAE,WNIBAE,L1,line,0.00751044,0.02777765,136.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,429
WCANAE__WXCANF__T1,WCANAE__WXCANF__T1,1,WCANAE,WXCANF,T1,transformer,0.00068,0.03749384,200.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,417
WCANAE__WZFSAE__L1,WCANAE__WZFSAE__L1,1,WCANAE,WZFSAE,L1,line,0.01097416,0.04058834,136.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,426
