bus_id_modom,factor_retiro,factor_inyeccion
WLCBOF,1.047737,
WBONAF,1.038042,
WDAJAE,1.025057,
WVMAOE,1.019645,
WZFSAE,1.024116,
WTAVBE,1.026783,1.026783
WLGALE,1.027695,
WCANAE,1.027734,
WBALDF,1.029034,
WXEANF,1.029034,
WAPFAF,1.031118,
WNIBAE,1.030314,
WTROQF,1.034881,
WFOCHF,1.033574,
WTZFPF,1.036897,
WHMSAF,1.030956,
WPP22E,1.025138,
WSFELE,1.025138,
WCINDF,1.037259,
WACIBF,1.034407,
WAQUIF,1.04072,
WQUINF,1.041717,
WVOLGF,1.034554,
WUMEDF,1.034554,
WPIMCF,1.039108,
WCCIBF,1.043025,
WZFLIF,1.043644,
WELJIF,1.043644,
WMVCIF,1.043644,
WPPRIF,1.043644,
WFOLAF,1.0499,
WLPENF,1.062251,
WZFPPF,1.032811,
WDPEDF,1.049573,
WPPLAF,1.038449,
WPPLBF,1.038449,
WRINCF,1.031528,1.031528
WRNUEF,1.031737,
WZFGUF,1.050399,
WZFVEF,1.067831,
WMOCAF,1.068024,
WFANTF,1.04401,
WHJBOF,1.05513,
WIDALF,1.058598,
WXINDF,1.070459,
WMOCAE,1.051004,
WLVEGF,1.0721,
WCVEGF,1.072181,
WMAIMF,1.065238,
WLVPEF,1.074874,
WPGARF,1.055234,
WSJMAF,1.06826,
WPPELF,1.05535,
WPDORF,1.055961,
WSALCE,1.060979,
WAHMIF,1.077636,
WIMBEF,1.052286,
WJIMEF,1.113844,1.113844
WLUPEF,1.057941,
WCENOF,1.083043,
WSFMAF,1.076472,
WSFMAE,1.075039,
WAIUNF,1.077119,
WHATIF,1.096193,1.096193
WECHIF,1.082747,
WGRSFF,1.082493,
WPBAJF,1.125529,
WCODAF,1.086122,
WNAVAF,1.059252,
WPPLIF,1.060743,
WAISOF,1.088255,
WCOTUF,1.10524,
WSOSUF,1.087924,
WPIMEF,1.102925,
WCABAF,1.097154,
WERIOF,1.15272,
WSYASF,1.101506,
WZFESF,1.084425,
WRSJUE,1.0907,
WCESPF,1.084823,
WAPERF,1.115584,
WEABAF,1.115584,
WNAGUF,1.097914,1.097914
WTIREF,1.162424,
WSANCE,1.10758,
WPAYIF,1.105076,
WSAMAE,1.112151,
WRARRF,1.049654,
WCONSF,1.164416,1.164416
WPSCEF,1.034554,
WPEBPE,0.931556,
WXZFNF,1.062109,
WADMIF,1.064503,
WXADOF,1.063705,
WAIBAF,0.958145,
WZFBAF,0.948791,
WIBARF,0.945635,
WBARAF,0.944923,
WLTORF,0.974285,0.974285
WKQA1F,0.976428,
WTSABK,0.964931,
WKINDF,0.973018,
WFNEGF,0.98047,
WQCORF,0.98047,
WVALLF,0.977045,
WPIZAF,0.987922,
WPDISF,0.987922,0.987922
WSJUAF,0.977968,
WPCATE,0.986327,
WDRODK,0.980035,
WGUA2F,0.977397,
WVILLF,0.979582,
WPALBE,0.989243,0.989243
WICAEF,0.993684,
WSCNOE,0.994623,
WTMBBF,0.99606,
WTIMBF,0.99606,
WAIAZF,0.995872,
WPLINF,0.996364,
WTTITF,0.997131,
WLMFAF,0.990911,
WGOYAF,0.999688,
WYAGUF,0.999688,
WAISCF,0.999688,
WHAINE,1.000933,1.000933
WVNOBF,0.991666,
WASOEF,0.991666,
WMULTF,0.998572,
WEPINF,0.994487,
WVDU1E,0.996939,
WPHAIF,1.003012,
WHAINF,1.003012,
WLCUAF,1.000659,
WAZUAF,1.001623,
WLISAE,0.99959,
WOJIVF,1.005353,
WMETAE,1.00383,1.00383
WEBRIE,1.000045,
WPLASF,1.009898,
WINVBF,1.000605,
WMETRF,1.017084,
WMETBF,1.017084,
WGHACF,1.017084,
WXCODF,1.017084,
WPALAF,1.007592,
WEMBAE,1.00646,
WGBOJF,1.008459,
WREFIF,1.008965,
WAISAF,1.011635,
WLPRAE,1.00779,
WPIISF,1.010206,
WCBOHF,1.00918,
WHENUF,1.009783,
WPFLEF,1.009783,
WTORGF,1.009783,
WADOMF,1.008514,
WAORIF,0.994748,
WBANIF,1.014816,
WAHONF,1.004525,
WAHOBF,1.004525,
WXLFAF,1.015335,
WABCOF,1.012697,
WCOHEF,1.008514,
WCATAF,0.991426,
WSKAPF,1.007328,
WMERCF,1.007328,
WGMALF,1.007328,
WIPSIF,1.02091,
WPIDUF,1.02091,
WBMATF,1.018655,
WBNVFF,1.022837,
WKDMBF,1.01368,
WCSATF,1.021924,
WBAPEF,1.018437,
WINCAF,1.022353,1.022353
WCOCOF,1.017927,
WGPLAF,1.007762,
WCPVCF,1.024397,
WABRUF,0.999341,
WINVIF,1.008502,
WCDAGF,1.028284,
WPCGLF,1.030823,
WXCARF,1.012554,
WKDMEF,1.013526,
WZFSIF,1.012961,
WAIAMF,1.005381,
WSALIF,1.012549,
WCBYNF,1.040899,
WBAYOF,1.040435,
WXCBAF,1.040435,
WXCB2F,1.040435,
WMLTPF,1.042816,
WVALTF,1.053274,
WSJOCF,1.041176,
WYAMAF,1.050681,
WSRODE,1.026734,
WMPLAF,1.073952,
WSODOF,1.074021,
WMVIEF,1.074176,
WCORMF,1.065912,
WLDAMK,1.0676,
WABISF,1.06196,
WDISDF,1.042194,
WLALFF,1.010317,
WPLCCF,1.012285,
WNEYBF,1.099294,
WITA1E,,0.99825
WIGASE,,0.998094
WGPALF,,1.007592
WLMI5E,,0.995377
WLMI6E,,0.995377
WBON3D,,1.006754
WENE4E,,0.974029
WLORIE,,0.977061
WBERSF,,0.974357
WPIMEE,,1.071796
WGVEGF,,1.068018
WRBLAF,,1.011317
WMONCE,,1.01892
WLANGE,,1.026321
WTCEMK,,1.016663
WTAV1K,,1.036374
WPINAF,,1.008546
WBDERF,,1.070935
WBARCE,,0.985533
WSLCOE,,0.9315560000000002
WMRI2E,,0.971894
WAGUAE,,0.981771
WJIGBE,,0.980347
WJIGUE,,0.980347
WVALDE,,0.984611
WLDAMF,,1.06686
WSYEGF,,0.977033
WSABAF,,0.966928
WMAGUF,,0.978519
WLBARF,,0.984611
WPLM1E,,0.970202
WDRODF,,0.983035
WMPSOF,,1.073721
WGUAYE,,1.003501
WCTP1D,,0.984002
WCTP2D,,0.984002
WSESTE,,0.975369
WMTFNE,,0.971618
WGNLLE,,1.001031
WACLAE,,0.999626
WMPALF,,0.997149
WSCANF,,0.951682
WESP1E,,1.006131
WGIRAE,,0.982923
WSANTE,,0.983313
WBAYAE,,0.977961
WESOCE,,0.977644
WLGUZE,,1.015972
WEMA2E,,0.997306
WEMA3F,,0.994975
WEMB3F,,0.996126
WSIBBE,,0.972173
WPAK2E,,0.971802
WPAK6E,,0.971802
WPAK0E,,0.971444
WMAT1E,,1.088037
WCALAE,,0.977844
WCUMAE,,0.994783
WCUMBE,,0.994785
WMARAF,,1.002775
WSAJ1E,,1.017236
