name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,tap_ratio_hint,has_tap_ratio_hint,tap_side_hint,source_branch_id,source_branch_type,source_row_number,notes
WRBLAF__WRBL2K__T1,WRBLAF,WRBL2K,69.0,,missing_bus_v_nom,0.07090133,0.6628857,15.0,,False,,WRBLAF__WRBL2K__T1,transformer,472,standard_branch
WSABAF__WTSABK__T1,WSABAF,WTSABK,69.0,,missing_bus_v_nom,0.03333333,0.3718422,15.0,,False,,WSABAF__WTSABK__T1,transformer,596,standard_branch
WSAJ1E__WXPFSK__T1,WSAJ1E,WXPFSK,138.0,,missing_bus_v_nom,0.006667,0.178542,75.0,,False,,WSAJ1E__WXPFSK__T1,transformer,835,standard_branch
WSANTK__WSANTE__T1,WSANTK,WSANTE,,138.0,missing_bus_v_nom,0.00833333,0.2074994,60.0,,False,,WSANTK__WSANTE__T1,transformer,647,standard_branch
WSCANF__WSCANK__T1,WSCANF,WSCANK,69.0,,missing_bus_v_nom,0.015625,0.4415987,32.0,,False,,WSCANF__WSCANK__T1,transformer,622,standard_branch
WSESTE__WTSE1K__T1,WSESTE,WTSE1K,138.0,,missing_bus_v_nom,0.0027897836728667655,0.06496644683531233,175.0,,False,,WSESTE__WTSE1K__T1,transformer,711,standard_branch
WSFMAE__WSFMAF__T1,WSFMAE,WSFMAF,138.0,69.0,different_voltage_ok,0.00098,0.085209,140.0,1.03,True,,WSFMAE__WSFMAF__T1,transformer,424,transformer_with_tap_ratio
WSIBBE__WXSI1K__T1,WSIBBE,WXSI1K,138.0,,missing_bus_v_nom,0.0010380355849751782,0.04712792559042932,281.0,,False,,WSIBBE__WXSI1K__T1,transformer,261,standard_branch
WSJU2F__WSJU2E__T1,WSJU2F,WSJU2E,69.0,138.0,different_voltage_ok,0.00667,0.12022,75.0,,False,,WSJU2F__WSJU2E__T1,transformer,674,standard_branch
WSLCOE__WLCOCK__T1,WSLCOE,WLCOCK,138.0,34.5,different_voltage_ok,0.002777778,0.056509693,180.0,,False,,WSLCOE__WLCOCK__T1,transformer,615,standard_branch
WSLORK__WIGASE__T1,WSLORK,WIGASE,13.8,138.0,different_voltage_ok,0.00694444,0.2603241,48.0,,False,,WSLORK__WIGASE__T1,transformer,219,standard_branch
WSPBEE__WSPB1K__T1,WSPBEE,WSPB1K,138.0,,missing_bus_v_nom,0.01111111,0.2924557,45.0,,False,,WSPBEE__WSPB1K__T1,transformer,717,standard_branch
WSPEVF__WTSPVK__T1,WSPEVF,WTSPVK,69.0,,missing_bus_v_nom,0.00836619,0.216849,38.8,,False,,WSPEVF__WTSPVK__T1,transformer,747,standard_branch
WSPM2E__WCES1K__T1,WSPM2E,WCES1K,138.0,,missing_bus_v_nom,0.00416667,0.110338,120.0,,False,,WSPM2E__WCES1K__T1,transformer,765,standard_branch
WSPM2E__WCES2K__T1,WSPM2E,WCES2K,138.0,,missing_bus_v_nom,0.00416667,0.110338,120.0,,False,,WSPM2E__WCES2K__T1,transformer,766,standard_branch
WSPM2E__WCES3K__T1,WSPM2E,WCES3K,138.0,,missing_bus_v_nom,0.00416667,0.110338,120.0,,False,,WSPM2E__WCES3K__T1,transformer,767,standard_branch
WSPMAE__WSPMAF__T1,WSPMAE,WSPMAF,138.0,69.0,different_voltage_ok,0.0034,0.09914172,125.0,,False,,WSPMAE__WSPMAF__T1,transformer,709,standard_branch
WTAV1K__WBOPEF__T1,WTAV1K,WBOPEF,,69.0,missing_bus_v_nom,0.0,0.001,20.0,,False,,WTAV1K__WBOPEF__T1,transformer,384,standard_branch
WTAVBE__WTBA1K__T1,WTAVBE,WTBA1K,138.0,,missing_bus_v_nom,0.7111111,13.31436,0.75,,False,,WTAVBE__WTBA1K__T1,transformer,393,standard_branch
WTAVBE__WTBA2K__T1,WTAVBE,WTBA2K,138.0,,missing_bus_v_nom,0.7111111,13.31436,0.75,,False,,WTAVBE__WTBA2K__T1,transformer,394,standard_branch
WTCEMK__WTMONK__T1,WTCEMK,WTMONK,,,missing_bus_v_nom,0.02538812,1.449848,4.0,,False,,WTCEMK__WTMONK__T1,transformer,476,standard_branch
WTDAJK__WDAJAE__T1,WTDAJK,WDAJAE,,138.0,missing_bus_v_nom,0.0020725,0.7264256,14.0,,False,,WTDAJK__WDAJAE__T1,transformer,397,standard_branch
WTESAK__WCONSF__T1,WTESAK,WCONSF,,69.0,missing_bus_v_nom,0.0,0.001,40.0,,False,,WTESAK__WCONSF__T1,transformer,446,standard_branch
WTFA1K__WFALCK__T1,WTFA1K,WFALCK,,34.5,missing_bus_v_nom,0.00466875,0.09801386,80.0,,False,,WTFA1K__WFALCK__T1,transformer,357,standard_branch
WTFA2K__WFALCK__T1,WTFA2K,WFALCK,,34.5,missing_bus_v_nom,0.00466875,0.09801386,80.0,,False,,WTFA2K__WFALCK__T1,transformer,358,standard_branch
WTFA3K__WFALCK__T1,WTFA3K,WFALCK,,34.5,missing_bus_v_nom,0.00466875,0.09801386,80.0,,False,,WTFA3K__WFALCK__T1,transformer,359,standard_branch
WTIM2E__WTIM2F__T1,WTIM2E,WTIM2F,138.0,69.0,different_voltage_ok,0.00098,0.08578012,140.0,,False,,WTIM2E__WTIM2F__T1,transformer,134,standard_branch
WTLANK__WLANGE__T1,WTLANK,WLANGE,,138.0,missing_bus_v_nom,0.01760397,0.3473229,23.0,,False,,WTLANK__WLANGE__T1,transformer,473,standard_branch
WTMI5K__WLMI5E__T1,WTMI5K,WLMI5E,,138.0,missing_bus_v_nom,0.0013,0.1195729,150.0,,False,,WTMI5K__WLMI5E__T1,transformer,5,standard_branch
WTMI6K__WLMI6E__T1,WTMI6K,WLMI6E,,138.0,missing_bus_v_nom,0.0013,0.1101257,150.0,,False,,WTMI6K__WLMI6E__T1,transformer,7,standard_branch
WTMONK__WRZMOK__T1,WTMONK,WRZMOK,,,missing_bus_v_nom,0.1,1.404444,5.0,1.2,True,,WTMONK__WRZMOK__T1,transformer,477,transformer_with_tap_ratio
