name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,source_branch_id,source_branch_type,source_row_number,notes
WXDISF__WDISDF__L1,WXDISF,WDISDF,69.0,69.0,same_voltage_ok,0.003919,0.014529,79.0,WXDISF__WDISDF__L1,line,163,standard_branch
WXDISF__WZFALF__L1,WXDISF,WZFALF,69.0,69.0,same_voltage_ok,0.005119,0.018979,79.0,WXDISF__WZFALF__L1,line,164,standard_branch
WXDROF__WDRODF__L1,WXDROF,WDRODF,69.0,69.0,same_voltage_ok,0.01714,0.06357,79.0,WXDROF__WDRODF__L1,line,584,standard_branch
WXDROF__WLMFAF__L1,WXDROF,WLMFAF,69.0,69.0,same_voltage_ok,0.03992,0.14802,79.0,WXDROF__WLMFAF__L1,line,583,standard_branch
WXDURF__WDURAF__L1,WXDURF,WDURAF,69.0,69.0,same_voltage_ok,0.035379,0.131563,79.0,WXDURF__WDURAF__L1,line,19,standard_branch
WXDURF__WPFLEF__L1,WXDURF,WPFLEF,69.0,69.0,same_voltage_ok,0.00074,0.00276,79.0,WXDURF__WPFLEF__L1,line,18,standard_branch
WXDURF__WXHE1F__L1,WXDURF,WXHE1F,69.0,69.0,same_voltage_ok,0.00235315,0.00875056,79.0,WXDURF__WXHE1F__L1,line,13,standard_branch
WXEANF__WBALDF__L1,WXEANF,WBALDF,69.0,69.0,same_voltage_ok,0.01168,0.01801,45.0,WXEANF__WBALDF__L1,line,487,standard_branch
WXECHF__WECHIF__L1,WXECHF,WECHIF,69.0,69.0,same_voltage_ok,0.00345,0.01263,79.0,WXECHF__WECHIF__L1,line,305,standard_branch
WXESPF__WZFESF__L1,WXESPF,WZFESF,69.0,69.0,same_voltage_ok,0.00667,0.01204,43.0,WXESPF__WZFESF__L1,line,457,standard_branch
WXGALF__WGALAF__L1,WXGALF,WGALAF,69.0,69.0,same_voltage_ok,0.00209725,0.00323433,45.0,WXGALF__WGALAF__L1,line,244,standard_branch
WXGALF__WXGPLF__L1,WXGALF,WXGPLF,69.0,69.0,same_voltage_ok,0.00293914,0.01089691,79.0,WXGALF__WXGPLF__L1,line,245,standard_branch
WXGAVF__WCAYAF__L1,WXGAVF,WCAYAF,69.0,69.0,same_voltage_ok,0.0061,0.0224,73.0,WXGAVF__WCAYAF__L1,line,731,standard_branch
WXGAVF__WGUAVF__L1,WXGAVF,WGUAVF,69.0,69.0,same_voltage_ok,0.0061,0.0224,73.0,WXGAVF__WGUAVF__L1,line,732,standard_branch
WXGBOF__WGBOJF__L1,WXGBOF,WGBOJF,69.0,69.0,same_voltage_ok,2.448e-05,8.959e-05,79.0,WXGBOF__WGBOJF__L1,line,256,standard_branch
WXGOYF__WGOYAF__L1,WXGOYF,WGOYAF,69.0,69.0,same_voltage_ok,0.01807,0.02733,68.0,WXGOYF__WGOYAF__L1,line,547,standard_branch
WXGOYF__WXAISF__L1,WXGOYF,WXAISF,69.0,69.0,same_voltage_ok,0.000275,0.000926,68.0,WXGOYF__WXAISF__L1,line,548,standard_branch
WXGOYF__WXYAGF__L1,WXGOYF,WXYAGF,69.0,69.0,same_voltage_ok,0.030554,0.102772,68.0,WXGOYF__WXYAGF__L1,line,550,standard_branch
WXGPLF__WXINVF__L1,WXGPLF,WXINVF,69.0,69.0,same_voltage_ok,0.0037474,0.01389355,79.0,WXGPLF__WXINVF__L1,line,247,standard_branch
WXGRMF__WXZFBF__L1,WXGRMF,WXZFBF,69.0,69.0,same_voltage_ok,0.00208,0.00761,79.0,WXGRMF__WXZFBF__L1,line,80,standard_branch
WXGRSF__WGRSFF__L1,WXGRSF,WGRSFF,69.0,69.0,same_voltage_ok,0.002,0.00298,45.0,WXGRSF__WGRSFF__L1,line,309,standard_branch
WXGRSF__WXCDLF__L1,WXGRSF,WXCDLF,69.0,69.0,same_voltage_ok,0.00813,0.03015,79.0,WXGRSF__WXCDLF__L1,line,310,standard_branch
WXHACF__WBPOPF__L1,WXHACF,WBPOPF,69.0,69.0,same_voltage_ok,0.00737,0.01115,45.0,WXHACF__WBPOPF__L1,line,22,standard_branch
WXHACF__WGHACF__L1,WXHACF,WGHACF,69.0,69.0,same_voltage_ok,0.0038,0.00566,45.0,WXHACF__WGHACF__L1,line,24,standard_branch
WXHE1F__WMETRF__L1,WXHE1F,WMETRF,69.0,69.0,same_voltage_ok,0.02044,0.07599,79.0,WXHE1F__WMETRF__L1,line,16,standard_branch
WXHHIF__WXCNAF__L1,WXHHIF,WXCNAF,69.0,69.0,same_voltage_ok,0.0452,0.0697,79.0,WXHHIF__WXCNAF__L1,line,721,standard_branch
WXHJBF__WHJBOF__L1,WXHJBF,WHJBOF,69.0,69.0,same_voltage_ok,0.00129,0.00195,45.0,WXHJBF__WHJBOF__L1,line,348,standard_branch
WXHJBF__WXIDAF__L1,WXHJBF,WXIDAF,69.0,69.0,same_voltage_ok,0.003843,0.014066,79.0,WXHJBF__WXIDAF__L1,line,349,standard_branch
WXHMSF__WHMSAF__L1,WXHMSF,WHMSAF,69.0,69.0,same_voltage_ok,0.0009,0.00137,43.0,WXHMSF__WHMSAF__L1,line,375,standard_branch
WXHMSF__WVOLGF__L1,WXHMSF,WVOLGF,69.0,69.0,same_voltage_ok,0.00879,0.0327,43.0,WXHMSF__WVOLGF__L1,line,372,standard_branch
WXHNUF__WHNUEF__L1,WXHNUF,WHNUEF,69.0,69.0,same_voltage_ok,0.003872,0.005971,79.0,WXHNUF__WHNUEF__L1,line,175,standard_branch
WXIBAF__WBARAF__L1,WXIBAF,WBARAF,69.0,69.0,same_voltage_ok,0.00215,0.00351,43.0,WXIBAF__WBARAF__L1,line,626,standard_branch
WXIBAF__WIBARF__L1,WXIBAF,WIBARF,69.0,69.0,same_voltage_ok,0.0019,0.0031,43.0,WXIBAF__WIBARF__L1,line,625,standard_branch
WXICAF__WICAEF__L1,WXICAF,WICAEF,69.0,69.0,same_voltage_ok,0.0038,0.00566,68.0,WXICAF__WICAEF__L1,line,554,standard_branch
WXIDAF__WIDALF__L1,WXIDAF,WIDALF,69.0,69.0,same_voltage_ok,0.000441,0.001599,79.0,WXIDAF__WIDALF__L1,line,350,standard_branch
WXIDAF__WLVEGF__L1,WXIDAF,WLVEGF,69.0,69.0,same_voltage_ok,0.015128,0.055368,79.0,WXIDAF__WLVEGF__L1,line,351,standard_branch
WXIDUF__WPIDUF__L1,WXIDUF,WPIDUF,69.0,69.0,same_voltage_ok,1.7e-05,6.3e-05,79.0,WXIDUF__WPIDUF__L1,line,281,standard_branch
WXIDUF__WXCSAF__L1,WXIDUF,WXCSAF,69.0,69.0,same_voltage_ok,0.001398,0.005116,79.0,WXIDUF__WXCSAF__L1,line,279,standard_branch
WXIDUF__WXIPSF__L1,WXIDUF,WXIPSF,69.0,69.0,same_voltage_ok,4.2e-05,0.000152,79.0,WXIDUF__WXIPSF__L1,line,280,standard_branch
WXIISF__WIISAF__L1,WXIISF,WIISAF,69.0,69.0,same_voltage_ok,0.001613,0.002488,79.0,WXIISF__WIISAF__L1,line,240,standard_branch
WXIISF__WMULTF__L1,WXIISF,WMULTF,69.0,69.0,same_voltage_ok,0.001291,0.001952,79.0,WXIISF__WMULTF__L1,line,241,standard_branch
WXIMBF__WIMBEF__L1,WXIMBF,WIMBEF,69.0,69.0,same_voltage_ok,0.007446,0.013435,43.0,WXIMBF__WIMBEF__L1,line,406,standard_branch
WXIMBF__WNAVAF__L1,WXIMBF,WNAVAF,69.0,69.0,same_voltage_ok,0.078262,0.255396,43.0,WXIMBF__WNAVAF__L1,line,442,standard_branch
WXINAF__WXIISF__L1,WXINAF,WXIISF,69.0,69.0,same_voltage_ok,0.012906,0.019904,79.0,WXINAF__WXIISF__L1,line,239,standard_branch
WXINAF__WXTTIF__L1,WXINAF,WXTTIF,69.0,69.0,same_voltage_ok,0.00403916,0.01478275,79.0,WXINAF__WXTTIF__L1,line,236,standard_branch
WXINDF__WGVEGF__L1,WXINDF,WGVEGF,69.0,69.0,same_voltage_ok,0.00548,0.02007,65.0,WXINDF__WGVEGF__L1,line,378,standard_branch
WXINVF__WXZHAF__L1,WXINVF,WXZHAF,69.0,69.0,same_voltage_ok,0.008776,0.013534,45.0,WXINVF__WXZHAF__L1,line,52,standard_branch
WXINVF__WZFSIF__L1,WXINVF,WZFSIF,69.0,69.0,same_voltage_ok,0.03574997,0.055132959999999995,45.0,WXINVF__WZFSIF__L1,line,51,standard_branch
WXIPRF__WXAPFF__L1,WXIPRF,WXAPFF,69.0,69.0,same_voltage_ok,0.00363,0.00632,43.0,WXIPRF__WXAPFF__L1,line,483,standard_branch
WXIPSF__WIPSIF__L1,WXIPSF,WIPSIF,69.0,69.0,same_voltage_ok,0.000382,0.001398,79.0,WXIPSF__WIPSIF__L1,line,104,standard_branch
WXJIMF__WJARAF__L1,WXJIMF,WJARAF,69.0,69.0,same_voltage_ok,0.00388,0.00639,45.0,WXJIMF__WJARAF__L1,line,438,standard_branch
WXJIMF__WPBAJF__L1,WXJIMF,WPBAJF,69.0,69.0,same_voltage_ok,0.03042,0.05287,43.0,WXJIMF__WPBAJF__L1,line,440,standard_branch
WXJINF__WSALIF__L1,WXJINF,WSALIF,69.0,69.0,same_voltage_ok,0.162424,0.250487,45.0,WXJINF__WSALIF__L1,line,532,standard_branch
WXKINF__WCCABF__L1,WXKINF,WCCABF,69.0,69.0,same_voltage_ok,0.03226533,0.04975901,45.3606,WXKINF__WCCABF__L1,line,585,standard_branch
WXKINF__WKINDF__L1,WXKINF,WKINDF,69.0,69.0,same_voltage_ok,0.00668297,0.02445874,79.14231,WXKINF__WKINDF__L1,line,587,standard_branch
WXKINF__WSALIF__L1,WXKINF,WSALIF,69.0,69.0,same_voltage_ok,0.1144129,0.1764454,45.3606,WXKINF__WSALIF__L1,line,586,standard_branch
WXLADF__WCCARF__L1,WXLADF,WCCARF,69.0,69.0,same_voltage_ok,0.00062,0.00227,79.0,WXLADF__WCCARF__L1,line,191,standard_branch
WXLALF__WLALFF__L1,WXLALF,WLALFF,69.0,69.0,same_voltage_ok,0.000122,0.000454,79.0,WXLALF__WLALFF__L1,line,111,standard_branch
WXLALF__WXNOVF__L1,WXLALF,WXNOVF,69.0,69.0,same_voltage_ok,0.001536,0.005711,79.0,WXLALF__WXNOVF__L1,line,112,standard_branch
WXLC1E__WPEBPE__L2,WXLC1E,WPEBPE,138.0,138.0,same_voltage_ok,0.037086,0.151304,158.0,WXLC1E__WPEBPE__L2,line,608,standard_branch
WXLCAF__WXPC2F__L1,WXLCAF,WXPC2F,69.0,69.0,same_voltage_ok,0.009103,0.03477,79.0,WXLCAF__WXPC2F__L1,line,178,standard_branch
WXLCBF__WBON2F__L1,WXLCBF,WBON2F,69.0,69.0,same_voltage_ok,0.03089343,0.1130657,79.0,WXLCBF__WBON2F__L1,line,328,standard_branch
WXLCBF__WXRARF__L1,WXLCBF,WXRARF,69.0,69.0,same_voltage_ok,0.007227,0.011146,45.0,WXLCBF__WXRARF__L1,line,294,standard_branch
WXLFAF__WXBMAF__L1,WXLFAF,WXBMAF,69.0,69.0,same_voltage_ok,0.00347,0.01143,68.0,WXLFAF__WXBMAF__L1,line,562,standard_branch
WXLPAF__WLPARF__L1,WXLPAF,WLPARF,69.0,69.0,same_voltage_ok,0.001254,0.004589,79.0,WXLPAF__WLPARF__L1,line,86,standard_branch
WXLPAF__WXMPAF__L1,WXLPAF,WXMPAF,69.0,69.0,same_voltage_ok,0.01727,0.063207,79.0,WXLPAF__WXMPAF__L1,line,87,standard_branch
WXLPEF__WLPENF__L1,WXLPEF,WLPENF,69.0,69.0,same_voltage_ok,0.00018504,0.00067723,79.0,WXLPEF__WLPENF__L1,line,345,standard_branch
WXLPEF__WZFVEF__L1,WXLPEF,WZFVEF,69.0,69.0,same_voltage_ok,0.02545893,0.09317614,71.7069,WXLPEF__WZFVEF__L1,line,346,standard_branch
WXLULF__WLUCIF__L1,WXLULF,WLUCIF,69.0,69.0,same_voltage_ok,0.009062,0.033599,79.0,WXLULF__WLUCIF__L1,line,557,standard_branch
WXLULF__WXICAF__L1,WXLULF,WXICAF,69.0,69.0,same_voltage_ok,0.022984,0.077311,68.0,WXLULF__WXICAF__L1,line,559,standard_branch
WXMAGF__WKQA1F__L1,WXMAGF,WKQA1F,69.0,69.0,same_voltage_ok,0.16262,0.25079,79.0,WXMAGF__WKQA1F__L1,line,595,standard_branch
WXMAGF__WMAGUF__L1,WXMAGF,WMAGUF,69.0,69.0,same_voltage_ok,7e-05,0.00027,79.0,WXMAGF__WMAGUF__L1,line,593,standard_branch
WXMAIF__WXCORF__L1,WXMAIF,WXCORF,69.0,69.0,same_voltage_ok,0.00758872,0.02777365,79.0,WXMAIF__WXCORF__L1,line,325,standard_branch
WXMAIF__WXLCBF__L1,WXMAIF,WXLCBF,69.0,69.0,same_voltage_ok,0.02061,0.07544,79.0,WXMAIF__WXLCBF__L1,line,323,standard_branch
WXMALF__WGMALF__L1,WXMALF,WGMALF,69.0,69.0,same_voltage_ok,0.007098,0.010947,45.0,WXMALF__WGMALF__L1,line,234,standard_branch
WXMALF__WXPETF__L1,WXMALF,WXPETF,69.0,69.0,same_voltage_ok,0.000306,0.001135,79.0,WXMALF__WXPETF__L1,line,235,standard_branch
WXMARF__WMARAF__L1,WXMARF,WMARAF,69.0,69.0,same_voltage_ok,0.01318,0.047842,79.0,WXMARF__WMARAF__L1,line,189,standard_branch
WXMEGF__WMEGAF__L1,WXMEGF,WMEGAF,69.0,69.0,same_voltage_ok,0.00539,0.01956,79.0,WXMEGF__WMEGAF__L1,line,47,standard_branch
WXMETF__WXGBOF__L1,WXMETF,WXGBOF,69.0,69.0,same_voltage_ok,0.000171,0.000627,79.0,WXMETF__WXGBOF__L1,line,31,standard_branch
WXMOZF__WMOZAF__L1,WXMOZF,WMOZAF,69.0,69.0,same_voltage_ok,0.00225,0.00824,79.0,WXMOZF__WMOZAF__L1,line,249,standard_branch
WXMOZF__WTMBBF__L1,WXMOZF,WTMBBF,69.0,69.0,same_voltage_ok,0.002083,0.007558,79.0,WXMOZF__WTMBBF__L1,line,248,standard_branch
WXMPAF__WZFGIF__L1,WXMPAF,WZFGIF,69.0,69.0,same_voltage_ok,0.00122399,0.00447962,79.14231,WXMPAF__WZFGIF__L1,line,83,standard_branch
WXMPSF__WMPLAF__L1,WXMPSF,WMPLAF,69.0,69.0,same_voltage_ok,0.000244,0.0001,79.0,WXMPSF__WMPLAF__L1,line,170,standard_branch
WXMPSF__WMPSOF__L1,WXMPSF,WMPSOF,69.0,69.0,same_voltage_ok,0.00040188,0.00145817,79.0,WXMPSF__WMPSOF__L1,line,171,standard_branch
WXMV2F__WMVIEF__L1,WXMV2F,WMVIEF,69.0,69.0,same_voltage_ok,0.000195,0.000797,79.0,WXMV2F__WMVIEF__L1,line,633,standard_branch
