loc_name,cerrado,uso,outserv,barra_for,barra,elemento,elemento_for,ruta
Switch,1,cbk,,WMIRAK,Terminal Mirasol,138/34.5 kV Transformador Mirasol,WMIRAE_WMIRAK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\Terminal Mirasol.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WMIRAK,Terminal Mirasol,SSAA Mirasol,ZMIRAK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\Terminal Mirasol.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WMIRAK,Terminal Mirasol,Mirasol,G3PFMIRA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\Terminal Mirasol.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI1K,Terminal SIBA Grupo 1,SIBA Grupo 1,G4SIBA1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 1.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI1K,Terminal SIBA Grupo 1,SSAA SIBA Grupo 1,ZXSI1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 1.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI1K,Terminal SIBA Grupo 1,138/13.8 kV Trafo SIBA Grupo 1,WSIBAE_WXSI1K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 1.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI2K,Terminal SIBA Grupo 2,SIBA Grupo 2,G4SIBA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 2.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI2K,Terminal SIBA Grupo 2,SSAA SIBA Grupo 2,ZXSI2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 2.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI2K,Terminal SIBA Grupo 2,138/13.8 kV Trafo SIBA Grupo 2,WSIBAE_WXSI2K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 2.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI3K,Terminal SIBA Grupo 3,SIBA Grupo 3,G4SIBA3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 3.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
