loc_name,cerrado,uso,outserv,barra_for,barra,elemento,elemento_for,ruta
Switch,1,cbk,,WPCA2K,Terminal Punta Catalina 2,SSAA Punta Catalina 2,ZPCA2L-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 2.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
G4SESTE3-Q1,1,cbk,,WSES3K,Terminal Sultana del Este 3,Sultana del Este Grupo 3,G4SESTE3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 3.ElmTerm\WSES3K.StaCubic\G4SESTE3-Q1.StaSwitch
ZSES3K-D1-Q1,1,cbk,,WSES3K,Terminal Sultana del Este 3,SSAA Sultana del Este 3,ZSES3K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 3.ElmTerm\WSES3K(1).StaCubic\ZSES3K-D1-Q1.StaSwitch
Switch,1,cbk,,WSES3K,Terminal Sultana del Este 3,138/13.8 kV Transformador Sultana Este 3,WSESTE_WSES3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 3.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
G4SESTE1-Q1,1,cbk,,WSES1K,Terminal Sultana del Este 1,Sultana del Este Grupo 1,G4SESTE1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 1.ElmTerm\WSES1K.StaCubic\G4SESTE1-Q1.StaSwitch
Switch,1,cbk,,WSES1K,Terminal Sultana del Este 1,138/13.8 kV Transformador Sultana Este 1,WSESTE_WSES1K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 1.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
G4SESTE2-Q1,1,cbk,,WSES2K,Terminal Sultana del Este 2,Sultana del Este Grupo 2,G4SESTE2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 2.ElmTerm\WSES2K.StaCubic\G4SESTE2-Q1.StaSwitch
ZSES2K-D1-Q1,1,cbk,,WSES2K,Terminal Sultana del Este 2,SSAA Sultana del Este 2,ZSES2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 2.ElmTerm\WSES2K(1).StaCubic\ZSES2K-D1-Q1.StaSwitch
Switch,1,cbk,,WSES2K,Terminal Sultana del Este 2,138/13.8 kV Transformador Sultana Este 2,WSESTE_WSES2K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 2.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
ZCES3K-D1-Q1,1,cbk,,WCES3K,Terminal CESPM 3,SSAA CESPM 3,ZCES3K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm\WCES3K(1).StaCubic\ZCES3K-D1-Q1.StaSwitch
G3CESPM3-Q1,1,cbk,,WCES3K,Terminal CESPM 3,CESPM 3,G3CESPM3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm\WCES3K.StaCubic\G3CESPM3-Q1.StaSwitch
WSPM2E_WCES3K-T1-Q2,1,cbk,,WCES3K,Terminal CESPM 3,138/13.8 kV Transformador CESPM 3,WSPM2E_WCES3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm\WCES3K(2).StaCubic\WSPM2E_WCES3K-T1-Q2.StaSwitch
ZCES2K-D1-Q1,1,cbk,,WCES2K,Terminal CESPM 2,SSAA CESPM 2,ZCES2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm\WCES2K(1).StaCubic\ZCES2K-D1-Q1.StaSwitch
G3CESPM2-Q1,1,cbk,,WCES2K,Terminal CESPM 2,CESPM 2,G3CESPM2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm\WCES2K.StaCubic\G3CESPM2-Q1.StaSwitch
WSPM2E_WCES2K-T1-Q2,1,cbk,,WCES2K,Terminal CESPM 2,138/13.8 kV Transformador CESPM 2,WSPM2E_WCES2K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm\WCES2K(2).StaCubic\WSPM2E_WCES2K-T1-Q2.StaSwitch
ZCES1K-D1-Q1,1,cbk,,WCES1K,Terminal CESPM 1,SSAA CESPM 1,ZCES1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 1.ElmTerm\WCES1K(1).StaCubic\ZCES1K-D1-Q1.StaSwitch
G3CESPM1-Q1,1,cbk,,WCES1K,Terminal CESPM 1,CESPM 1,G3CESPM1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 1.ElmTerm\WCES1K.StaCubic\G3CESPM1-Q1.StaSwitch
WSPM2E_WCES1K-T1-Q2,1,cbk,,WCES1K,Terminal CESPM 1,138/13.8 kV Transformador CESPM 1,WSPM2E_WCES1K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 1.ElmTerm\WCES1K(2).StaCubic\WSPM2E_WCES1K-T1-Q2.StaSwitch
Switch,1,dct,,WXEN4K,Terminal ENERGAS 4 TG,ENERGAS 4 TG,G3ENE4TG,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TG.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXEN4K,Terminal ENERGAS 4 TG,SSAA ENERGAS 4 TG,ZXEN4K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TG.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXEN4K,Terminal ENERGAS 4 TG,138/13.8 kV Transformador ENERGAS 4 TG,WENE4E_WXEN4K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TG.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXEV4K,Terminal ENERGAS 4 TV,ENERGAS 4 TV,G3ENE4TV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TV.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXEV4K,Terminal ENERGAS 4 TV,138/13.8 kV Transformador ENERGAS 4 TV,WENE4E_WXEV4K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TV.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXCU2K,Terminal PF Cumayasa 2,PF Cumayasa 2,G3PFCUM2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm\Cub_8.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXCU2K,Terminal PF Cumayasa 2,SSAA PF Cumayasa 2,ZXCU2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXCU2K,Terminal PF Cumayasa 2,138/34.5 kV Transformador PF Cumayasa 2,WCUMBE_WXCU2K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXCU1K,Terminal PF Cumayasa 1,PF Cumayasa 1,G3PFCUM1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXCU1K,Terminal PF Cumayasa 1,SSAA PF Cumayasa 1,ZXCU1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXCU1K,Terminal PF Cumayasa 1,138/34.5 kV Transformador PF Cumayasa 1,WCUMAE_WXCU1K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm\Cub_1(1).StaCubic\Switch.StaSwitch
Switch,1,dct,,WXCU4K,Terminal Cumayasa 4,SSAA PF Cumayasa 4,ZXCU4K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal Cumayasa 4.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXCU4K,Terminal Cumayasa 4,138/34.5 kV Transformador PF Cumayasa 4,WCUMBE_WXCU4K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal Cumayasa 4.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXCU4K,Terminal Cumayasa 4,PF Cumayasa 4,G4PFCUM4,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal Cumayasa 4.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
G4LOPPL1-Q1,1,cbk,,WLORIK,Terminal Los Orígenes,Los Orígenes Power Plant Grupo 1,G4LOPPL1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_2.StaCubic\G4LOPPL1-Q1.StaSwitch
G4LOPPL2-Q1,1,cbk,,WLORIK,Terminal Los Orígenes,Los Orígenes Power Plant Grupo 2,G4LOPPL2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_3.StaCubic\G4LOPPL2-Q1.StaSwitch
Switch,1,cbk,,WLORIK,Terminal Los Orígenes,SSAA Los Orígenes,ZLORIK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WLORIK,Terminal Los Orígenes,138/12.47 kV Transformador Los Orígenes,WLORIE_WLORIK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXESOK,Terminal Parque Solar El Soco,El Soco,G3ESOCO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXESOK,Terminal Parque Solar El Soco,SSAA El Soco,ZXESOE-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXESOK,Terminal Parque Solar El Soco,138/34.5 kV Transformador PS El Soco,WESOCE_WESOCK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm\Cub_1(1).StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCSO1K,Terminal PF Cotoperí 1,138/34.5 kV Cotoperí T1,WCOTOE_WCSO1K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 1.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCSO1K,Terminal PF Cotoperí 1,SSAA PF Cotoperí  1,ZCSO1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 1.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCSO1K,Terminal PF Cotoperí 1,PF Cotoperí 1,G3PFCOT1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 1.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCSO2K,Terminal PF Cotoperí 2,138/34.5 kV Cotoperí T2,WCOTOE_WCSO2K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 2.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCSO2K,Terminal PF Cotoperí 2,SSAA PF Cotoperí  2,ZCSO2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 2.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCSO2K,Terminal PF Cotoperí 2,PF Cotoperí 2,G3PFCOT2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 2.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCSO3K,Terminal PF Cotoperí 3,SSAA PF Cotoperí  3,ZCSO3K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 3.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCSO3K,Terminal PF Cotoperí 3,138/34.5 kV Cotoperí T3,WCOTOE_WCSO3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 3.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCSO3K,Terminal PF Cotoperí 3,PF Cotoperí 3,G3PFCOT3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 3.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCOA1K,Terminal Coastal,138/34.5 kV Transformador PF Coastal T1,WCOAPE_WCOA1K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCOA1K,Terminal Coastal,SSAA PF Coastal G1,ZCOA1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCOA1K,Terminal Coastal,PF Coastal G1,G4PFCOA1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCOA2K,Terminal Coastal 2,138/34.5 kV Transformador PF Coastal T2,WCOAPE_WCOA2K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal 2.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCOA2K,Terminal Coastal 2,SSAA PF Coastal G2,ZCOA2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal 2.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCOA2K,Terminal Coastal 2,PF Coastal G2,G4PFCOA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal 2.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
G3CEMON2-Q1,1,cbk,,WCEMOK,Terminal Contra Embalse Monción,Contra Embalse Monción 2,G3CEMON2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm\WCEMOK(1).StaCubic\G3CEMON2-Q1.StaSwitch
G3CEMON1-Q1,1,cbk,,WCEMOK,Terminal Contra Embalse Monción,Contra Embalse Monción 1,G3CEMON1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm\WCEMOK.StaCubic\G3CEMON1-Q1.StaSwitch
ZCEMOK-D1-Q1,1,cbk,,WCEMOK,Terminal Contra Embalse Monción,SSAA Contra Embalse Monción,ZCEMOK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm\WCEMOK(2).StaCubic\ZCEMOK-D1-Q1.StaSwitch
Switch,1,cbk,,WCEMOK,Terminal Contra Embalse Monción,13.8/4.16 kV Transformador CE Monción,WZMONK_WCEMOK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
ZMONCK-D1-Q1,1,cbk,,WMONCK,Terminal Monción,SSAA Monción,ZMONCK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm\WMONCK(4).StaCubic\ZMONCK-D1-Q1.StaSwitch
G3MONCI2-Q1,1,cbk,,WMONCK,Terminal Monción,Monción 2,G3MONCI2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm\WMONCK(1).StaCubic\G3MONCI2-Q1.StaSwitch
G3MONCI1-Q1,1,cbk,,WMONCK,Terminal Monción,Monción 1,G3MONCI1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm\WMONCK.StaCubic\G3MONCI1-Q1.StaSwitch
Switch,1,cbk,,WMONCK,Terminal Monción,13.8/4.16 kV Transformador Zona Monción,WMONCK_WZMONK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm\Cub_14.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WMONCK,Terminal Monción,138/13.8 kV Transformador Monción 2,WMONCE_WMONCK-T2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm\Cub_15.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WMONCK,Terminal Monción,138/13.8 kV Transformador Monción 1,WMONCE_WMONCK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm\Cub_16.StaCubic\Switch.StaSwitch
ZZMONK-D1-Q1,1,cbk,,WZMONK,13.8 kV Zona Monción,Demanda Monción,ZZMONK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\13.8 kV Zona Monción.ElmTerm\WZMONK(1).StaCubic\ZZMONK-D1-Q1.StaSwitch
WZMONK_WCEMOK-T1-Q1,1,cbk,,WZMONK,13.8 kV Zona Monción,13.8/4.16 kV Transformador CE Monción,WZMONK_WCEMOK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\13.8 kV Zona Monción.ElmTerm\Cub_2.StaCubic\WZMONK_WCEMOK-T1-Q1.StaSwitch
Switch,1,cbk,,WZMONK,13.8 kV Zona Monción,13.8/4.16 kV Transformador Zona Monción,WMONCK_WZMONK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\13.8 kV Zona Monción.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
ZPIM3K-D1-Q1,1,cbk,,WPIM3K,Terminal Pimentel Grupo 3,SSAA Pimentel Grupo 3,ZPIM3K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Terminal Pimentel Grupo 3.ElmTerm\WPIM3K(1).StaCubic\ZPIM3K-D1-Q1.StaSwitch
G3PIMEN3-Q1,1,cbk,,WPIM3K,Terminal Pimentel Grupo 3,Pimentel 3,G3PIMEN3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Terminal Pimentel Grupo 3.ElmTerm\WPIM3K.StaCubic\G3PIMEN3-Q1.StaSwitch
Switch,1,cbk,,WPIM3K,Terminal Pimentel Grupo 3,138/13.8 kV Trafo Pimentel Grupo 3,WPIMEE_WPIM3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Terminal Pimentel Grupo 3.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
ZLANGK-D1-Q1,1,cbk,,WLANGK,Terminal López Angostura,SSAA López Angostura,ZLANGK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\López Angostura.ElmSite\Terminal López Angostura.ElmTerm\WLANGK(2).StaCubic\ZLANGK-D1-Q1.StaSwitch
G3LANGOS-Q1,1,cbk,,WLANGK,Terminal López Angostura,López Angostura,G3LANGOS,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\López Angostura.ElmSite\Terminal López Angostura.ElmTerm\WLANGK.StaCubic\G3LANGOS-Q1.StaSwitch
