loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_con,barra_con_for,barra_con_kV,barra_con_id,categoria,num_unidades,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,ref_slack,Q_min_pu,Q_max_pu,P_max_MW,P_min_MW
Los Orígenes Power Plant Grupo 1,G4LOPPL1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Los Orígenes Power Plant Grupo 1.ElmSym,Los Orígenes Grupo 1,Terminal Los Orígenes,WLORIK,12.470000267028809,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm,Others,3,2.130000114440918,0.0,1.0,constq,0,-1.0,1.0,8.432000160217285,0.0
Los Orígenes Power Plant Grupo 2,G4LOPPL2,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Los Orígenes Power Plant Grupo 2.ElmSym,Los Orígenes Grupo 2,Terminal Los Orígenes,WLORIK,12.470000267028809,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm,Others,2,17.18000030517578,0.0,1.0490000247955322,constv,0,-1.0,1.0,17.18000030517578,0.0
San Pedro Bio-Energy,G3SPBIOE,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\San Pedro Bio-Energy.ElmSym,San Pedro Bio-Energy,R1,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\ZSPBEK.ElmSubstat\R1.ElmTerm,Others,1,30.0,14.529670715332031,1.0499999523162842,constv,0,-1.0,1.0,30.5,0.0
Contra Embalse Monción 2,G3CEMON2,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Contra Embalse Monción 2.ElmSym,Contra Embalse Monción 1,Terminal Contra Embalse Monción,WCEMOK,4.159999847412109,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm,Hydro,1,0.75,0.36324170231819153,1.0,constq,0,-1.0,1.0,1.440000057220459,0.0
Contra Embalse Monción 1,G3CEMON1,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Contra Embalse Monción 1.ElmSym,Contra Embalse Monción 1,Terminal Contra Embalse Monción,WCEMOK,4.159999847412109,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Contra Embalse Monción.ElmTerm,Hydro,1,0.75,0.36324170231819153,1.0,constq,0,-1.0,1.0,1.440000057220459,0.0
Monción 2,G3MONCI2,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Monción 2.ElmSym,Monción,Terminal Monción,WMONCK,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm,Hydro,1,22.309999465942383,0.0,1.0,constv,0,-1.0,1.0,26.0,0.0
Monción 1,G3MONCI1,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Monción 1.ElmSym,Monción,Terminal Monción,WMONCK,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Terminal Monción.ElmTerm,Hydro,1,19.399999618530273,0.0,1.0,constq,0,-1.0,1.0,26.0,0.0
Pimentel 3,G3PIMEN3,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Pimentel 3.ElmSym,Pimentel 3,Terminal Pimentel Grupo 3,WPIM3K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Terminal Pimentel Grupo 3.ElmTerm,Diesel,3,8.526670455932617,0.0,1.0,constq,0,-1.0,1.0,17.200000762939453,0.0
Pimentel 2,G3PIMEN2,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Pimentel 2.ElmSym,Pimentel 2,R2,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\ZPIMEK.ElmSubstat\R2.ElmTerm,Diesel,4,3.944999933242798,0.0,1.0,constv,0,-1.0,1.0,6.969600200653076,0.0
Pimentel 1,G3PIMEN1,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Pimentel 1.ElmSym,Pimentel 1,L2,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\ZPIMEK.ElmSubstat\L2.ElmTerm,Diesel,4,3.055000066757202,0.0,1.0,constv,0,-1.0,1.0,7.856800079345703,0.0
