loc_name,for_name,ruta,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,ukr_pct,Pcu_kW,Pfe_kW,i0_pct,grupo,con_AT,con_BT,tap_lado,tap_dU_pct,tap_fase_deg,tap_neutro,tap_min,tap_max,f_Hz
69/34.5 kV PF Lucila T1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/34.5 kV PF Lucila T1.TypTr2,15.0,69.0,34.5,8.710000038146973,0.20713333785533905,31.06999969482422,11.350000381469727,0.23000000417232513,YNd11,YN,D,0,1.0,0.0,11,1,21,60.0
138/69 kV km 15,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV km 15.TypTr2,90.0,138.0,69.0,19.799999237060547,0.22949999570846558,206.5500030517578,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,14,1,27,60.0
145/13.8 kV Trafo Haina TG 150 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\145/13.8 kV Trafo Haina TG 150 MVA.TypTr2,150.0,145.0,13.800000190734863,7.997379779815674,0.19499999284744263,292.5,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
138/69 kV Haina T1 T1 (140 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Haina T1 T1 (140 MVA).TypTr2,140.0,138.0,69.0,14.800000190734863,0.1371999979019165,192.0800018310547,0.0,0.0,YNyn0,YN,YN,0,1.2699999809265137,0.0,9,1,16,60.0
138/13.8 kV Trafo Valdesia 30 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Valdesia 30 MVA.TypTr2,30.0,138.0,13.800000190734863,8.879150390625,0.5009999871253967,150.3000030517578,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-2,2,60.0
138/13.8 kV Trafo Valdesia 1 30 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Valdesia 1 30 MVA.TypTr2,30.0,138.0,13.800000190734863,8.879150390625,0.5,150.0,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-2,2,60.0
Trafo SSAA Valdesia 5 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\Trafo SSAA Valdesia 5 MVA.TypTr2,5.0,138.0,13.800000190734863,10.300000190734863,0.5,25.0,0.0,0.0,Yyn0,Y,YN,0,1.5,0.0,0,-9,9,60.0
138/13.8 kV Trafo Barahona Carbón 95 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Barahona Carbón 95 MVA.TypTr2,95.0,138.0,13.199999809265137,10.699999809265137,0.5,475.0,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
138/69 kV Trafo Barahona Carbón 40 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Trafo Barahona Carbón 40 MVA.TypTr2,40.0,138.0,69.0,9.600000381469727,0.5,200.0,0.0,0.0,YNyn0,YN,YN,0,2.5,0.0,3,1,5,60.0
138/13.8 Trafo Jigüey 2  61.3 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 Trafo Jigüey 2  61.3 MVA.TypTr2,61.29999923706055,138.0,13.800000190734863,8.000040054321289,0.39902445673942566,244.6020050048828,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
