generator_id,generator_name,snapshot_id,snapshot_order,snapshot_label_modom,time_block_group,forecast_mw,static_pmax_mw,forecast_pu,source_sheet
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_23,23,23,canonical_hours_24h,25.116500000000002,50.0,0.50233,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_24,24,24,canonical_hours_24h,19.528,50.0,0.39055999999999996,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_01,1,1,canonical_hours_24h,36.432,49.5,0.7360000000000001,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_02,2,2,canonical_hours_24h,39.7056,49.5,0.8021333333333333,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_03,3,3,canonical_hours_24h,38.4384,49.5,0.7765333333333334,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_04,4,4,canonical_hours_24h,41.4624,49.5,0.8376242424242425,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_05,5,5,canonical_hours_24h,47.232,49.5,0.9541818181818181,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_06,6,6,canonical_hours_24h,47.232,49.5,0.9541818181818181,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_07,7,7,canonical_hours_24h,47.232,49.5,0.9541818181818181,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_08,8,8,canonical_hours_24h,29.8464,49.5,0.6029575757575757,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_09,9,9,canonical_hours_24h,11.9328,49.5,0.24106666666666668,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_10,10,10,canonical_hours_24h,16.2624,49.5,0.32853333333333334,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_11,11,11,canonical_hours_24h,24.3936,49.5,0.49279999999999996,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_12,12,12,canonical_hours_24h,47.232,49.5,0.9541818181818181,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_13,13,13,canonical_hours_24h,18.875,49.5,0.3813131313131313,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_14,14,14,canonical_hours_24h,20.22,49.5,0.40848484848484845,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_15,15,15,canonical_hours_24h,18.1205,49.5,0.36607070707070705,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_16,16,16,canonical_hours_24h,14.245000000000001,49.5,0.2877777777777778,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_17,17,17,canonical_hours_24h,11.57,49.5,0.23373737373737374,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_18,18,18,canonical_hours_24h,10.3295,49.5,0.20867676767676765,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_19,19,19,canonical_hours_24h,8.7455,49.5,0.17667676767676768,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_20,20,20,canonical_hours_24h,7.2315000000000005,49.5,0.1460909090909091,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_21,21,21,canonical_hours_24h,6.3275,49.5,0.12782828282828282,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_22,22,22,canonical_hours_24h,6.890000000000001,49.5,0.1391919191919192,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_23,23,23,canonical_hours_24h,8.977,49.5,0.18135353535353535,Pronostico Renovable
G3PEESPE,PARQUE EÓLICO ESPERANZA,h_24,24,24,canonical_hours_24h,13.1475,49.5,0.2656060606060606,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_01,1,1,canonical_hours_24h,13.665,50.0,0.2733,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_02,2,2,canonical_hours_24h,13.882000000000001,50.0,0.27764000000000005,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_03,3,3,canonical_hours_24h,13.3445,50.0,0.26689,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_04,4,4,canonical_hours_24h,11.547,50.0,0.23094,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_05,5,5,canonical_hours_24h,9.464500000000001,50.0,0.18929,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_06,6,6,canonical_hours_24h,10.521999999999998,50.0,0.21043999999999996,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_07,7,7,canonical_hours_24h,16.5355,50.0,0.33071,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_08,8,8,canonical_hours_24h,24.2935,50.0,0.48587,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_09,9,9,canonical_hours_24h,27.2795,50.0,0.54559,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_10,10,10,canonical_hours_24h,23.5385,50.0,0.47076999999999997,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_11,11,11,canonical_hours_24h,17.045,50.0,0.34090000000000004,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_12,12,12,canonical_hours_24h,12.6775,50.0,0.25355,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_13,13,13,canonical_hours_24h,10.5275,50.0,0.21055,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_14,14,14,canonical_hours_24h,9.835999999999999,50.0,0.19671999999999998,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_15,15,15,canonical_hours_24h,10.1055,50.0,0.20210999999999998,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_16,16,16,canonical_hours_24h,9.8975,50.0,0.19795000000000001,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_17,17,17,canonical_hours_24h,8.706,50.0,0.17412,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_18,18,18,canonical_hours_24h,10.087499999999999,50.0,0.20174999999999998,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_19,19,19,canonical_hours_24h,15.4785,50.0,0.30957,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_20,20,20,canonical_hours_24h,22.220999999999997,50.0,0.4444199999999999,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_21,21,21,canonical_hours_24h,25.17,50.0,0.5034000000000001,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_22,22,22,canonical_hours_24h,22.6985,50.0,0.45397,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_23,23,23,canonical_hours_24h,17.3335,50.0,0.34667000000000003,Pronostico Renovable
G3PEGUAN,PARQUE EÓLICO GUANILLO,h_24,24,24,canonical_hours_24h,12.8435,50.0,0.25687,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_01,1,1,canonical_hours_24h,22.954285714999997,48.3,0.47524401066252586,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_02,2,2,canonical_hours_24h,23.13257143,48.3,0.4789352262939959,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_03,3,3,canonical_hours_24h,23.489142855,48.3,0.4863176574534162,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_04,4,4,canonical_hours_24h,24.60342857,48.3,0.5093877550724638,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_05,5,5,canonical_hours_24h,25.22742857,48.3,0.5223070097308489,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_06,6,6,canonical_hours_24h,23.266285715000002,48.3,0.4817036379917185,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_07,7,7,canonical_hours_24h,18.497142855,48.3,0.3829636201863354,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_08,8,8,canonical_hours_24h,14.842285715,48.3,0.3072937001035197,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_09,9,9,canonical_hours_24h,13.282285715,48.3,0.27499556345755694,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_10,10,10,canonical_hours_24h,13.19314286,48.3,0.2731499556935818,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_11,11,11,canonical_hours_24h,16.536,48.3,0.34236024844720503,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_12,12,12,canonical_hours_24h,20.592,48.3,0.4263354037267081,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_13,13,13,canonical_hours_24h,23.42,48.3,0.4848861283643893,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_14,14,14,canonical_hours_24h,24.539,48.3,0.5080538302277433,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_15,15,15,canonical_hours_24h,24.0685,48.3,0.498312629399586,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_16,16,16,canonical_hours_24h,22.585,48.3,0.46759834368530023,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_17,17,17,canonical_hours_24h,21.2865,48.3,0.4407142857142857,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_18,18,18,canonical_hours_24h,19.797,48.3,0.40987577639751555,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_19,19,19,canonical_hours_24h,17.48,48.3,0.36190476190476195,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_20,20,20,canonical_hours_24h,15.5945,48.3,0.3228674948240166,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_21,21,21,canonical_hours_24h,14.774000000000001,48.3,0.30587991718426505,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_22,22,22,canonical_hours_24h,14.98,48.3,0.3101449275362319,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_23,23,23,canonical_hours_24h,16.820999999999998,48.3,0.34826086956521735,Pronostico Renovable
G3PELAR2,PARQUE EOLICO LARIMAR II,h_24,24,24,canonical_hours_24h,18.817500000000003,48.3,0.38959627329192553,Pronostico Renovable
G3PELARI,PARQUE EOLICO LARIMAR,h_01,1,1,canonical_hours_24h,27.587000000000003,49.5,0.5573131313131314,Pronostico Renovable
G3PELARI,PARQUE EOLICO LARIMAR,h_02,2,2,canonical_hours_24h,27.685000000000002,49.5,0.5592929292929293,Pronostico Renovable
G3PELARI,PARQUE EOLICO LARIMAR,h_03,3,3,canonical_hours_24h,28.812,49.5,0.5820606060606061,Pronostico Renovable
G3PELARI,PARQUE EOLICO LARIMAR,h_04,4,4,canonical_hours_24h,29.89,49.5,0.6038383838383838,Pronostico Renovable
G3PELARI,PARQUE EOLICO LARIMAR,h_05,5,5,canonical_hours_24h,30.772,49.5,0.6216565656565656,Pronostico Renovable
